POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;4;8;1:13.807;-;-;128.2;8;Envision Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;;Robin;FRIJNS;;NLD;NLD;FRI;;;;;;
2;2;6;1:13.848;+0.041;+0.041;128.1;8;DS PENSKE;;A;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;;Stoffel;VANDOORNE;;BEL;BEL;VAN;;;;;;
3;37;8;1:13.861;+0.054;+0.013;128.1;8;Jaguar TCS Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
4;94;8;1:13.877;+0.070;+0.016;128.1;8;TAG Heuer Porsche Formula E Team;;A;;Porsche 99X Electric;HANKOOK;;;;;;;;;;;Pascal;WEHRLEIN;;DEU;DEU;WEH;;;;;;
5;23;8;1:13.995;+0.188;+0.118;127.9;8;Nissan Formula E Team;;A;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;;Sacha;FENESTRAZ;;FRA;FRA;FEN;;;;;;
6;8;6;1:14.017;+0.210;+0.022;127.8;7;NEOM McLaren Formula E Team;;A;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;;Sam;BIRD;;GBR;GBR;BIR;;;;;;
7;17;8;1:14.114;+0.307;+0.097;127.7;8;Andretti Formula E;;A;;Porsche 99X Electric;HANKOOK;;;;;;;;;;;Norman;NATO;;FRA;FRA;NAT;;;;;;
8;48;8;1:14.341;+0.534;+0.227;127.3;8;MAHINDRA RACING;;A;;Mahindra M10Electro;HANKOOK;;;;;;;;;;;Edoardo;MORTARA;;CHE;CHE;MOR;;;;;;
9;18;9;1:14.469;+0.662;+0.128;127.0;9;Maserati MSG Racing;;A;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;;Jehan;DARUVALA;;IND;IND;DAR;;;;;;
10;11;3;1:15.017;+1.210;+0.548;126.1;8;ABT CUPRA FORMULA E TEAM;;A;;Mahindra M10Electro;HANKOOK;;;;;;;;;;;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
11;33;8;1:15.125;+1.318;+0.108;125.9;8;ERT Formula E Team;;A;;ERT X24;HANKOOK;;;;;;;;;;;Dan;TICKTUM;;GBR;GBR;TIC;;;;;;
