POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;7;6;1:13.691;-;-;128.4;8;Maserati MSG Racing;;B;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;;Maximilian;GÜNTHER;;DEU;DEU;GUE;;;;;;
2;5;6;1:13.727;+0.036;+0.036;128.3;8;NEOM McLaren Formula E Team;;B;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;;Jake;HUGHES;;GBR;GBR;HUG;;;;;;
3;16;8;1:13.745;+0.054;+0.018;128.3;8;Envision Racing;;B;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;;Sébastien;BUEMI;;CHE;CHE;BUE;;;;;;
4;9;7;1:13.773;+0.082;+0.028;128.2;8;Jaguar TCS Racing;;B;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
5;25;6;1:13.821;+0.130;+0.048;128.2;8;DS PENSKE;;B;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
6;51;6;1:13.898;+0.207;+0.077;128.0;8;ABT CUPRA FORMULA E TEAM;;B;;Mahindra M10Electro;HANKOOK;;;;;;;;;;;Nico;MÜLLER;;CHE;CHE;MUE;;;;;;
7;1;3;1:13.926;+0.235;+0.028;128.0;8;Andretti Formula E;;B;;Porsche 99X Electric;HANKOOK;;;;;;;;;;;Jake;DENNIS;;GBR;GBR;DEN;;;;;;
8;13;8;1:13.982;+0.291;+0.056;127.9;8;TAG Heuer Porsche Formula E Team;;B;;Porsche 99X Electric;HANKOOK;;;;;;;;;;;António Félix;DA COSTA;;PRT;PRT;DAC;;;;;;
9;3;6;1:14.012;+0.321;+0.030;127.8;8;ERT Formula E Team;;B;;ERT X24;HANKOOK;;;;;;;;;;;Sérgio;SETTE CÂMARA;;BRA;BRA;SET;;;;;;
10;22;3;1:14.269;+0.578;+0.257;127.4;8;Nissan Formula E Team;;B;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;;Oliver;ROWLAND;;GBR;GBR;ROW;;;;;;
11;21;8;1:14.585;+0.894;+0.316;126.8;8;MAHINDRA RACING;;B;;Mahindra M10Electro;HANKOOK;;;;;;;;;;;Nyck;DE VRIES;;NLD;NLD;DEV;;;;;;
