POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;94;Classified;37;50:15.506;-;-;33;1:15.302;125.6;TAG Heuer Porsche Formula E Team;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;;Pascal;WEHRLEIN;;DEU;DEU;WEH;;;;;;
2;16;Classified;37;50:16.668;+1.162;+1.162;15;1:15.036;126.1;Envision Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;;Sébastien;BUEMI;;CHE;CHE;BUE;;;;;;
3;37;Classified;37;50:17.585;+2.079;+0.917;36;1:14.746;126.6;Jaguar TCS Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
4;7;Classified;37;50:21.286;+5.780;+3.701;7;1:15.209;125.8;Maserati MSG Racing;;;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;;Maximilian;GÜNTHER;;DEU;DEU;GUE;;;;;;
5;9;Classified;37;50:28.570;+13.064;+7.284;16;1:15.213;125.8;Jaguar TCS Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
6;25;Classified;37;50:28.911;+13.405;+0.341;16;1:15.235;125.7;DS PENSKE;;;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
7;5;Classified;37;50:29.422;+13.916;+0.511;18;1:15.190;125.8;NEOM McLaren Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;;Jake;HUGHES;;GBR;GBR;HUG;;;;;;
8;2;Classified;37;50:29.898;+14.392;+0.476;8;1:15.288;125.7;DS PENSKE;;;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;;Stoffel;VANDOORNE;;BEL;BEL;VAN;;;;;;
9;1;Classified;37;50:30.273;+14.767;+0.375;17;1:15.282;125.7;Andretti Formula E;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;;Jake;DENNIS;;GBR;GBR;DEN;;;;;;
10;17;Classified;37;50:30.818;+15.312;+0.545;17;1:15.295;125.6;Andretti Formula E;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;;Norman;NATO;;FRA;FRA;NAT;;;;;;
11;22;Classified;37;50:30.991;+15.485;+0.173;31;1:15.209;125.8;Nissan Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;;Oliver;ROWLAND;;GBR;GBR;ROW;;;;;;
12;23;Classified;37;50:31.224;+15.718;+0.233;18;1:15.286;125.7;Nissan Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;;Sacha;FENESTRAZ;;FRA;FRA;FEN;;;;;;
13;48;Classified;37;50:31.720;+16.214;+0.496;33;1:15.392;125.5;MAHINDRA RACING;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;;Edoardo;MORTARA;;CHE;CHE;MOR;;;;;;
14;8;Classified;37;50:36.106;+20.600;+4.386;23;1:15.439;125.4;NEOM McLaren Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;;Sam;BIRD;;GBR;GBR;BIR;;;;;;
15;21;Classified;37;50:39.171;+23.665;+3.065;6;1:15.598;125.1;MAHINDRA RACING;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;;Nyck;DE VRIES;;NLD;NLD;DEV;;;;;;
16;18;Classified;37;50:44.475;+28.969;+5.304;24;1:15.639;125.1;Maserati MSG Racing;;;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;;Jehan;DARUVALA;;IND;IND;DAR;;;;;;
17;51;Classified;37;50:44.930;+29.424;+0.455;5;1:15.370;125.5;ABT CUPRA FORMULA E TEAM;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;;Nico;MÜLLER;;CHE;CHE;MUE;;;;;;
18;33;Classified;37;51:30.264;+1:14.758;+45.334;7;1:15.333;125.6;ERT Formula E Team;;;;ERT X24;HANKOOK;;;;;;;;;;;Dan;TICKTUM;;GBR;GBR;TIC;;;;;;
;4;Not classified;7;9:05.320;;;4;1:15.747;124.9;Envision Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;;Robin;FRIJNS;;NLD;NLD;FRI;;;;;;
;13;Not classified;2;2:44.344;;;2;1:16.536;123.6;TAG Heuer Porsche Formula E Team;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;;António Félix;DA COSTA;;PRT;PRT;DAC;;;;;;
;11;Not classified;2;3:19.539;;;0;;;ABT CUPRA FORMULA E TEAM;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
;3;Not started;0;;;;0;;;ERT Formula E Team;;;;ERT X24;HANKOOK;;;;;;;;;;;Sérgio;SETTE CÂMARA;;BRA;BRA;SET;;;;;;
