NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
11;1;1;1:45.331;0;;45.706;0;32.247;0;27.378;0;89.8;1:45.331;09:41:45.331;0:45.706;0:32.247;0:27.378;;Lucas DI GRASSI;0:00:22.677;;A;ABT CUPRA FORMULA E TEAM;;;false;
11;1;2;1:16.245;0;;23.151;0;29.825;0;23.269;0;124.1;3:01.576;09:43:01.576;0:23.151;0:29.825;0:23.269;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;;;false;
11;1;3;1:15.017;2;;22.871;0;29.793;0;22.353;2;126.1;4:16.593;09:44:16.593;0:22.871;0:29.793;0:22.353;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;;;false;
11;1;4;1:24.246;0;B;24.066;0;30.268;0;29.912;0;112.3;5:40.839;09:45:40.839;0:24.066;0:30.268;0:29.912;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;;;false;
11;1;5;2:57.218;0;;1:59.327;0;32.317;0;25.574;0;53.4;8:38.057;09:48:38.057;1:59.327;0:32.317;0:25.574;;Lucas DI GRASSI;0:01:43.372;;A;ABT CUPRA FORMULA E TEAM;;;false;
11;1;6;1:14.530;0;;22.986;0;29.205;2;22.339;0;126.9;9:52.587;09:49:52.587;0:22.986;0:29.205;0:22.339;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;;;false;
11;1;7;1:41.047;0;;31.073;0;41.254;0;28.720;0;93.6;11:33.634;09:51:33.634;0:31.073;0:41.254;0:28.720;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;;;false;
11;1;8;1:48.251;0;B;22.810;2;40.526;0;44.915;0;87.4;13:21.885;09:53:21.885;0:22.810;0:40.526;0:44.915;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;;;false;
17;1;1;1:34.495;0;;35.039;0;31.805;0;27.651;0;100.1;1:34.495;09:41:34.495;0:35.039;0:31.805;0:27.651;;Norman NATO;0:00:14.587;;A;Andretti Formula E;;;false;
17;1;2;1:18.015;0;;22.959;0;31.488;0;23.568;0;121.3;2:52.510;09:42:52.510;0:22.959;0:31.488;0:23.568;;Norman NATO;;;A;Andretti Formula E;;;false;
17;1;3;1:14.718;0;;22.769;0;29.347;0;22.602;0;126.6;4:07.228;09:44:07.228;0:22.769;0:29.347;0:22.602;;Norman NATO;;;A;Andretti Formula E;;;false;
17;1;4;1:25.459;0;B;23.726;0;29.760;0;31.973;0;110.7;5:32.687;09:45:32.687;0:23.726;0:29.760;0:31.973;;Norman NATO;;;A;Andretti Formula E;;;false;
17;1;5;3:28.646;0;;2:32.453;0;31.161;0;25.032;0;45.3;9:01.333;09:49:01.333;2:32.453;0:31.161;0:25.032;;Norman NATO;0:02:17.304;;A;Andretti Formula E;;;false;
17;1;6;1:13.974;0;;22.858;0;28.943;3;22.173;2;127.9;10:15.307;09:50:15.307;0:22.858;0:28.943;0:22.173;;Norman NATO;;;A;Andretti Formula E;;;false;
17;1;7;1:43.282;0;;31.980;0;36.970;0;34.332;0;91.6;11:58.589;09:51:58.589;0:31.980;0:36.970;0:34.332;;Norman NATO;;;A;Andretti Formula E;;;false;
17;1;8;1:14.114;2;;22.618;2;29.132;0;22.364;0;127.7;13:12.703;09:53:12.703;0:22.618;0:29.132;0:22.364;;Norman NATO;;;A;Andretti Formula E;;;false;
18;1;1;1:59.997;0;;1:01.033;0;34.435;0;24.529;0;78.8;1:59.997;09:41:59.997;1:01.033;0:34.435;0:24.529;;Jehan DARUVALA;0:00:35.494;;A;Maserati MSG Racing;;;false;
18;1;2;1:22.303;0;;25.155;0;33.335;0;23.813;0;115.0;3:22.300;09:43:22.300;0:25.155;0:33.335;0:23.813;;Jehan DARUVALA;;;A;Maserati MSG Racing;;;false;
18;1;3;1:16.895;0;;23.730;0;29.883;0;23.282;0;123.0;4:39.195;09:44:39.195;0:23.730;0:29.883;0:23.282;;Jehan DARUVALA;;;A;Maserati MSG Racing;;;false;
18;1;4;1:24.530;0;;28.099;0;32.635;0;23.796;0;111.9;6:03.725;09:46:03.725;0:28.099;0:32.635;0:23.796;;Jehan DARUVALA;;;A;Maserati MSG Racing;;;false;
18;1;5;1:18.944;0;;23.036;0;31.338;0;24.570;0;119.8;7:22.669;09:47:22.669;0:23.036;0:31.338;0:24.570;;Jehan DARUVALA;;;A;Maserati MSG Racing;;;false;
18;1;6;1:20.311;0;;25.168;0;31.512;0;23.631;0;117.8;8:42.980;09:48:42.980;0:25.168;0:31.512;0:23.631;;Jehan DARUVALA;;;A;Maserati MSG Racing;;;false;
18;1;7;1:15.768;0;;24.156;0;29.253;2;22.359;0;124.9;9:58.748;09:49:58.748;0:24.156;0:29.253;0:22.359;;Jehan DARUVALA;;;A;Maserati MSG Racing;;;false;
18;1;8;1:28.576;0;;27.748;0;33.606;0;27.222;0;106.8;11:27.324;09:51:27.324;0:27.748;0:33.606;0:27.222;;Jehan DARUVALA;;;A;Maserati MSG Racing;;;false;
18;1;9;1:14.469;2;;22.987;2;29.321;0;22.161;2;127.0;12:41.793;09:52:41.793;0:22.987;0:29.321;0:22.161;;Jehan DARUVALA;;;A;Maserati MSG Racing;;;false;
2;1;1;1:31.003;0;;32.594;0;31.795;0;26.614;0;104.0;1:31.003;09:41:31.003;0:32.594;0:31.795;0:26.614;;Stoffel VANDOORNE;0:00:11.367;;A;DS PENSKE;;;false;
2;1;2;1:14.769;0;;23.148;0;29.296;0;22.325;0;126.5;2:45.772;09:42:45.772;0:23.148;0:29.296;0:22.325;;Stoffel VANDOORNE;;;A;DS PENSKE;;;false;
2;1;3;1:20.384;0;B;23.003;0;29.248;0;28.133;0;117.7;4:06.156;09:44:06.156;0:23.003;0:29.248;0:28.133;;Stoffel VANDOORNE;;;A;DS PENSKE;;;false;
2;1;4;3:03.011;0;;2:03.785;0;32.277;0;26.949;0;51.7;7:09.167;09:47:09.167;2:03.785;0:32.277;0:26.949;;Stoffel VANDOORNE;0:01:45.656;;A;DS PENSKE;;;false;
2;1;5;1:20.651;0;;25.929;0;30.767;0;23.955;0;117.3;8:29.818;09:48:29.818;0:25.929;0:30.767;0:23.955;;Stoffel VANDOORNE;;;A;DS PENSKE;;;false;
2;1;6;1:13.848;2;;22.752;0;29.016;2;22.080;2;128.1;9:43.666;09:49:43.666;0:22.752;0:29.016;0:22.080;;Stoffel VANDOORNE;;;A;DS PENSKE;;;false;
2;1;7;1:39.817;0;;32.608;0;37.859;0;29.350;0;94.8;11:23.483;09:51:23.483;0:32.608;0:37.859;0:29.350;;Stoffel VANDOORNE;;;A;DS PENSKE;;;false;
2;1;8;1:14.936;0;;22.634;2;29.224;0;23.078;0;126.3;12:38.419;09:52:38.419;0:22.634;0:29.224;0:23.078;;Stoffel VANDOORNE;;;A;DS PENSKE;;;false;
23;1;1;1:43.212;0;;47.384;0;31.685;0;24.143;0;91.7;1:43.212;09:41:43.212;0:47.384;0:31.685;0:24.143;;Sacha FENESTRAZ;0:00:23.936;;A;Nissan Formula E Team;;;false;
23;1;2;1:25.373;0;;26.788;0;29.990;0;28.595;0;110.8;3:08.585;09:43:08.585;0:26.788;0:29.990;0:28.595;;Sacha FENESTRAZ;;;A;Nissan Formula E Team;;;false;
23;1;3;1:14.991;0;;22.757;2;29.660;0;22.574;0;126.2;4:23.576;09:44:23.576;0:22.757;0:29.660;0:22.574;;Sacha FENESTRAZ;;;A;Nissan Formula E Team;;;false;
23;1;4;1:23.167;0;B;23.417;0;29.387;0;30.363;0;113.8;5:46.743;09:45:46.743;0:23.417;0:29.387;0:30.363;;Sacha FENESTRAZ;;;A;Nissan Formula E Team;;;false;
23;1;5;3:03.111;0;;2:02.650;0;31.893;0;28.568;0;51.7;8:49.854;09:48:49.854;2:02.650;0:31.893;0:28.568;;Sacha FENESTRAZ;0:01:45.577;;A;Nissan Formula E Team;;;false;
23;1;6;1:14.178;0;;22.952;0;29.128;0;22.098;0;127.5;10:04.032;09:50:04.032;0:22.952;0:29.128;0:22.098;;Sacha FENESTRAZ;;;A;Nissan Formula E Team;;;false;
