NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;1;1:46.924;0;;47.305;0;34.030;0;25.589;0;88.5;1:46.924;09:58:46.924;0:47.305;0:34.030;0:25.589;;Jake DENNIS;0:00:23.743;;B;Andretti Formula E;;;false;
1;1;2;1:30.074;0;;23.099;0;32.687;0;34.288;0;105.0;3:16.998;10:00:16.998;0:23.099;0:32.687;0:34.288;;Jake DENNIS;;;B;Andretti Formula E;;;false;
1;1;3;1:13.926;2;;22.520;0;29.307;0;22.099;0;128.0;4:30.924;10:01:30.924;0:22.520;0:29.307;0:22.099;;Jake DENNIS;;;B;Andretti Formula E;;;false;
1;1;4;1:22.634;0;B;22.694;0;29.460;0;30.480;0;114.5;5:53.558;10:02:53.558;0:22.694;0:29.460;0:30.480;;Jake DENNIS;;;B;Andretti Formula E;;;false;
1;1;5;3:11.953;0;;2:12.426;0;32.656;0;26.871;0;49.3;9:05.511;10:06:05.511;2:12.426;0:32.656;0:26.871;;Jake DENNIS;0:01:53.286;;B;Andretti Formula E;;;false;
1;1;6;1:13.996;0;;22.650;0;29.293;2;22.053;2;127.9;10:19.507;10:07:19.507;0:22.650;0:29.293;0:22.053;;Jake DENNIS;;;B;Andretti Formula E;;;false;
1;1;7;1:39.573;0;;30.205;0;36.872;0;32.496;0;95.0;11:59.080;10:08:59.080;0:30.205;0:36.872;0:32.496;;Jake DENNIS;;;B;Andretti Formula E;;;false;
1;1;8;1:34.559;0;B;22.414;3;32.372;0;39.773;0;100.1;13:33.639;10:10:33.639;0:22.414;0:32.372;0:39.773;;Jake DENNIS;;;B;Andretti Formula E;;;false;
13;1;1;1:53.628;0;;55.159;0;32.913;0;25.556;0;83.3;1:53.628;09:58:53.628;0:55.159;0:32.913;0:25.556;;António Félix DA COSTA;0:00:33.546;;B;TAG Heuer Porsche Formula E Team;;;false;
13;1;2;1:37.046;0;;25.139;0;31.808;0;40.099;0;97.5;3:30.674;10:00:30.674;0:25.139;0:31.808;0:40.099;;António Félix DA COSTA;;;B;TAG Heuer Porsche Formula E Team;;;false;
