NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;1;1:24.511;0;;30.814;0;31.004;0;22.693;0;111.9;1:24.511;14:05:28.508;0:30.814;0:31.004;0:22.693;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;2;1:16.466;0;;24.003;0;29.946;0;22.517;0;123.7;2:40.977;14:06:44.974;0:24.003;0:29.946;0:22.517;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;3;1:16.198;0;;23.698;0;29.706;0;22.794;0;124.2;3:57.175;14:08:01.172;0:23.698;0:29.706;0:22.794;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;4;1:16.168;0;;23.958;0;29.680;0;22.530;0;124.2;5:13.343;14:09:17.340;0:23.958;0:29.680;0:22.530;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;5;1:15.943;0;;23.782;0;29.682;0;22.479;0;124.6;6:29.286;14:10:33.283;0:23.782;0:29.682;0:22.479;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;6;1:15.731;0;;23.934;0;29.476;0;22.321;2;124.9;7:45.017;14:11:49.014;0:23.934;0:29.476;0:22.321;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;7;1:16.832;0;;23.537;0;29.423;0;23.872;0;123.1;9:01.849;14:13:05.846;0:23.537;0:29.423;0:23.872;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;8;1:15.367;0;;23.283;2;29.605;0;22.479;0;125.5;10:17.216;14:14:21.213;0:23.283;0:29.605;0:22.479;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;9;2:15.198;0;;23.426;0;58.897;0;52.875;0;70.0;12:32.414;14:16:36.411;0:23.426;0:58.897;0:52.875;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;10;3:18.564;0;;58.590;0;1:14.257;0;1:05.717;0;47.6;15:50.978;14:19:54.975;0:58.590;1:14.257;1:05.717;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;11;1:43.060;0;;39.104;0;34.288;0;29.668;0;91.8;17:34.038;14:21:38.035;0:39.104;0:34.288;0:29.668;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;12;1:18.585;0;;24.752;0;30.012;0;23.821;0;120.4;18:52.623;14:22:56.620;0:24.752;0:30.012;0:23.821;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;13;1:15.758;0;;23.397;0;29.577;0;22.784;0;124.9;20:08.381;14:24:12.378;0:23.397;0:29.577;0:22.784;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;14;1:15.652;0;;23.484;0;29.556;0;22.612;0;125.1;21:24.033;14:25:28.030;0:23.484;0:29.556;0:22.612;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;15;1:16.309;0;;23.922;0;29.763;0;22.624;0;124.0;22:40.342;14:26:44.339;0:23.922;0:29.763;0:22.624;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;16;1:15.449;0;;23.436;0;29.461;0;22.552;0;125.4;23:55.791;14:27:59.788;0:23.436;0:29.461;0:22.552;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;17;1:15.282;2;;23.431;0;29.410;2;22.441;0;125.7;25:11.073;14:29:15.070;0:23.431;0:29.410;0:22.441;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;18;1:15.524;0;;23.333;0;29.623;0;22.568;0;125.3;26:26.597;14:30:30.594;0:23.333;0:29.623;0:22.568;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;19;1:15.764;0;;23.390;0;29.627;0;22.747;0;124.9;27:42.361;14:31:46.358;0:23.390;0:29.627;0:22.747;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;20;1:15.879;0;;23.582;0;29.749;0;22.548;0;124.7;28:58.240;14:33:02.237;0:23.582;0:29.749;0:22.548;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;21;1:16.035;0;;23.640;0;29.752;0;22.643;0;124.4;30:14.275;14:34:18.272;0:23.640;0:29.752;0:22.643;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;22;1:15.749;0;;23.526;0;29.633;0;22.590;0;124.9;31:30.024;14:35:34.021;0:23.526;0:29.633;0:22.590;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;23;1:15.506;0;;23.402;0;29.592;0;22.512;0;125.3;32:45.530;14:36:49.527;0:23.402;0:29.592;0:22.512;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;24;1:16.078;0;;23.511;0;29.940;0;22.627;0;124.4;34:01.608;14:38:05.605;0:23.511;0:29.940;0:22.627;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;25;1:15.862;0;;23.530;0;29.734;0;22.598;0;124.7;35:17.470;14:39:21.467;0:23.530;0:29.734;0:22.598;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;26;1:15.731;0;;23.479;0;29.633;0;22.619;0;124.9;36:33.201;14:40:37.198;0:23.479;0:29.633;0:22.619;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;27;1:16.041;0;;23.552;0;29.804;0;22.685;0;124.4;37:49.242;14:41:53.239;0:23.552;0:29.804;0:22.685;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;28;1:15.623;0;;23.334;0;29.691;0;22.598;0;125.1;39:04.865;14:43:08.862;0:23.334;0:29.691;0:22.598;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;29;1:15.883;0;;23.469;0;29.787;0;22.627;0;124.7;40:20.748;14:44:24.745;0:23.469;0:29.787;0:22.627;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;30;1:15.801;0;;23.356;0;29.713;0;22.732;0;124.8;41:36.549;14:45:40.546;0:23.356;0:29.713;0:22.732;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;31;1:15.982;0;;23.429;0;29.799;0;22.754;0;124.5;42:52.531;14:46:56.528;0:23.429;0:29.799;0:22.754;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;32;1:15.898;0;;23.599;0;29.692;0;22.607;0;124.7;44:08.429;14:48:12.426;0:23.599;0:29.692;0:22.607;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;33;1:15.830;0;;23.466;0;29.659;0;22.705;0;124.8;45:24.259;14:49:28.256;0:23.466;0:29.659;0:22.705;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;34;1:16.259;0;;23.639;0;29.869;0;22.751;0;124.1;46:40.518;14:50:44.515;0:23.639;0:29.869;0:22.751;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;35;1:16.339;0;;23.592;0;29.819;0;22.928;0;123.9;47:56.857;14:52:00.854;0:23.592;0:29.819;0:22.928;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;36;1:16.292;0;;23.648;0;29.738;0;22.906;0;124.0;49:13.149;14:53:17.146;0:23.648;0:29.738;0:22.906;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;37;1:17.124;0;;23.724;0;30.167;0;23.233;0;122.7;50:30.273;14:54:34.270;0:23.724;0:30.167;0:23.233;;Jake DENNIS;;;;Andretti Formula E;;;false;
11;1;1;1:49.054;0;;33.065;0;51.681;0;24.308;2;86.8;1:49.054;14:05:53.051;0:33.065;0:51.681;0:24.308;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;;;false;
11;1;2;1:30.485;0;B;25.533;2;32.380;2;32.572;0;104.6;3:19.539;14:07:23.536;0:25.533;0:32.380;0:32.572;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;;;false;
13;1;1;1:27.808;0;;32.697;0;32.043;0;23.068;0;107.7;1:27.808;14:05:31.805;0:32.697;0:32.043;0:23.068;;António Félix DA COSTA;;;;TAG Heuer Porsche Formula E Team;;;false;
13;1;2;1:16.536;2;;24.097;2;29.804;2;22.635;2;123.6;2:44.344;14:06:48.341;0:24.097;0:29.804;0:22.635;;António Félix DA COSTA;;;;TAG Heuer Porsche Formula E Team;;;false;
16;1;1;1:20.409;0;;27.386;0;30.274;0;22.749;0;117.7;1:20.409;14:05:24.406;0:27.386;0:30.274;0:22.749;;Sébastien BUEMI;;;;Envision Racing;;;false;
16;1;2;1:16.568;0;;24.077;0;29.849;0;22.642;0;123.6;2:36.977;14:06:40.974;0:24.077;0:29.849;0:22.642;;Sébastien BUEMI;;;;Envision Racing;;;false;
16;1;3;1:15.836;0;;23.739;0;29.602;0;22.495;0;124.8;3:52.813;14:07:56.810;0:23.739;0:29.602;0:22.495;;Sébastien BUEMI;;;;Envision Racing;;;false;
16;1;4;1:16.578;0;;23.473;0;29.027;3;24.078;0;123.5;5:09.391;14:09:13.388;0:23.473;0:29.027;0:24.078;;Sébastien BUEMI;;;;Envision Racing;;;false;
16;1;5;1:16.079;0;;23.468;0;30.069;0;22.542;0;124.4;6:25.470;14:10:29.467;0:23.468;0:30.069;0:22.542;;Sébastien BUEMI;;;;Envision Racing;;;false;
