TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1705160401;13/01/2024 15:40:01;20,19;25,5;32,06;779,44;0,7;91;-999;
1705160461;13/01/2024 15:41:01;20,24;25,6;31,47;779,42;0,95;123;-999;
1705160521;13/01/2024 15:42:01;20,19;25,8;30,96;779,4;1,14;97;-999;
1705160581;13/01/2024 15:43:01;20,09;25,9;31,49;779,41;1,44;98;-999;
1705160641;13/01/2024 15:44:01;20,07;26,1;31,06;779,37;1,3;65;-999;
1705160701;13/01/2024 15:45:01;19,99;26,1;30,95;779,41;1,65;111;-999;
1705160761;13/01/2024 15:46:01;19,86;26;30,77;779,45;0,77;107;-999;
1705160821;13/01/2024 15:47:01;19,85;26;31,33;779,48;1,12;77;-999;
1705160881;13/01/2024 15:48:01;19,87;26;30,83;779,5;0,94;91;-999;
1705160941;13/01/2024 15:49:01;19,9;25,9;31,02;779,51;0;0;-999;
1705161002;13/01/2024 15:50:02;20,01;26;30,3;779,53;0,43;274;-999;
1705161062;13/01/2024 15:51:02;20,14;26,2;30,16;779,53;0,17;295;-999;
