TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1705161422;13/01/2024 15:57:02;21,23;27,4;27,73;779,42;0,88;91;-999;
1705161482;13/01/2024 15:58:02;21,2;27,6;27,39;779,44;1,87;94;-999;
1705161542;13/01/2024 15:59:02;21,11;27,8;26,9;779,47;1,41;314;-999;
1705161602;13/01/2024 16:00:02;21,05;27,8;26,81;779,48;1,7;64;-999;
1705161662;13/01/2024 16:01:02;21,02;27,9;26,99;779,51;0,23;309;-999;
1705161722;13/01/2024 16:02:02;21,09;27,9;27,44;779,53;0,46;328;-999;
1705161782;13/01/2024 16:03:02;21,26;27,9;27,21;779,55;0,54;322;-999;
1705161842;13/01/2024 16:04:02;21,34;27,9;27,21;779,55;0,68;239;-999;
1705161902;13/01/2024 16:05:02;21,48;27,8;27,19;779,55;0,17;303;-999;
1705161962;13/01/2024 16:06:02;21,6;27,7;27,46;779,51;0;0;-999;
1705162022;13/01/2024 16:07:02;21,71;27,5;27,06;779,5;0,58;7;-999;
1705162082;13/01/2024 16:08:02;21,74;27,5;26,86;779,47;0,95;250;-999;
