TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1705176275;13/01/2024 20:04:35;24,42;32,7;25,68;776,72;0,74;277;-999;
1705176335;13/01/2024 20:05:35;24,32;32,7;25,86;776,72;1,71;282;-999;
1705176395;13/01/2024 20:06:35;24,26;32,6;25,96;776,73;1,46;267;-999;
1705176455;13/01/2024 20:07:35;24,21;32,6;26,12;776,73;0,35;261;-999;
1705176515;13/01/2024 20:08:35;24,19;32,6;26,31;776,74;0,81;276;-999;
1705176575;13/01/2024 20:09:35;24,14;32,5;26,2;776,71;0,85;261;-999;
1705176636;13/01/2024 20:10:36;24,09;32,5;26,31;776,69;1,36;284;-999;
1705176696;13/01/2024 20:11:36;24,04;32,5;26,33;776,71;1,26;286;-999;
1705176756;13/01/2024 20:12:36;23,93;32,5;26,62;776,69;0,18;270;-999;
1705176816;13/01/2024 20:13:36;24,04;32,4;26,73;776,67;0,95;259;-999;
1705176876;13/01/2024 20:14:36;24,05;32,4;26,62;776,66;0,93;266;-999;
1705176936;13/01/2024 20:15:36;24,09;32,4;26,79;776,65;0,31;272;-999;
1705176996;13/01/2024 20:16:36;24,11;32,4;26,83;776,66;1,16;309;-999;
1705177056;13/01/2024 20:17:36;24,15;32,4;26,82;776,65;0,81;277;-999;
1705177116;13/01/2024 20:18:36;24,18;32,3;26,75;776,66;1,1;275;-999;
1705177176;13/01/2024 20:19:36;24,21;32,3;26,66;776,68;0,92;291;-999;
1705177236;13/01/2024 20:20:36;24,21;32,3;26,7;776,7;0,56;265;-999;
1705177296;13/01/2024 20:21:36;24,22;32,3;26,39;776,67;0,84;315;-999;
1705177356;13/01/2024 20:22:36;24,21;32,3;26,47;776,68;1,16;286;-999;
1705177416;13/01/2024 20:23:36;24,24;32,3;26,47;776,67;1,15;279;-999;
1705177476;13/01/2024 20:24:36;24,19;32,3;26,6;776,67;0,73;294;-999;
1705177536;13/01/2024 20:25:36;24,14;32,3;26,6;776,66;0,51;260;-999;
1705177596;13/01/2024 20:26:36;24,21;32,3;26,61;776,65;1,77;281;-999;
1705177656;13/01/2024 20:27:36;24,19;32,4;26,68;776,63;0,76;262;-999;
1705177716;13/01/2024 20:28:36;24,14;32,4;26,68;776,62;0,35;172;-999;
1705177776;13/01/2024 20:29:36;24,19;32,4;26,71;776,6;0,47;280;-999;
1705177836;13/01/2024 20:30:36;24,21;32,4;26,95;776,58;0,75;265;-999;
1705177896;13/01/2024 20:31:36;24,21;32,4;26,92;776,57;0,48;261;-999;
1705177956;13/01/2024 20:32:36;24,28;32,3;26,77;776,56;0,78;268;-999;
1705178016;13/01/2024 20:33:36;24,31;32,3;26,78;776,55;1,2;272;-999;
1705178076;13/01/2024 20:34:36;24,28;32,3;26,63;776,53;0,81;278;-999;
1705178136;13/01/2024 20:35:36;24,28;32,3;26,74;776,52;1,25;250;-999;
1705178196;13/01/2024 20:36:36;24,21;32,2;26,85;776,51;0,85;239;-999;
1705178256;13/01/2024 20:37:36;24,15;32,2;26,95;776,52;0,24;269;-999;
1705178316;13/01/2024 20:38:36;24,14;32,2;27,14;776,52;0,45;235;-999;
1705178377;13/01/2024 20:39:37;24,19;32,2;26,9;776,51;0,83;148;-999;
1705178437;13/01/2024 20:40:37;24,26;32,2;27,03;776,52;0,7;295;-999;
1705178497;13/01/2024 20:41:37;24,32;32,2;26,99;776,53;0,72;215;-999;
1705178557;13/01/2024 20:42:37;24,38;32,2;26,95;776,52;0,38;137;-999;
1705178617;13/01/2024 20:43:37;24,39;32,2;26,74;776,52;0;0;-999;
1705178677;13/01/2024 20:44:37;24,45;32,2;26,66;776,49;0,3;140;-999;
1705178737;13/01/2024 20:45:37;24,43;32,2;26,59;776,48;0;0;-999;
1705178797;13/01/2024 20:46:37;24,49;32,2;26,66;776,48;0,62;271;-999;
1705178857;13/01/2024 20:47:37;24,55;32,2;26,52;776,46;1,02;272;-999;
1705178917;13/01/2024 20:48:37;24,46;32,2;26,55;776,46;0,91;296;-999;
1705178977;13/01/2024 20:49:37;24,43;32,3;26,59;776,46;0,31;0;-999;
1705179037;13/01/2024 20:50:37;24,4;32,3;26,77;776,46;0,89;261;-999;
1705179097;13/01/2024 20:51:37;24,4;32,4;26,81;776,45;0,69;185;-999;
1705179157;13/01/2024 20:52:37;24,43;32,4;27,02;776,45;0,37;260;-999;
1705179217;13/01/2024 20:53:37;24,49;32,5;26,95;776,44;0,49;260;-999;
