POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;37;8;1:12.619;-;-;123.7;8;Jaguar TCS Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;3;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
2;1;7;1:12.779;+0.160;+0.160;123.4;7;Andretti Formula E;;A;;Porsche 99X Electric;HANKOOK;;;;;;;;;;9;Jake;DENNIS;;GBR;GBR;DEN;;;;;;
3;94;7;1:12.872;+0.253;+0.093;123.3;7;TAG Heuer Porsche Formula E Team;;A;;Porsche 99X Electric;HANKOOK;;;;;;;;;;1;Pascal;WEHRLEIN;;DEU;DEU;WEH;;;;;;
4;9;7;1:13.006;+0.387;+0.134;123.0;7;Jaguar TCS Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;5;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
5;5;6;1:13.207;+0.588;+0.201;122.7;8;NEOM McLaren Formula E Team;;A;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;7;Jake;HUGHES;;GBR;GBR;HUG;;;;;;
6;4;7;1:13.272;+0.653;+0.065;122.6;7;Envision Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;19;Robin;FRIJNS;;NLD;NLD;FRI;;;;;;
7;22;8;1:13.350;+0.731;+0.078;122.5;8;Nissan Formula E Team;;A;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;11;Oliver;ROWLAND;;GBR;GBR;ROW;;;;;;
8;51;7;1:13.531;+0.912;+0.181;122.2;7;ABT CUPRA FORMULA E TEAM;;A;;Mahindra M10Electro;HANKOOK;;;;;;;;;;17;Nico;MÜLLER;;CHE;CHE;MUE;;;;;;
9;11;7;1:13.729;+1.110;+0.198;121.8;7;ABT CUPRA FORMULA E TEAM;;A;;Mahindra M10Electro;HANKOOK;;;;;;;;;;21;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
10;48;7;1:13.791;+1.172;+0.062;121.7;7;MAHINDRA RACING;;A;;Mahindra M10Electro;HANKOOK;;;;;;;;;;13;Edoardo;MORTARA;;CHE;CHE;MOR;;;;;;
11;21;7;1:14.254;+1.635;+0.463;121.0;7;MAHINDRA RACING;;A;;Mahindra M10Electro;HANKOOK;;;;;;;;;;15;Nyck;DE VRIES;;NLD;NLD;DEV;;;;;;
