POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;25;7;1:12.856;-;-;123.3;7;DS PENSKE;;B;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;6;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
2;3;7;1:12.897;+0.041;+0.041;123.2;7;ERT Formula E Team;;B;;ERT X24;HANKOOK;;;;;;;;;;22;Sérgio;SETTE CÂMARA;;BRA;BRA;SET;;;;;;
3;7;7;1:12.931;+0.075;+0.034;123.2;7;Maserati MSG Racing;;B;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;4;Maximilian;GÜNTHER;;DEU;DEU;GUE;;;;;;
4;17;7;1:12.933;+0.077;+0.002;123.2;7;Andretti Formula E;;B;;Porsche 99X Electric;HANKOOK;;;;;;;;;;10;Norman;NATO;;FRA;FRA;NAT;;;;;;
5;8;3;1:13.147;+0.291;+0.214;122.8;8;NEOM McLaren Formula E Team;;B;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;14;Sam;BIRD;;GBR;GBR;BIR;;;;;;
6;2;3;1:13.167;+0.311;+0.020;122.8;7;DS PENSKE;;B;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;8;Stoffel;VANDOORNE;;BEL;BEL;VAN;;;;;;
7;16;3;1:13.186;+0.330;+0.019;122.7;8;Envision Racing;;B;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;2;Sébastien;BUEMI;;CHE;CHE;BUE;;;;;;
8;23;6;1:13.294;+0.438;+0.108;122.5;8;Nissan Formula E Team;;B;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;12;Sacha;FENESTRAZ;;FRA;FRA;FEN;;;;;;
9;13;7;1:13.367;+0.511;+0.073;122.4;7;TAG Heuer Porsche Formula E Team;;B;;Porsche 99X Electric;HANKOOK;;;;;;;;;;20;António Félix;DA COSTA;;PRT;PRT;DAC;;;;;;
10;33;7;1:13.446;+0.590;+0.079;122.3;7;ERT Formula E Team;;B;;ERT X24;HANKOOK;;;;;;;;;;18;Dan;TICKTUM;;GBR;GBR;TIC;;;;;;
11;18;4;1:14.054;+1.198;+0.608;121.3;7;Maserati MSG Racing;;B;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;16;Jehan;DARUVALA;;IND;IND;DAR;;;;;;
