NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;1;2:07.955;0;;1:06.391;0;24.894;0;36.670;0;53.6;2:07.955;15:22:07.955;1:06.391;0:24.894;0:36.670;;Jake DENNIS;0:00:42.688;;A;Andretti Formula E;;;false;
1;1;2;1:32.786;0;;26.331;0;24.590;0;41.865;0;96.8;3:40.741;15:23:40.741;0:26.331;0:24.590;0:41.865;;Jake DENNIS;;;A;Andretti Formula E;;;false;
1;1;3;1:14.007;0;;23.660;0;20.142;0;30.205;0;121.4;4:54.748;15:24:54.748;0:23.660;0:20.142;0:30.205;;Jake DENNIS;;;A;Andretti Formula E;;;false;
1;1;4;1:25.961;0;B;23.600;0;20.514;0;41.847;0;104.5;6:20.709;15:26:20.709;0:23.600;0:20.514;0:41.847;;Jake DENNIS;;;A;Andretti Formula E;;;false;
1;1;5;3:46.088;0;;2:49.480;0;23.148;0;33.460;0;39.7;10:06.797;15:30:06.797;2:49.480;0:23.148;0:33.460;;Jake DENNIS;0:02:38.136;;A;Andretti Formula E;;;false;
1;1;6;1:26.005;0;;25.622;0;22.772;0;37.611;0;104.4;11:32.802;15:31:32.802;0:25.622;0:22.772;0:37.611;;Jake DENNIS;;;A;Andretti Formula E;;;false;
1;1;7;1:12.779;2;;23.443;2;19.817;3;29.519;2;123.4;12:45.581;15:32:45.581;0:23.443;0:19.817;0:29.519;;Jake DENNIS;;;A;Andretti Formula E;;;false;
11;1;1;2:40.330;0;;1:44.226;0;22.790;0;33.314;0;42.8;2:40.330;15:22:40.330;1:44.226;0:22.790;0:33.314;;Lucas DI GRASSI;0:01:22.749;;A;ABT CUPRA FORMULA E TEAM;;;false;
11;1;2;1:16.385;0;;24.072;0;21.248;0;31.065;0;117.6;3:56.715;15:23:56.715;0:24.072;0:21.248;0:31.065;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;;;false;
11;1;3;1:33.361;0;;31.229;0;28.881;0;33.251;0;96.2;5:30.076;15:25:30.076;0:31.229;0:28.881;0:33.251;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;;;false;
11;1;4;1:14.836;0;;23.640;2;20.582;0;30.614;0;120.0;6:44.912;15:26:44.912;0:23.640;0:20.582;0:30.614;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;;;false;
11;1;5;1:26.631;0;B;25.621;0;21.702;0;39.308;0;103.7;8:11.543;15:28:11.543;0:25.621;0:21.702;0:39.308;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;;;false;
11;1;6;3:16.367;0;;2:10.847;0;24.847;0;40.673;0;45.7;11:27.910;15:31:27.910;2:10.847;0:24.847;0:40.673;;Lucas DI GRASSI;0:01:55.224;;A;ABT CUPRA FORMULA E TEAM;;;false;
11;1;7;1:13.729;2;;23.677;0;20.143;2;29.909;2;121.8;12:41.639;15:32:41.639;0:23.677;0:20.143;0:29.909;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;;;false;
21;1;1;2:22.714;0;;1:23.769;0;24.496;0;34.449;0;48.1;2:22.714;15:22:22.714;1:23.769;0:24.496;0:34.449;;Nyck DE VRIES;0:01:00.045;;A;MAHINDRA RACING;;;false;
21;1;2;1:33.268;0;;26.383;0;24.465;0;42.420;0;96.3;3:55.982;15:23:55.982;0:26.383;0:24.465;0:42.420;;Nyck DE VRIES;;;A;MAHINDRA RACING;;;false;
21;1;3;1:14.439;0;;23.811;2;20.438;0;30.190;0;120.7;5:10.421;15:25:10.421;0:23.811;0:20.438;0:30.190;;Nyck DE VRIES;;;A;MAHINDRA RACING;;;false;
21;1;4;1:30.310;0;B;24.787;0;22.092;0;43.431;0;99.5;6:40.731;15:26:40.731;0:24.787;0:22.092;0:43.431;;Nyck DE VRIES;;;A;MAHINDRA RACING;;;false;
21;1;5;2:57.195;0;;2:01.255;0;23.542;0;32.398;0;50.7;9:37.926;15:29:37.926;2:01.255;0:23.542;0:32.398;;Nyck DE VRIES;0:01:45.237;;A;MAHINDRA RACING;;;false;
21;1;6;1:21.862;0;;26.886;0;23.294;0;31.682;0;109.7;10:59.788;15:30:59.788;0:26.886;0:23.294;0:31.682;;Nyck DE VRIES;;;A;MAHINDRA RACING;;;false;
21;1;7;1:14.254;2;;23.940;0;20.146;2;30.168;2;121.0;12:14.042;15:32:14.042;0:23.940;0:20.146;0:30.168;;Nyck DE VRIES;;;A;MAHINDRA RACING;;;false;
22;1;1;2:03.301;0;;1:02.129;0;25.181;0;35.991;0;55.6;2:03.301;15:22:03.301;1:02.129;0:25.181;0:35.991;;Oliver ROWLAND;0:00:38.259;;A;Nissan Formula E Team;;;false;
