NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
13;1;1;2:10.833;0;;1:11.930;0;24.148;0;34.755;0;52.4;2:10.833;15:39:10.833;1:11.930;0:24.148;0:34.755;;António Félix DA COSTA;0:00:48.744;;B;TAG Heuer Porsche Formula E Team;;;false;
13;1;2;1:25.826;0;;26.651;0;22.841;0;36.334;0;104.7;3:36.659;15:40:36.659;0:26.651;0:22.841;0:36.334;;António Félix DA COSTA;;;B;TAG Heuer Porsche Formula E Team;;;false;
13;1;3;1:13.465;0;;23.450;2;20.007;2;30.008;0;122.3;4:50.124;15:41:50.124;0:23.450;0:20.007;0:30.008;;António Félix DA COSTA;;;B;TAG Heuer Porsche Formula E Team;;;false;
13;1;4;1:24.133;0;B;24.056;0;20.711;0;39.366;0;106.8;6:14.257;15:43:14.257;0:24.056;0:20.711;0:39.366;;António Félix DA COSTA;;;B;TAG Heuer Porsche Formula E Team;;;false;
13;1;5;3:52.352;0;;2:53.553;0;24.046;0;34.753;0;38.7;10:06.609;15:47:06.609;2:53.553;0:24.046;0:34.753;;António Félix DA COSTA;0:02:38.659;;B;TAG Heuer Porsche Formula E Team;;;false;
13;1;6;1:45.219;0;;27.291;0;24.530;0;53.398;0;85.4;11:51.828;15:48:51.828;0:27.291;0:24.530;0:53.398;;António Félix DA COSTA;;;B;TAG Heuer Porsche Formula E Team;;;false;
13;1;7;1:13.367;2;;23.514;0;20.040;0;29.813;2;122.4;13:05.195;15:50:05.195;0:23.514;0:20.040;0:29.813;;António Félix DA COSTA;;;B;TAG Heuer Porsche Formula E Team;;;false;
16;1;1;1:51.695;0;;55.318;0;22.886;0;33.491;0;61.4;1:51.695;15:38:51.695;0:55.318;0:22.886;0:33.491;;Sébastien BUEMI;0:00:33.040;;B;Envision Racing;;;false;
16;1;2;1:23.921;0;;28.242;0;23.238;0;32.441;0;107.0;3:15.616;15:40:15.616;0:28.242;0:23.238;0:32.441;;Sébastien BUEMI;;;B;Envision Racing;;;false;
16;1;3;1:13.186;2;;23.296;0;19.937;2;29.953;0;122.7;4:28.802;15:41:28.802;0:23.296;0:19.937;0:29.953;;Sébastien BUEMI;;;B;Envision Racing;;;false;
16;1;4;1:13.217;0;;23.293;2;20.077;0;29.847;0;122.7;5:42.019;15:42:42.019;0:23.293;0:20.077;0:29.847;;Sébastien BUEMI;;;B;Envision Racing;;;false;
16;1;5;1:27.446;0;B;25.745;0;21.902;0;39.799;0;102.7;7:09.465;15:44:09.465;0:25.745;0:21.902;0:39.799;;Sébastien BUEMI;;;B;Envision Racing;;;false;
16;1;6;2:59.930;0;;2:02.195;0;23.814;0;33.921;0;49.9;10:09.395;15:47:09.395;2:02.195;0:23.814;0:33.921;;Sébastien BUEMI;0:01:49.679;;B;Envision Racing;;;false;
16;1;7;1:47.747;0;;26.801;0;24.028;0;56.918;0;83.4;11:57.142;15:48:57.142;0:26.801;0:24.028;0:56.918;;Sébastien BUEMI;;;B;Envision Racing;;;false;
16;1;8;1:13.207;0;;23.378;0;20.020;0;29.809;2;122.7;13:10.349;15:50:10.349;0:23.378;0:20.020;0:29.809;;Sébastien BUEMI;;;B;Envision Racing;;;false;
17;1;1;2:02.541;0;;1:04.148;0;23.623;0;34.770;0;56.0;2:02.541;15:39:02.541;1:04.148;0:23.623;0:34.770;;Norman NATO;0:00:40.743;;B;Andretti Formula E;;;false;
17;1;2;1:29.347;0;;25.694;0;22.249;0;41.404;0;100.5;3:31.888;15:40:31.888;0:25.694;0:22.249;0:41.404;;Norman NATO;;;B;Andretti Formula E;;;false;
17;1;3;1:13.327;0;;23.577;0;20.293;0;29.457;3;122.5;4:45.215;15:41:45.215;0:23.577;0:20.293;0:29.457;;Norman NATO;;;B;Andretti Formula E;;;false;
17;1;4;1:26.683;0;B;24.120;0;20.916;0;41.647;0;103.6;6:11.898;15:43:11.898;0:24.120;0:20.916;0:41.647;;Norman NATO;;;B;Andretti Formula E;;;false;
17;1;5;3:53.110;0;;2:54.280;0;23.598;0;35.232;0;38.5;10:05.008;15:47:05.008;2:54.280;0:23.598;0:35.232;;Norman NATO;0:02:40.469;;B;Andretti Formula E;;;false;
17;1;6;1:43.099;0;;26.873;0;26.175;0;50.051;0;87.1;11:48.107;15:48:48.107;0:26.873;0:26.175;0:50.051;;Norman NATO;;;B;Andretti Formula E;;;false;
17;1;7;1:12.933;2;;23.315;2;19.954;2;29.664;0;123.2;13:01.040;15:50:01.040;0:23.315;0:19.954;0:29.664;;Norman NATO;;;B;Andretti Formula E;;;false;
18;1;1;1:44.298;0;;47.450;0;24.177;0;32.671;0;65.8;1:44.298;15:38:44.298;0:47.450;0:24.177;0:32.671;;Jehan DARUVALA;0:00:24.154;;B;Maserati MSG Racing;;;false;
18;1;2;1:21.316;0;;25.846;0;23.328;0;32.142;0;110.5;3:05.614;15:40:05.614;0:25.846;0:23.328;0:32.142;;Jehan DARUVALA;;;B;Maserati MSG Racing;;;false;
18;1;3;1:14.761;0;;24.001;0;20.547;0;30.213;0;120.1;4:20.375;15:41:20.375;0:24.001;0:20.547;0:30.213;;Jehan DARUVALA;;;B;Maserati MSG Racing;;;false;
18;1;4;1:14.054;2;;23.590;2;20.309;2;30.155;2;121.3;5:34.429;15:42:34.429;0:23.590;0:20.309;0:30.155;;Jehan DARUVALA;;;B;Maserati MSG Racing;;;false;
18;1;5;1:26.907;0;B;24.769;0;20.781;0;41.357;0;103.4;7:01.336;15:44:01.336;0:24.769;0:20.781;0:41.357;;Jehan DARUVALA;;;B;Maserati MSG Racing;;;false;
