NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;0;27.675;0;;;0;;0;;0;247.8;27.675;20:07:05.925;;;;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;1;1:20.122;0;;25.616;0;22.468;0;32.038;0;112.1;1:47.797;20:08:26.047;0:25.616;0:22.468;0:32.038;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;2;1:17.969;0;;24.917;0;21.889;0;31.163;0;115.2;3:05.766;20:09:44.016;0:24.917;0:21.889;0:31.163;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;3;1:15.655;0;;24.268;0;20.920;0;30.467;0;118.7;4:21.421;20:10:59.671;0:24.268;0:20.920;0:30.467;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;4;1:13.908;0;;23.564;0;20.376;0;29.968;0;121.5;5:35.329;20:12:13.579;0:23.564;0:20.376;0:29.968;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;5;1:13.320;0;;23.380;0;20.131;0;29.809;0;122.5;6:48.649;20:13:26.899;0:23.380;0:20.131;0:29.809;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;6;1:15.336;0;;23.199;0;20.082;0;32.055;0;119.2;8:03.985;20:14:42.235;0:23.199;0:20.082;0:32.055;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;7;1:13.747;0;;23.748;0;20.332;0;29.667;0;121.8;9:17.732;20:15:55.982;0:23.748;0:20.332;0:29.667;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;8;1:14.583;0;;22.992;0;19.757;0;31.834;0;120.4;10:32.315;20:17:10.565;0:22.992;0:19.757;0:31.834;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;9;1:14.552;0;;23.660;0;20.716;0;30.176;0;120.5;11:46.867;20:18:25.117;0:23.660;0:20.716;0:30.176;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;10;1:14.882;0;;23.918;0;20.935;0;30.029;0;119.9;13:01.749;20:19:39.999;0:23.918;0:20.935;0:30.029;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;11;1:14.452;0;;24.103;0;20.515;0;29.834;0;120.6;14:16.201;20:20:54.451;0:24.103;0:20.515;0:29.834;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;12;1:14.507;0;;23.843;0;20.706;0;29.958;0;120.6;15:30.708;20:22:08.958;0:23.843;0:20.706;0:29.958;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;13;1:13.210;0;;23.138;0;20.165;0;29.907;0;122.7;16:43.918;20:23:22.168;0:23.138;0:20.165;0:29.907;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;14;1:14.117;0;;23.486;0;20.095;0;30.536;0;121.2;17:58.035;20:24:36.285;0:23.486;0:20.095;0:30.536;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;15;1:14.257;0;;23.407;0;20.212;0;30.638;0;121.0;19:12.292;20:25:50.542;0:23.407;0:20.212;0:30.638;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;16;1:14.467;0;;23.550;0;20.504;0;30.413;0;120.6;20:26.759;20:27:05.009;0:23.550;0:20.504;0:30.413;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;17;1:14.162;0;;23.691;0;20.506;0;29.965;0;121.1;21:40.921;20:28:19.171;0:23.691;0:20.506;0:29.965;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;18;1:13.517;0;;23.521;0;20.262;0;29.734;0;122.2;22:54.438;20:29:32.688;0:23.521;0:20.262;0:29.734;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;19;1:13.283;0;;23.288;0;20.126;0;29.869;0;122.6;24:07.721;20:30:45.971;0:23.288;0:20.126;0:29.869;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;20;1:12.691;0;;23.125;0;19.965;0;29.601;0;123.6;25:20.412;20:31:58.662;0:23.125;0:19.965;0:29.601;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;21;1:12.905;0;;23.159;0;20.120;0;29.626;0;123.2;26:33.317;20:33:11.567;0:23.159;0:20.120;0:29.626;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;22;1:13.046;0;;23.291;0;20.031;0;29.724;0;123.0;27:46.363;20:34:24.613;0:23.291;0:20.031;0:29.724;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;23;1:13.140;0;;23.194;0;20.110;0;29.836;0;122.8;28:59.503;20:35:37.753;0:23.194;0:20.110;0:29.836;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;24;1:14.065;0;;23.505;0;20.449;0;30.111;0;121.3;30:13.568;20:36:51.818;0:23.505;0:20.449;0:30.111;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;25;1:12.930;0;;23.138;0;20.066;0;29.726;0;123.2;31:26.498;20:38:04.748;0:23.138;0:20.066;0:29.726;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;26;1:12.507;0;;23.026;0;19.920;0;29.561;0;123.9;32:39.005;20:39:17.255;0:23.026;0:19.920;0:29.561;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;27;1:12.697;0;;23.183;0;20.029;0;29.485;0;123.6;33:51.702;20:40:29.952;0:23.183;0:20.029;0:29.485;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;28;1:13.014;0;;23.036;0;20.170;0;29.808;0;123.0;35:04.716;20:41:42.966;0:23.036;0:20.170;0:29.808;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;29;1:13.358;0;;23.231;0;20.358;0;29.769;0;122.4;36:18.074;20:42:56.324;0:23.231;0:20.358;0:29.769;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;30;1:12.878;0;;23.307;0;19.981;0;29.590;0;123.2;37:30.952;20:44:09.202;0:23.307;0:19.981;0:29.590;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;31;1:11.847;0;;22.886;0;19.668;0;29.293;0;125.0;38:42.799;20:45:21.049;0:22.886;0:19.668;0:29.293;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;32;1:13.151;0;;23.347;0;20.219;0;29.585;0;122.8;39:55.950;20:46:34.200;0:23.347;0:20.219;0:29.585;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;33;1:13.019;0;;23.284;0;20.170;0;29.565;0;123.0;41:08.969;20:47:47.219;0:23.284;0:20.170;0:29.565;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;34;1:11.568;0;;22.833;3;19.566;0;29.169;0;125.5;42:20.537;20:48:58.787;0:22.833;0:19.566;0:29.169;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;35;1:12.634;0;;23.153;0;20.056;0;29.425;0;123.7;43:33.171;20:50:11.421;0:23.153;0:20.056;0:29.425;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;36;1:11.399;3;;22.874;0;19.461;2;29.064;2;125.8;44:44.570;20:51:22.820;0:22.874;0:19.461;0:29.064;;Jake DENNIS;;;;Andretti Formula E;;;false;
1;1;37;1:11.882;0;;22.866;0;19.652;0;29.364;0;125.0;45:56.452;20:52:34.702;0:22.866;0:19.652;0:29.364;;Jake DENNIS;;;;Andretti Formula E;;;false;
11;1;0;32.124;0;;;0;;0;;0;213.5;32.124;20:07:10.374;;;;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;;;false;
11;1;1;1:23.572;0;;28.890;0;22.520;0;32.162;0;107.5;1:55.696;20:08:33.946;0:28.890;0:22.520;0:32.162;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;;;false;
11;1;2;1:16.634;0;;24.790;0;20.963;0;30.881;0;117.2;3:12.330;20:09:50.580;0:24.790;0:20.963;0:30.881;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;;;false;
11;1;3;1:18.378;0;;24.615;0;21.266;0;32.497;0;114.6;4:30.708;20:11:08.958;0:24.615;0:21.266;0:32.497;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;;;false;
11;1;4;1:14.885;0;;23.786;0;20.347;0;30.752;0;119.9;5:45.593;20:12:23.843;0:23.786;0:20.347;0:30.752;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;;;false;
11;1;5;1:14.358;0;;24.097;0;20.413;0;29.848;0;120.8;6:59.951;20:13:38.201;0:24.097;0:20.413;0:29.848;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;;;false;
11;1;6;1:14.181;0;;23.829;0;20.316;0;30.036;0;121.1;8:14.132;20:14:52.382;0:23.829;0:20.316;0:30.036;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;;;false;
