TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1706288847;26/01/2024 17:07:27;23,12;22,6;45,52;936,08;1,37;323;-999;
1706288908;26/01/2024 17:08:28;23,06;22,6;45,37;936,07;0,81;301;-999;
1706288969;26/01/2024 17:09:29;23,06;22,5;45,35;936,06;2,34;353;-999;
1706289030;26/01/2024 17:10:30;23,04;22,5;45,42;936,08;1,93;327;-999;
1706289091;26/01/2024 17:11:31;23,06;22,5;45,3;936,08;1,9;340;-999;
1706289153;26/01/2024 17:12:33;23,05;22,5;45,22;936,09;2,37;344;-999;
1706289213;26/01/2024 17:13:33;23,04;22,4;45,31;936,08;1,81;292;-999;
1706289275;26/01/2024 17:14:35;23,02;22,4;45,1;936,09;1,67;306;-999;
1706289335;26/01/2024 17:15:35;23,08;22,4;45,04;936,06;1,44;317;-999;
1706289395;26/01/2024 17:16:35;23,05;22,4;45,02;936,05;0,8;353;-999;
1706289457;26/01/2024 17:17:37;23,06;22,3;44,94;936,05;1,46;310;-999;
1706289517;26/01/2024 17:18:37;23,04;22,3;44,87;936,07;0,66;1;-999;
1706289577;26/01/2024 17:19:37;23,06;22,3;44,91;936,08;1,44;320;-999;
1706289637;26/01/2024 17:20:37;22,98;22,3;44,96;936,13;0,51;331;-999;
1706289698;26/01/2024 17:21:38;23,01;22,3;44,88;936,13;0,65;7;-999;
1706289760;26/01/2024 17:22:40;23,04;22,3;44,86;936,15;1,15;318;-999;
1706289820;26/01/2024 17:23:40;22,99;22,2;44,77;936,13;2,44;337;-999;
1706289880;26/01/2024 17:24:40;22,97;22,2;44,69;936,15;1,95;304;-999;
1706289942;26/01/2024 17:25:42;22,98;22,2;44,67;936,15;0,47;288;-999;
1706290003;26/01/2024 17:26:43;22,94;22,2;44,68;936,14;1,36;347;-999;
1706290063;26/01/2024 17:27:43;22,97;22,2;44,61;936,14;2,13;340;-999;
1706290124;26/01/2024 17:28:44;22,91;22,2;44,57;936,12;1,99;323;-999;
1706290185;26/01/2024 17:29:45;22,93;22,1;44,51;936,15;1,15;325;-999;
1706290245;26/01/2024 17:30:45;22,94;22,1;44,51;936,16;1,77;326;-999;
1706290307;26/01/2024 17:31:47;22,87;22,1;44,51;936,18;0,66;347;-999;
1706290367;26/01/2024 17:32:47;22,84;22,1;44,41;936,21;1,25;332;-999;
1706290427;26/01/2024 17:33:47;22,88;22,1;44,44;936,21;1,68;318;-999;
1706290488;26/01/2024 17:34:48;22,83;22;44,41;936,21;2,6;326;-999;
1706290550;26/01/2024 17:35:50;22,85;22;44,31;936,23;2,56;325;-999;
1706290612;26/01/2024 17:36:52;22,79;22;44,35;936,24;0,97;333;-999;
1706290673;26/01/2024 17:37:53;22,81;22;44,33;936,27;1,61;313;-999;
1706290733;26/01/2024 17:38:53;22,85;22;44,4;936,26;1,74;308;-999;
1706290794;26/01/2024 17:39:54;22,78;22;44,45;936,29;1,53;358;-999;
1706290854;26/01/2024 17:40:54;22,81;21,9;44,39;936,31;1,65;350;-999;
1706290914;26/01/2024 17:41:54;22,75;21,9;44,33;936,31;1,04;333;-999;
1706290974;26/01/2024 17:42:54;22,74;21,9;44,33;936,33;1,08;343;-999;
1706291035;26/01/2024 17:43:55;22,74;21,9;44,31;936,34;1,11;330;-999;
1706291095;26/01/2024 17:44:55;22,77;21,9;44,32;936,32;1,58;339;-999;
1706291155;26/01/2024 17:45:55;22,72;21,9;44,34;936,34;1,45;344;-999;
1706291215;26/01/2024 17:46:55;22,72;21,8;44,26;936,36;1,31;334;-999;
1706291275;26/01/2024 17:47:55;22,74;21,8;44,25;936,33;0,96;309;-999;
1706291335;26/01/2024 17:48:55;22,72;21,8;44,2;936,35;1,23;311;-999;
1706291395;26/01/2024 17:49:55;22,71;21,8;44,23;936,36;0,97;308;-999;
1706291455;26/01/2024 17:50:55;22,71;21,8;44,22;936,38;1,84;338;-999;
1706291515;26/01/2024 17:51:55;22,64;21,8;44,3;936,37;1,86;325;-999;
