POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;37;Classified;36;43:51.868;-;-;36;1:10.606;127.2;Jaguar TCS Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;2;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
2;4;Classified;36;43:53.060;+1.192;+1.192;11;1:11.002;126.5;Envision Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;13;Robin;FRIJNS;;NLD;NLD;FRI;;;;;;
3;22;Classified;36;43:53.743;+1.875;+0.683;36;1:11.138;126.3;Nissan Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;14;Oliver;ROWLAND;;GBR;GBR;ROW;;;;;;
4;5;Classified;36;43:54.799;+2.931;+1.056;36;1:11.508;125.6;NEOM McLaren Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;10;Jake;HUGHES;;GBR;GBR;HUG;;;;;;
5;2;Classified;36;43:55.265;+3.397;+0.466;17;1:11.428;125.7;DS PENSKE;;;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;11;Stoffel;VANDOORNE;;BEL;BEL;VAN;;;;;;
6;23;Classified;36;43:56.466;+4.598;+1.201;19;1:11.304;126.0;Nissan Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;15;Sacha;FENESTRAZ;;FRA;FRA;FEN;;;;;;
7;94;Classified;36;43:56.684;+4.816;+0.218;20;1:11.072;126.4;TAG Heuer Porsche Formula E Team;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;1;Pascal;WEHRLEIN;;DEU;DEU;WEH;;;;;;
8;25;Classified;36;43:57.063;+5.195;+0.379;20;1:11.160;126.2;DS PENSKE;;;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;3;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
9;7;Classified;36;43:57.577;+5.709;+0.514;23;1:11.089;126.3;Maserati MSG Racing;;;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;7;Maximilian;GÜNTHER;;DEU;DEU;GUE;;;;;;
10;9;Classified;36;43:58.734;+6.866;+1.157;20;1:10.624;127.2;Jaguar TCS Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;5;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
11;48;Classified;36;44:01.984;+10.116;+3.250;32;1:11.189;126.2;MAHINDRA RACING;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;16;Edoardo;MORTARA;;CHE;CHE;MOR;;;;;;
12;1;Classified;36;44:03.108;+11.240;+1.124;33;1:10.296;127.8;Andretti Formula E;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;4;Jake;DENNIS;;GBR;GBR;DEN;;;;;;
13;51;Classified;36;44:06.330;+14.462;+3.222;22;1:11.264;126.0;ABT CUPRA FORMULA E TEAM;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;20;Nico;MÜLLER;;CHE;CHE;MUE;;;;;;
14;13;Classified;36;44:09.828;+17.960;+3.498;29;1:11.041;126.4;TAG Heuer Porsche Formula E Team;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;19;António Félix;DA COSTA;;PRT;PRT;DAC;;;;;;
15;21;Classified;36;44:11.163;+19.295;+1.335;21;1:11.284;126.0;MAHINDRA RACING;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;17;Nyck;DE VRIES;;NLD;NLD;DEV;;;;;;
16;17;Classified;36;44:17.103;+25.235;+5.940;28;1:11.259;126.0;Andretti Formula E;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;9;Norman;NATO;;FRA;FRA;NAT;;;;;;
17;11;Classified;36;44:17.507;+25.639;+0.404;27;1:11.311;126.0;ABT CUPRA FORMULA E TEAM;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;22;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
18;3;Classified;36;44:18.432;+26.564;+0.925;24;1:11.507;125.6;ERT Formula E Team;;;;ERT X24;HANKOOK;;;;;;;;;;12;Sérgio;SETTE CÂMARA;;BRA;BRA;SET;;;;;;
;33;Not classified;32;41:33.940;;;28;1:10.751;127.0;ERT Formula E Team;;;;ERT X24;HANKOOK;;;;;;;;;;21;Dan;TICKTUM;;GBR;GBR;TIC;;;;;;
;18;Not classified;25;30:55.484;;;17;1:11.136;126.3;Maserati MSG Racing;;;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;18;Jehan;DARUVALA;;IND;IND;DAR;;;;;;
;8;Not classified;22;27:34.329;;;20;1:10.664;127.1;NEOM McLaren Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;8;Sam;BIRD;;GBR;GBR;BIR;;;;;;
