TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1706358034;27/01/2024 12:20:34;21,8;26,2;30,57;938,08;1,21;32;-999;
1706358094;27/01/2024 12:21:34;21,8;26,2;30,53;938,09;2,49;324;-999;
1706358154;27/01/2024 12:22:34;21,88;26,1;30,58;938,09;1,46;333;-999;
1706358215;27/01/2024 12:23:35;22,02;26,1;30,64;938,1;1,76;323;-999;
1706358275;27/01/2024 12:24:35;22,13;26;30,26;938,11;2;323;-999;
1706358335;27/01/2024 12:25:35;22,2;26;30,13;938,14;1,82;330;-999;
1706358395;27/01/2024 12:26:35;22,29;26;29,97;938,15;2,4;326;-999;
1706358455;27/01/2024 12:27:35;22,28;25,8;29,72;938,16;3,26;318;-999;
1706358515;27/01/2024 12:28:35;22,15;25,8;29,89;938,19;2,51;344;-999;
1706358575;27/01/2024 12:29:35;22,01;25,7;30,15;938,19;2,05;307;-999;
1706358635;27/01/2024 12:30:35;22,02;25,6;30,06;938,23;1,81;302;-999;
1706358695;27/01/2024 12:31:35;22,16;25,6;29,95;938,23;0,7;17;-999;
