TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1706359055;27/01/2024 12:37:35;21,91;25,2;30,48;938,28;0,99;344;-999;
1706359115;27/01/2024 12:38:35;21,98;25,2;30,22;938,32;1,14;64;-999;
1706359175;27/01/2024 12:39:35;22,03;25,1;30,08;938,31;0,69;70;-999;
1706359235;27/01/2024 12:40:35;22,08;25;29,94;938,28;0,47;290;-999;
1706359295;27/01/2024 12:41:35;22,08;25;30,08;938,29;1,04;359;-999;
1706359355;27/01/2024 12:42:35;22,16;24,9;29,92;938,26;0,63;2;-999;
1706359415;27/01/2024 12:43:35;22,15;24,9;29,82;938,27;0,82;4;-999;
1706359475;27/01/2024 12:44:35;22,1;24,9;29,63;938,27;2,81;315;-999;
1706359535;27/01/2024 12:45:35;21,95;24,8;29,78;938,32;1,87;343;-999;
1706359595;27/01/2024 12:46:35;21,85;24,8;30,06;938,35;1,81;352;-999;
1706359656;27/01/2024 12:47:36;21,72;24,8;30,26;938,35;2,12;347;-999;
1706359716;27/01/2024 12:48:36;21,78;24,7;30,29;938,35;1,91;342;-999;
