POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;25;7;1:13.731;-;-;143.2;7;DS PENSKE;;A;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;3;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
2;2;8;1:13.849;+0.118;+0.118;143.0;8;DS PENSKE;;A;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;11;Stoffel;VANDOORNE;;BEL;BEL;VAN;;;;;;
3;9;7;1:13.858;+0.127;+0.009;143.0;7;Jaguar TCS Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;5;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
4;51;6;1:13.867;+0.136;+0.009;142.9;7;ABT CUPRA FORMULA E TEAM;;A;;Mahindra M10Electro;HANKOOK;;;;;;;;;;17;Nico;MÜLLER;;CHE;CHE;MUE;;;;;;
5;37;4;1:13.878;+0.147;+0.011;142.9;8;Jaguar TCS Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;1;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
6;22;8;1:13.925;+0.194;+0.047;142.8;8;Nissan Formula E Team;;A;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;9;Oliver;ROWLAND;;GBR;GBR;ROW;;;;;;
7;21;8;1:13.935;+0.204;+0.010;142.8;8;MAHINDRA RACING;;A;;Mahindra M10Electro;HANKOOK;;;;;;;;;;19;Nyck;DE VRIES;;NLD;NLD;DEV;;;;;;
8;11;8;1:13.962;+0.231;+0.027;142.8;8;ABT CUPRA FORMULA E TEAM;;A;;Mahindra M10Electro;HANKOOK;;;;;;;;;;21;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
9;4;8;1:13.987;+0.256;+0.025;142.7;8;Envision Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;7;Robin;FRIJNS;;NLD;NLD;FRI;;;;;;
10;3;8;1:14.057;+0.326;+0.070;142.6;8;ERT Formula E Team;;A;;ERT X24;HANKOOK;;;;;;;;;;15;Sérgio;SETTE CÂMARA;;BRA;BRA;SET;;;;;;
11;17;3;1:14.146;+0.415;+0.089;142.4;7;Andretti Formula E;;A;;Porsche 99X Electric;HANKOOK;;;;;;;;;;13;Norman;NATO;;FRA;FRA;NAT;;;;;;
