POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;7;6;1:13.516;-;-;143.6;8;Maserati MSG Racing;;B;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;6;Maximilian;GÜNTHER;;DEU;DEU;GUE;;;;;;
2;94;8;1:13.713;+0.197;+0.197;143.2;8;TAG Heuer Porsche Formula E Team;;B;;Porsche 99X Electric;HANKOOK;;;;;;;;;;2;Pascal;WEHRLEIN;;DEU;DEU;WEH;;;;;;
3;48;8;1:13.734;+0.218;+0.021;143.2;8;MAHINDRA RACING;;B;;Mahindra M10Electro;HANKOOK;;;;;;;;;;16;Edoardo;MORTARA;;CHE;CHE;MOR;;;;;;
4;8;8;1:13.786;+0.270;+0.052;143.1;8;NEOM McLaren Formula E Team;;B;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;12;Sam;BIRD;;GBR;GBR;BIR;;;;;;
5;13;8;1:13.791;+0.275;+0.005;143.1;8;TAG Heuer Porsche Formula E Team;;B;;Porsche 99X Electric;HANKOOK;;;;;;;;;;18;António Félix;DA COSTA;;PRT;PRT;DAC;;;;;;
6;1;8;1:13.844;+0.328;+0.053;143.0;8;Andretti Formula E;;B;;Porsche 99X Electric;HANKOOK;;;;;;;;;;4;Jake;DENNIS;;GBR;GBR;DEN;;;;;;
7;5;8;1:13.870;+0.354;+0.026;142.9;8;NEOM McLaren Formula E Team;;B;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;10;Jake;HUGHES;;GBR;GBR;HUG;;;;;;
8;23;3;1:13.967;+0.451;+0.097;142.8;7;Nissan Formula E Team;;B;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;14;Sacha;FENESTRAZ;;FRA;FRA;FEN;;;;;;
9;18;6;1:14.032;+0.516;+0.065;142.6;8;Maserati MSG Racing;;B;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;20;Jehan;DARUVALA;;IND;IND;DAR;;;;;;
10;16;8;1:14.085;+0.569;+0.053;142.5;8;Envision Racing;;B;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;8;Sébastien;BUEMI;;CHE;CHE;BUE;;;;;;
11;33;7;1:14.115;+0.599;+0.030;142.5;7;ERT Formula E Team;;B;;ERT X24;HANKOOK;;;;;;;;;;22;Dan;TICKTUM;;GBR;GBR;TIC;;;;;;
