NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
11;1;1;4:17.375;0;B;41.289;0;1:07.664;0;2:28.422;0;37.0;4:17.375;09:44:17.375;0:41.289;1:07.664;2:28.422;;Lucas DI GRASSI;0:00:11.733;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;2;1:42.489;0;;33.010;0;34.880;0;34.599;0;103.0;5:59.864;09:45:59.864;0:33.010;0:34.880;0:34.599;;Lucas DI GRASSI;0:01:48.608;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;3;1:14.309;0;;23.708;0;28.717;0;21.884;0;142.1;7:14.173;09:47:14.173;0:23.708;0:28.717;0:21.884;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;4;3:17.356;0;B;23.545;0;28.735;0;2:25.076;0;53.5;10:31.529;09:50:31.529;0:23.545;0:28.735;2:25.076;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;5;1:21.627;0;;29.093;0;29.804;0;22.730;0;129.4;11:53.156;09:51:53.156;0:29.093;0:29.804;0:22.730;;Lucas DI GRASSI;0:02:07.752;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;6;1:14.445;0;;23.741;0;28.761;0;21.943;0;141.8;13:07.601;09:53:07.601;0:23.741;0:28.761;0:21.943;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;7;1:36.605;0;;30.058;0;41.067;0;25.480;0;109.3;14:44.206;09:54:44.206;0:30.058;0:41.067;0:25.480;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;8;1:13.962;2;;23.535;2;28.649;2;21.778;2;142.8;15:58.168;09:55:58.168;0:23.535;0:28.649;0:21.778;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
17;1;1;4:08.470;0;B;39.967;0;1:05.486;0;2:23.017;0;38.3;4:08.470;09:44:08.470;0:39.967;1:05.486;2:23.017;;Norman NATO;0:00:10.153;;A;Andretti Formula E;Porsche;;false;
17;1;2;1:37.109;0;;33.648;0;35.354;0;28.107;0;108.7;5:45.579;09:45:45.579;0:33.648;0:35.354;0:28.107;;Norman NATO;0:01:42.895;;A;Andretti Formula E;Porsche;;false;
