NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;1;1:40.448;0;;38.996;0;33.946;0;27.506;0;94.7;1:40.448;10:02:40.448;0:38.996;0:33.946;0:27.506;;Jake DENNIS;0:00:06.697;;B;Andretti Formula E;Porsche;;false;
1;1;2;1:14.328;0;;23.591;0;28.849;0;21.888;0;142.1;2:54.776;10:03:54.776;0:23.591;0:28.849;0:21.888;;Jake DENNIS;;;B;Andretti Formula E;Porsche;;false;
1;1;3;1:33.929;0;;27.515;0;38.631;0;27.783;0;112.4;4:28.705;10:05:28.705;0:27.515;0:38.631;0:27.783;;Jake DENNIS;;;B;Andretti Formula E;Porsche;;false;
1;1;4;1:13.893;0;;23.507;0;28.476;2;21.910;0;142.9;5:42.598;10:06:42.598;0:23.507;0:28.476;0:21.910;;Jake DENNIS;;;B;Andretti Formula E;Porsche;;false;
1;1;5;3:00.374;0;B;24.127;0;29.737;0;2:06.510;0;58.5;8:42.972;10:09:42.972;0:24.127;0:29.737;2:06.510;;Jake DENNIS;;;B;Andretti Formula E;Porsche;;false;
1;1;6;1:30.947;0;;30.479;0;33.223;0;27.245;0;116.1;10:13.919;10:11:13.919;0:30.479;0:33.223;0:27.245;;Jake DENNIS;0:01:50.095;;B;Andretti Formula E;Porsche;;false;
1;1;7;1:35.532;0;;26.716;0;32.950;0;35.866;0;110.5;11:49.451;10:12:49.451;0:26.716;0:32.950;0:35.866;;Jake DENNIS;;;B;Andretti Formula E;Porsche;;false;
1;1;8;1:13.844;2;;23.477;2;28.581;0;21.786;2;143.0;13:03.295;10:14:03.295;0:23.477;0:28.581;0:21.786;;Jake DENNIS;;;B;Andretti Formula E;Porsche;;false;
13;1;1;1:35.300;0;;38.165;0;31.582;0;25.553;0;99.8;1:35.300;10:02:35.300;0:38.165;0:31.582;0:25.553;;António Félix DA COSTA;0:00:08.353;;B;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;2;1:13.801;0;;23.517;0;28.545;0;21.739;3;143.1;2:49.101;10:03:49.101;0:23.517;0:28.545;0:21.739;;António Félix DA COSTA;;;B;TAG Heuer Porsche Formula E Team;Porsche;;false;
