NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;0;1:25.133;0;;29.868;0;32.438;0;22.827;0;111.7;1:25.133;14:05:25.453;0:29.868;0:32.438;0:22.827;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;1;1:18.746;0;;25.167;0;30.567;0;23.012;0;134.1;2:43.879;14:06:44.199;0:25.167;0:30.567;0:23.012;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;2;1:19.867;0;;26.271;0;31.038;0;22.558;0;132.2;4:03.746;14:08:04.066;0:26.271;0:31.038;0:22.558;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;3;1:20.502;0;;25.088;0;31.779;0;23.635;0;131.2;5:24.248;14:09:24.568;0:25.088;0:31.779;0:23.635;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;4;1:20.787;0;;26.011;0;31.829;0;22.947;0;130.7;6:45.035;14:10:45.355;0:26.011;0:31.829;0:22.947;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;5;1:21.545;0;;25.431;0;32.324;0;23.790;0;129.5;8:06.580;14:12:06.900;0:25.431;0:32.324;0:23.790;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;6;1:20.079;0;;24.957;0;31.582;0;23.540;0;131.9;9:26.659;14:13:26.979;0:24.957;0:31.582;0:23.540;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;7;1:34.143;0;;25.494;0;31.987;0;36.662;0;112.2;11:00.802;14:15:01.122;0:25.494;0:31.987;0:36.662;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;8;3:45.948;0;;1:28.667;0;1:43.860;0;33.421;0;46.7;14:46.750;14:18:47.070;1:28.667;1:43.860;0:33.421;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;9;1:19.555;0;;24.835;0;31.980;0;22.740;0;132.7;16:06.305;14:20:06.625;0:24.835;0:31.980;0:22.740;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;10;1:19.708;0;;24.753;0;31.062;0;23.893;0;132.5;17:26.013;14:21:26.333;0:24.753;0:31.062;0:23.893;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;11;1:18.867;0;;26.154;0;29.754;0;22.959;0;133.9;18:44.880;14:22:45.200;0:26.154;0:29.754;0:22.959;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
