TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1710608657;16/03/2024 17:04:17;34,73;60,1;42,62;927,07;0,93;352;-999;
1710608717;16/03/2024 17:05:17;34,7;60,1;42,16;927,05;1,87;318;-999;
1710608777;16/03/2024 17:06:17;34,73;60;42,09;927,03;0,81;281;-999;
1710608838;16/03/2024 17:07:18;34,71;60;42,84;927;1,71;345;-999;
1710608898;16/03/2024 17:08:18;34,61;59,9;43,34;926,97;1,16;342;-999;
1710608959;16/03/2024 17:09:19;34,56;59,8;43,99;926,98;2,59;330;-999;
1710609020;16/03/2024 17:10:20;34,64;59,8;43,77;926,96;2,31;262;-999;
1710609081;16/03/2024 17:11:21;34,71;59,8;43,99;926,94;2,31;315;-999;
1710609143;16/03/2024 17:12:23;34,73;59,8;43,86;926,93;1,99;296;-999;
1710609204;16/03/2024 17:13:24;34,88;59,8;44,41;926,91;2,12;322;-999;
1710609266;16/03/2024 17:14:26;35,06;59,8;44,41;926,94;1,43;338;-999;
1710609326;16/03/2024 17:15:26;35,13;59,9;44,16;926,89;3,15;294;-999;
1710609386;16/03/2024 17:16:26;35,09;59,9;44,16;926,87;1,6;320;-999;
1710609446;16/03/2024 17:17:26;35,04;59,8;44,28;926,86;2,45;338;-999;
1710609506;16/03/2024 17:18:26;34,81;59,8;44,62;926,87;1,92;307;-999;
1710609566;16/03/2024 17:19:26;34,84;59,7;44,1;926,82;0,91;354;-999;
1710609626;16/03/2024 17:20:26;35;59,7;43,99;926,84;1,3;324;-999;
1710609686;16/03/2024 17:21:26;35,13;59,7;43,72;926,82;2,82;303;-999;
1710609746;16/03/2024 17:22:26;35,18;59,9;43,28;926,81;1;264;-999;
1710609807;16/03/2024 17:23:27;35,21;59,9;43,62;926,8;1,04;328;-999;
1710609867;16/03/2024 17:24:27;35,3;60;43,59;926,8;1,79;269;-999;
1710609927;16/03/2024 17:25:27;35,21;59,9;43,57;926,77;2,01;305;-999;
1710609988;16/03/2024 17:26:28;35,12;59,9;43,63;926,76;2,31;265;-999;
1710610048;16/03/2024 17:27:28;35,09;59,9;42,53;926,78;1,28;260;-999;
1710610108;16/03/2024 17:28:28;35,02;59,9;42,57;926,77;1,55;284;-999;
1710610168;16/03/2024 17:29:28;34,97;59,8;42,8;926,74;1,8;288;-999;
1710610228;16/03/2024 17:30:28;35,08;59,9;42,78;926,71;3,68;311;-999;
1710610289;16/03/2024 17:31:29;35,08;60;42,47;926,66;2,58;317;-999;
1710610349;16/03/2024 17:32:29;35,01;60;42,98;926,65;3,02;313;-999;
1710610409;16/03/2024 17:33:29;35,08;60;41,63;926,63;2,7;297;-999;
1710610469;16/03/2024 17:34:29;35,01;60,1;42,21;926,63;2,72;316;-999;
1710610529;16/03/2024 17:35:29;35,21;60,2;41,72;926,62;1,89;257;-999;
1710610589;16/03/2024 17:36:29;35,24;60,2;41,44;926,57;1,78;193;-999;
1710610649;16/03/2024 17:37:29;35,28;60,2;42,02;926,63;1,88;280;-999;
1710610709;16/03/2024 17:38:29;35,3;60,2;41,82;926,63;1,24;316;-999;
1710610769;16/03/2024 17:39:29;35,19;60,1;41,65;926,59;2,08;269;-999;
1710610829;16/03/2024 17:40:29;35,19;60;41,84;926,56;1,23;259;-999;
1710610889;16/03/2024 17:41:29;35,18;59,9;42,19;926,5;2,46;270;-999;
1710610949;16/03/2024 17:42:29;35,18;59,9;42,49;926,53;0,95;204;-999;
1710611009;16/03/2024 17:43:29;35,11;60;42,58;926,49;0,9;153;-999;
1710611069;16/03/2024 17:44:29;35,26;60;42,31;926,5;0,78;224;-999;
1710611129;16/03/2024 17:45:29;35,32;59,9;43,02;926,51;1,77;267;-999;
1710611189;16/03/2024 17:46:29;35,24;59,9;43,59;926,45;3,52;229;-999;
1710611249;16/03/2024 17:47:29;35,16;59,9;43,54;926,46;1,62;287;-999;
1710611310;16/03/2024 17:48:30;35,16;59,8;43,81;926,46;1,75;322;-999;
1710611370;16/03/2024 17:49:30;35,32;59,8;43,46;926,44;1,74;357;-999;
1710611430;16/03/2024 17:50:30;35,36;59,7;43,22;926,42;1,28;349;-999;
1710611490;16/03/2024 17:51:30;35,22;59,7;43,81;926,4;0,67;3;-999;
1710611550;16/03/2024 17:52:30;35,33;59,7;44,37;926,41;1,33;297;-999;
1710611610;16/03/2024 17:53:30;35,45;59,7;42,24;926,42;1,92;266;-999;
1710611670;16/03/2024 17:54:30;35,63;59,6;41,57;926,39;0,74;14;-999;
1710611730;16/03/2024 17:55:30;35,84;59,6;40,81;926,38;1,26;297;-999;
1710611790;16/03/2024 17:56:30;35,98;59,6;40,95;926,37;0,42;133;-999;
