POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;22;5;1:19.658;-;-;116.7;6;Nissan Formula E Team;;A;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;7;Oliver;ROWLAND;;GBR;GBR;ROW;;;;;;
2;48;7;1:19.678;+0.020;+0.020;116.7;7;MAHINDRA RACING;;A;;Mahindra M10Electro;HANKOOK;;;;;;;;;;17;Edoardo;MORTARA;;CHE;CHE;MOR;;;;;;
3;1;7;1:19.939;+0.281;+0.261;116.3;7;Andretti Formula E;;A;;Porsche 99X Electric;HANKOOK;;;;;;;;;;5;Jake;DENNIS;;GBR;GBR;DEN;;;;;;
4;9;7;1:19.991;+0.333;+0.052;116.2;7;Jaguar TCS Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;3;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
5;13;7;1:20.010;+0.352;+0.019;116.2;7;TAG Heuer Porsche Formula E Team;;A;;Porsche 99X Electric;HANKOOK;;;;;;;;;;15;António Félix;DA COSTA;;PRT;PRT;DAC;;;;;;
6;17;8;1:20.056;+0.398;+0.046;116.1;8;Andretti Formula E;;A;;Porsche 99X Electric;HANKOOK;;;;;;;;;;13;Norman;NATO;;FRA;FRA;NAT;;;;;;
7;5;8;1:20.226;+0.568;+0.170;115.9;8;NEOM McLaren Formula E Team;;A;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;11;Jake;HUGHES;;GBR;GBR;HUG;;;;;;
8;11;7;1:20.269;+0.611;+0.043;115.8;7;ABT CUPRA FORMULA E TEAM;;A;;Mahindra M10Electro;HANKOOK;;;;;;;;;;19;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
9;18;7;1:20.395;+0.737;+0.126;115.6;7;Maserati MSG Racing;;A;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;21;Jehan;DARUVALA;;IND;IND;DAR;;;;;;
10;37;3;1:20.401;+0.743;+0.006;115.6;7;Jaguar TCS Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;1;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
11;16;7;1:20.678;+1.020;+0.277;115.2;7;Envision Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;9;Sébastien;BUEMI;;CHE;CHE;BUE;;;;;;
