POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;7;5;1:19.391;-;-;117.1;7;Maserati MSG Racing;;B;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;8;Maximilian;GÜNTHER;;DEU;DEU;GUE;;;;;;
2;3;7;1:19.474;+0.083;+0.083;117.0;7;ERT Formula E Team;;B;;ERT X24;HANKOOK;;;;;;;;;;16;Sérgio;SETTE CÂMARA;;BRA;BRA;SET;;;;;;
3;51;7;1:19.725;+0.334;+0.251;116.6;7;ABT CUPRA FORMULA E TEAM;;B;;Mahindra M10Electro;HANKOOK;;;;;;;;;;18;Nico;MÜLLER;;CHE;CHE;MUE;;;;;;
4;94;8;1:19.792;+0.401;+0.067;116.5;8;TAG Heuer Porsche Formula E Team;;B;;Porsche 99X Electric;HANKOOK;;;;;;;;;;2;Pascal;WEHRLEIN;;DEU;DEU;WEH;;;;;;
5;4;3;1:19.822;+0.431;+0.030;116.4;7;Envision Racing;;B;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;10;Robin;FRIJNS;;NLD;NLD;FRI;;;;;;
6;21;3;1:19.881;+0.490;+0.059;116.4;6;MAHINDRA RACING;;B;;Mahindra M10Electro;HANKOOK;;;;;;;;;;20;Nyck;DE VRIES;;NLD;NLD;DEV;;;;;;
7;25;7;1:19.883;+0.492;+0.002;116.4;7;DS PENSKE;;B;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;4;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
8;33;7;1:19.952;+0.561;+0.069;116.3;7;ERT Formula E Team;;B;;ERT X24;HANKOOK;;;;;;;;;;22;Dan;TICKTUM;;GBR;GBR;TIC;;;;;;
9;2;5;1:20.027;+0.636;+0.075;116.2;7;DS PENSKE;;B;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;12;Stoffel;VANDOORNE;;BEL;BEL;VAN;;;;;;
10;23;7;1:20.132;+0.741;+0.105;116.0;7;Nissan Formula E Team;;B;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;14;Sacha;FENESTRAZ;;FRA;FRA;FEN;;;;;;
11;8;5;1:20.660;+1.269;+0.528;115.2;6;NEOM McLaren Formula E Team;;B;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;6;Sam;BIRD;;GBR;GBR;BIR;;;;;;
