POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;7;Classified;35;53:34.665;-;-;13;1:21.699;113.8;Maserati MSG Racing;;;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;8;Maximilian;GÜNTHER;;DEU;DEU;GUE;;;;;;
2;22;Classified;35;53:35.420;+0.755;+0.755;10;1:22.219;113.1;Nissan Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;7;Oliver;ROWLAND;;GBR;GBR;ROW;;;;;;
3;1;Classified;35;53:36.070;+1.405;+0.650;13;1:22.194;113.1;Andretti Formula E;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;5;Jake;DENNIS;;GBR;GBR;DEN;;;;;;
4;13;Classified;35;53:36.487;+1.822;+0.417;13;1:22.311;112.9;TAG Heuer Porsche Formula E Team;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;15;António Félix;DA COSTA;;PRT;PRT;DAC;;;;;;
5;94;Classified;35;53:38.562;+3.897;+2.075;13;1:22.275;113.0;TAG Heuer Porsche Formula E Team;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;2;Pascal;WEHRLEIN;;DEU;DEU;WEH;;;;;;
6;51;Classified;35;53:39.648;+4.983;+1.086;27;1:22.637;112.5;ABT CUPRA FORMULA E TEAM;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;18;Nico;MÜLLER;;CHE;CHE;MUE;;;;;;
7;37;Classified;35;53:40.207;+5.542;+0.559;19;1:21.902;113.5;Jaguar TCS Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;1;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
8;4;Classified;35;53:40.594;+5.929;+0.387;13;1:22.438;112.8;Envision Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;10;Robin;FRIJNS;;NLD;NLD;FRI;;;;;;
9;3;Classified;35;53:41.169;+6.504;+0.575;13;1:22.551;112.6;ERT Formula E Team;;;;ERT X24;HANKOOK;;;;;;;;;;16;Sérgio;SETTE CÂMARA;;BRA;BRA;SET;;;;;;
10;23;Classified;35;53:41.681;+7.016;+0.512;19;1:22.406;112.8;Nissan Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;14;Sacha;FENESTRAZ;;FRA;FRA;FEN;;;;;;
11;25;Classified;35;53:42.248;+7.583;+0.567;19;1:22.901;112.1;DS PENSKE;;;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;4;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
12;16;Classified;35;53:43.132;+8.467;+0.884;14;1:23.092;111.9;Envision Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;9;Sébastien;BUEMI;;CHE;CHE;BUE;;;;;;
13;5;Classified;35;53:43.524;+8.859;+0.392;13;1:22.606;112.5;NEOM McLaren Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;11;Jake;HUGHES;;GBR;GBR;HUG;;;;;;
14;9;Classified;35;53:43.981;+9.316;+0.457;14;1:23.052;111.9;Jaguar TCS Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;3;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
15;17;Classified;35;53:44.238;+9.573;+0.257;26;1:22.620;112.5;Andretti Formula E;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;13;Norman;NATO;;FRA;FRA;NAT;;;;;;
16;2;Classified;35;53:44.400;+9.735;+0.162;14;1:23.112;111.8;DS PENSKE;;;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;12;Stoffel;VANDOORNE;;BEL;BEL;VAN;;;;;;
17;18;Classified;35;53:49.761;+15.096;+5.361;14;1:22.568;112.6;Maserati MSG Racing;;;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;21;Jehan;DARUVALA;;IND;IND;DAR;;;;;;
18;33;Classified;35;54:24.083;+49.418;+34.322;25;1:22.824;112.2;ERT Formula E Team;;;;ERT X24;HANKOOK;;;;;;;;;;22;Dan;TICKTUM;;GBR;GBR;TIC;;;;;;
;8;Not classified;34;54:10.461;;;27;1:19.731;116.6;NEOM McLaren Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;6;Sam;BIRD;;GBR;GBR;BIR;;;;;;
;11;Not classified;17;24:13.474;;;14;1:22.863;112.2;ABT CUPRA FORMULA E TEAM;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;19;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
;21;Not classified;17;24:14.011;;;14;1:22.952;112.1;MAHINDRA RACING;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;20;Nyck;DE VRIES;;NLD;NLD;DEV;;;;;;
;48;Disqualified;35;53:39.019;;;13;1:21.915;113.5;MAHINDRA RACING;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;17;Edoardo;MORTARA;;CHE;CHE;MOR;;;;;;
