NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;1;3:30.308;0;;2:30.331;0;24.985;0;34.992;0;44.2;3:30.308;10:23:30.308;2:30.331;0:24.985;0:34.992;;Jake DENNIS;0:01:52.528;;A;Andretti Formula E;Porsche;;false;
1;1;2;1:31.246;0;;35.370;0;25.137;0;30.739;0;101.9;5:01.554;10:25:01.554;0:35.370;0:25.137;0:30.739;;Jake DENNIS;;;A;Andretti Formula E;Porsche;;false;
1;1;3;1:20.808;0;;33.260;0;20.126;0;27.422;0;115.0;6:22.362;10:26:22.362;0:33.260;0:20.126;0:27.422;;Jake DENNIS;;;A;Andretti Formula E;Porsche;;false;
1;1;4;1:48.801;0;;41.578;0;29.172;0;38.051;0;85.4;8:11.163;10:28:11.163;0:41.578;0:29.172;0:38.051;;Jake DENNIS;;;A;Andretti Formula E;Porsche;;false;
1;1;5;1:19.986;0;;32.478;0;20.088;0;27.420;2;116.2;9:31.149;10:29:31.149;0:32.478;0:20.088;0:27.420;;Jake DENNIS;;;A;Andretti Formula E;Porsche;;false;
1;1;6;2:02.054;0;;45.601;0;30.839;0;45.614;0;76.2;11:33.203;10:31:33.203;0:45.601;0:30.839;0:45.614;;Jake DENNIS;;;A;Andretti Formula E;Porsche;;false;
1;1;7;1:19.939;2;;32.415;2;20.043;3;27.481;0;116.3;12:53.142;10:32:53.142;0:32.415;0:20.043;0:27.481;;Jake DENNIS;;;A;Andretti Formula E;Porsche;;false;
11;1;1;2:40.205;0;;1:48.860;0;21.771;0;29.574;0;58.0;2:40.205;10:22:40.205;1:48.860;0:21.771;0:29.574;;Lucas DI GRASSI;0:01:13.216;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;2;1:32.666;0;;33.723;0;21.229;0;37.714;0;100.3;4:12.871;10:24:12.871;0:33.723;0:21.229;0:37.714;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;3;1:20.457;0;;32.674;0;20.434;0;27.349;2;115.5;5:33.328;10:25:33.328;0:32.674;0:20.434;0:27.349;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;4;1:21.069;0;;32.553;0;20.291;0;28.225;0;114.7;6:54.397;10:26:54.397;0:32.553;0:20.291;0:28.225;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;5;1:48.512;0;;42.635;0;29.360;0;36.517;0;85.7;8:42.909;10:28:42.909;0:42.635;0:29.360;0:36.517;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;6;1:36.154;0;;36.943;0;24.518;0;34.693;0;96.7;10:19.063;10:30:19.063;0:36.943;0:24.518;0:34.693;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;7;1:20.269;2;;32.371;2;20.213;2;27.685;0;115.8;11:39.332;10:31:39.332;0:32.371;0:20.213;0:27.685;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
13;1;1;1:45.529;0;;48.404;0;24.790;0;32.335;0;88.1;1:45.529;10:21:45.529;0:48.404;0:24.790;0:32.335;;António Félix DA COSTA;0:00:10.729;;A;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;2;1:26.076;0;;34.756;0;22.260;0;29.060;0;108.0;3:11.605;10:23:11.605;0:34.756;0:22.260;0:29.060;;António Félix DA COSTA;;;A;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;3;1:20.864;0;;33.016;0;20.302;0;27.546;0;114.9;4:32.469;10:24:32.469;0:33.016;0:20.302;0:27.546;;António Félix DA COSTA;;;A;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;4;1:28.204;0;B;32.976;0;20.292;0;34.936;0;105.4;6:00.673;10:26:00.673;0:32.976;0:20.292;0:34.936;;António Félix DA COSTA;;;A;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;5;3:48.504;0;;2:55.549;0;23.091;0;29.864;0;40.7;9:49.177;10:29:49.177;2:55.549;0:23.091;0:29.864;;António Félix DA COSTA;0:02:29.414;;A;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;6;1:38.820;0;;34.662;0;24.128;0;40.030;0;94.1;11:27.997;10:31:27.997;0:34.662;0:24.128;0:40.030;;António Félix DA COSTA;;;A;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;7;1:20.010;2;;32.542;2;20.152;2;27.316;2;116.2;12:48.007;10:32:48.007;0:32.542;0:20.152;0:27.316;;António Félix DA COSTA;;;A;TAG Heuer Porsche Formula E Team;Porsche;;false;
16;1;1;2:05.475;0;;1:07.670;0;25.109;0;32.696;0;74.1;2:05.475;10:22:05.475;1:07.670;0:25.109;0:32.696;;Sébastien BUEMI;0:00:29.329;;A;Envision Racing;Jaguar;;false;
16;1;2;1:30.028;0;;36.566;0;22.499;0;30.963;0;103.2;3:35.503;10:23:35.503;0:36.566;0:22.499;0:30.963;;Sébastien BUEMI;;;A;Envision Racing;Jaguar;;false;
16;1;3;1:20.888;0;;32.833;0;20.490;2;27.565;0;114.9;4:56.391;10:24:56.391;0:32.833;0:20.490;0:27.565;;Sébastien BUEMI;;;A;Envision Racing;Jaguar;;false;
16;1;4;1:31.333;0;B;33.524;0;21.139;0;36.670;0;101.8;6:27.724;10:26:27.724;0:33.524;0:21.139;0:36.670;;Sébastien BUEMI;;;A;Envision Racing;Jaguar;;false;
16;1;5;3:45.239;0;;2:52.406;0;22.307;0;30.526;0;41.3;10:12.963;10:30:12.963;2:52.406;0:22.307;0:30.526;;Sébastien BUEMI;0:02:23.341;;A;Envision Racing;Jaguar;;false;
16;1;6;1:38.463;0;;35.300;0;21.770;0;41.393;0;94.4;11:51.426;10:31:51.426;0:35.300;0:21.770;0:41.393;;Sébastien BUEMI;;;A;Envision Racing;Jaguar;;false;
16;1;7;1:20.678;2;;32.746;2;20.495;0;27.437;2;115.2;13:12.104;10:33:12.104;0:32.746;0:20.495;0:27.437;;Sébastien BUEMI;;;A;Envision Racing;Jaguar;;false;
17;1;1;1:54.639;0;;57.948;0;25.902;0;30.789;0;81.1;1:54.639;10:21:54.639;0:57.948;0:25.902;0:30.789;;Norman NATO;0:00:20.757;;A;Andretti Formula E;Porsche;;false;
17;1;2;1:31.346;0;;35.025;0;22.638;0;33.683;0;101.8;3:25.985;10:23:25.985;0:35.025;0:22.638;0:33.683;;Norman NATO;;;A;Andretti Formula E;Porsche;;false;
17;1;3;1:20.997;0;;32.703;0;20.603;0;27.691;0;114.8;4:46.982;10:24:46.982;0:32.703;0:20.603;0:27.691;;Norman NATO;;;A;Andretti Formula E;Porsche;;false;
17;1;4;1:20.629;0;;32.687;0;20.534;0;27.408;2;115.3;6:07.611;10:26:07.611;0:32.687;0:20.534;0:27.408;;Norman NATO;;;A;Andretti Formula E;Porsche;;false;
17;1;5;1:57.013;0;;50.948;0;30.686;0;35.379;0;79.4;8:04.624;10:28:04.624;0:50.948;0:30.686;0:35.379;;Norman NATO;;;A;Andretti Formula E;Porsche;;false;
17;1;6;1:20.329;0;;32.653;0;20.184;0;27.492;0;115.7;9:24.953;10:29:24.953;0:32.653;0:20.184;0:27.492;;Norman NATO;;;A;Andretti Formula E;Porsche;;false;
17;1;7;1:58.647;0;;48.234;0;31.500;0;38.913;0;78.3;11:23.600;10:31:23.600;0:48.234;0:31.500;0:38.913;;Norman NATO;;;A;Andretti Formula E;Porsche;;false;
17;1;8;1:20.056;2;;32.469;2;20.143;2;27.444;0;116.1;12:43.656;10:32:43.656;0:32.469;0:20.143;0:27.444;;Norman NATO;;;A;Andretti Formula E;Porsche;;false;
18;1;1;3:18.931;0;;2:19.956;0;26.847;0;32.128;0;46.7;3:18.931;10:23:18.931;2:19.956;0:26.847;0:32.128;;Jehan DARUVALA;0:01:36.461;;A;Maserati MSG Racing;STELLANTIS;;false;
18;1;2;1:33.895;0;;35.717;0;25.732;0;32.446;0;99.0;4:52.826;10:24:52.826;0:35.717;0:25.732;0:32.446;;Jehan DARUVALA;;;A;Maserati MSG Racing;STELLANTIS;;false;
18;1;3;1:20.911;0;;32.744;0;20.467;0;27.700;2;114.9;6:13.737;10:26:13.737;0:32.744;0:20.467;0:27.700;;Jehan DARUVALA;;;A;Maserati MSG Racing;STELLANTIS;;false;
18;1;4;1:42.053;0;;40.552;0;27.792;0;33.709;0;91.1;7:55.790;10:27:55.790;0:40.552;0:27.792;0:33.709;;Jehan DARUVALA;;;A;Maserati MSG Racing;STELLANTIS;;false;
18;1;5;1:22.102;0;;32.836;0;20.497;0;28.769;0;113.2;9:17.892;10:29:17.892;0:32.836;0:20.497;0:28.769;;Jehan DARUVALA;;;A;Maserati MSG Racing;STELLANTIS;;false;
18;1;6;1:53.015;0;;46.963;0;30.117;0;35.935;0;82.2;11:10.907;10:31:10.907;0:46.963;0:30.117;0:35.935;;Jehan DARUVALA;;;A;Maserati MSG Racing;STELLANTIS;;false;
18;1;7;1:20.395;2;;32.463;2;20.184;2;27.748;0;115.6;12:31.302;10:32:31.302;0:32.463;0:20.184;0:27.748;;Jehan DARUVALA;;;A;Maserati MSG Racing;STELLANTIS;;false;
22;1;1;1:43.981;0;;50.020;0;23.011;0;30.950;0;89.4;1:43.981;10:21:43.981;0:50.020;0:23.011;0:30.950;;Oliver ROWLAND;0:00:14.895;;A;Nissan Formula E Team;Nissan;;false;
22;1;2;1:21.064;0;;32.790;0;20.285;0;27.989;0;114.7;3:05.045;10:23:05.045;0:32.790;0:20.285;0:27.989;;Oliver ROWLAND;;;A;Nissan Formula E Team;Nissan;;false;
22;1;3;1:30.345;0;B;32.841;0;20.260;0;37.244;0;102.9;4:35.390;10:24:35.390;0:32.841;0:20.260;0:37.244;;Oliver ROWLAND;;;A;Nissan Formula E Team;Nissan;;false;
22;1;4;3:40.307;0;;2:47.659;0;22.465;0;30.183;0;42.2;8:15.697;10:28:15.697;2:47.659;0:22.465;0:30.183;;Oliver ROWLAND;0:02:23.075;;A;Nissan Formula E Team;Nissan;;false;
