NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
2;1;1;3:06.571;0;;2:07.847;0;25.861;0;32.863;0;49.8;3:06.571;10:40:06.571;2:07.847;0:25.861;0:32.863;;Stoffel VANDOORNE;0:01:30.179;;B;DS PENSKE;STELLANTIS;;false;
2;1;2;1:31.056;0;;37.440;0;23.835;0;29.781;0;102.1;4:37.627;10:41:37.627;0:37.440;0:23.835;0:29.781;;Stoffel VANDOORNE;;;B;DS PENSKE;STELLANTIS;;false;
2;1;3;1:20.323;0;;32.421;0;20.569;0;27.333;2;115.7;5:57.950;10:42:57.950;0:32.421;0:20.569;0:27.333;;Stoffel VANDOORNE;;;B;DS PENSKE;STELLANTIS;;false;
2;1;4;1:50.177;0;;44.425;0;31.339;0;34.413;0;84.4;7:48.127;10:44:48.127;0:44.425;0:31.339;0:34.413;;Stoffel VANDOORNE;;;B;DS PENSKE;STELLANTIS;;false;
2;1;5;1:20.027;2;;32.340;2;20.291;2;27.396;0;116.2;9:08.154;10:46:08.154;0:32.340;0:20.291;0:27.396;;Stoffel VANDOORNE;;;B;DS PENSKE;STELLANTIS;;false;
2;1;6;2:04.325;0;;48.173;0;34.949;0;41.203;0;74.8;11:12.479;10:48:12.479;0:48.173;0:34.949;0:41.203;;Stoffel VANDOORNE;;;B;DS PENSKE;STELLANTIS;;false;
2;1;7;1:20.283;0;;32.353;0;20.535;0;27.395;0;115.8;12:32.762;10:49:32.762;0:32.353;0:20.535;0:27.395;;Stoffel VANDOORNE;;;B;DS PENSKE;STELLANTIS;;false;
21;1;1;1:56.301;0;;59.373;0;24.929;0;31.999;0;79.9;1:56.301;10:38:56.301;0:59.373;0:24.929;0:31.999;;Nyck DE VRIES;0:00:20.696;;B;MAHINDRA RACING;Mahindra Racing;;false;
21;1;2;1:43.233;0;;38.726;0;24.759;0;39.748;0;90.0;3:39.534;10:40:39.534;0:38.726;0:24.759;0:39.748;;Nyck DE VRIES;;;B;MAHINDRA RACING;Mahindra Racing;;false;
21;1;3;1:19.881;2;;32.304;2;20.291;0;27.286;2;116.4;4:59.415;10:41:59.415;0:32.304;0:20.291;0:27.286;;Nyck DE VRIES;;;B;MAHINDRA RACING;Mahindra Racing;;false;
