NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;1;1:33.960;0;;41.048;0;22.327;0;30.585;0;98.9;1:33.960;15:05:42.164;0:41.048;0:22.327;0:30.585;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;2;1:26.926;0;;35.056;0;21.982;0;29.888;0;106.9;3:00.886;15:07:09.090;0:35.056;0:21.982;0:29.888;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;3;1:26.074;0;;34.969;0;21.273;0;29.832;0;108.0;4:26.960;15:08:35.164;0:34.969;0:21.273;0:29.832;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;4;1:25.294;0;;34.498;0;21.265;0;29.531;0;109.0;5:52.254;15:10:00.458;0:34.498;0:21.265;0:29.531;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;5;1:24.900;0;;34.282;0;21.117;0;29.501;0;109.5;7:17.154;15:11:25.358;0:34.282;0:21.117;0:29.501;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;6;1:25.079;0;;33.894;0;21.288;0;29.897;0;109.3;8:42.233;15:12:50.437;0:33.894;0:21.288;0:29.897;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;7;1:25.081;0;;34.258;0;21.175;0;29.648;0;109.3;10:07.314;15:14:15.518;0:34.258;0:21.175;0:29.648;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;8;1:25.045;0;;34.155;0;21.196;0;29.694;0;109.3;11:32.359;15:15:40.563;0:34.155;0:21.196;0:29.694;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;9;1:24.551;0;;34.034;0;21.108;0;29.409;0;109.9;12:56.910;15:17:05.114;0:34.034;0:21.108;0:29.409;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;10;1:23.554;0;;34.453;0;20.881;0;28.220;2;111.2;14:20.464;15:18:28.668;0:34.453;0:20.881;0:28.220;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;11;1:23.926;0;;33.634;0;20.765;0;29.527;0;110.8;15:44.390;15:19:52.594;0:33.634;0:20.765;0:29.527;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;12;1:24.834;0;;33.884;0;20.972;0;29.978;0;109.6;17:09.224;15:21:17.428;0:33.884;0:20.972;0:29.978;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;13;1:22.194;2;;33.258;0;20.640;0;28.296;0;113.1;18:31.418;15:22:39.622;0:33.258;0:20.640;0:28.296;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;14;1:24.055;0;;33.122;0;21.115;0;29.818;0;110.6;19:55.473;15:24:03.677;0:33.122;0:21.115;0:29.818;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;15;1:24.781;0;;33.863;0;21.222;0;29.696;0;109.6;21:20.254;15:25:28.458;0:33.863;0:21.222;0:29.696;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;16;1:24.838;0;;34.236;0;21.009;0;29.593;0;109.6;22:45.092;15:26:53.296;0:34.236;0:21.009;0:29.593;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;17;1:25.215;0;;34.247;0;21.071;0;29.897;0;109.1;24:10.307;15:28:18.511;0:34.247;0:21.071;0:29.897;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;18;1:26.201;0;;34.216;0;20.766;0;31.219;0;107.8;25:36.508;15:29:44.712;0:34.216;0:20.766;0:31.219;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;19;1:22.518;0;;33.607;0;20.367;0;28.544;0;112.6;26:59.026;15:31:07.230;0:33.607;0:20.367;0:28.544;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;20;1:34.960;0;;34.451;0;20.126;2;40.383;0;97.9;28:33.986;15:32:42.190;0:34.451;0:20.126;0:40.383;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;21;4:10.924;0;;1:04.283;0;1:34.126;0;1:32.515;0;37.0;32:44.910;15:36:53.114;1:04.283;1:34.126;1:32.515;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;22;2:37.547;0;;1:01.646;0;36.875;0;59.026;0;59.0;35:22.457;15:39:30.661;1:01.646;0:36.875;0:59.026;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;23;1:25.069;0;;33.732;0;21.247;0;30.090;0;109.3;36:47.526;15:40:55.730;0:33.732;0:21.247;0:30.090;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;24;1:25.164;0;;34.145;0;21.120;0;29.899;0;109.1;38:12.690;15:42:20.894;0:34.145;0:21.120;0:29.899;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;25;1:23.189;0;;33.924;0;20.828;0;28.437;0;111.7;39:35.879;15:43:44.083;0:33.924;0:20.828;0:28.437;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;26;1:22.685;0;;33.225;0;20.738;0;28.722;0;112.4;40:58.564;15:45:06.768;0:33.225;0:20.738;0:28.722;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;27;1:22.987;0;;33.173;0;20.725;0;29.089;0;112.0;42:21.551;15:46:29.755;0:33.173;0:20.725;0:29.089;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;28;1:23.870;0;;33.267;0;21.663;0;28.940;0;110.8;43:45.421;15:47:53.625;0:33.267;0:21.663;0:28.940;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;29;1:26.643;0;;34.478;0;21.106;0;31.059;0;107.3;45:12.064;15:49:20.268;0:34.478;0:21.106;0:31.059;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;30;1:22.607;0;;32.969;2;20.729;0;28.909;0;112.5;46:34.671;15:50:42.875;0:32.969;0:20.729;0:28.909;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;31;1:25.031;0;;34.130;0;21.141;0;29.760;0;109.3;47:59.702;15:52:07.906;0:34.130;0:21.141;0:29.760;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;32;1:24.429;0;;33.783;0;21.028;0;29.618;0;110.1;49:24.131;15:53:32.335;0:33.783;0:21.028;0:29.618;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
