TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1711778652;30/03/2024 6:04:12;21,93;25,8;47,12;1006,86;0,94;86;-999;
1711778712;30/03/2024 6:05:12;21,92;25,8;45,43;1006,84;0,94;89;-999;
1711778772;30/03/2024 6:06:12;21,93;25,8;45,73;1006,83;1,02;89;-999;
1711778832;30/03/2024 6:07:12;22,02;25,7;45,35;1006,81;1,02;90;-999;
1711778892;30/03/2024 6:08:12;22,06;25,7;45,22;1006,79;0,87;90;-999;
1711778952;30/03/2024 6:09:12;22,05;25,7;43,64;1006,78;0,54;100;-999;
1711779012;30/03/2024 6:10:12;22,02;25,6;44,63;1006,76;0,55;111;-999;
1711779072;30/03/2024 6:11:12;21,99;25,6;43,49;1006,75;0,81;101;-999;
1711779132;30/03/2024 6:12:12;21,89;25,6;45,51;1006,77;0,62;93;-999;
1711779192;30/03/2024 6:13:12;21,87;25,6;45,63;1006,74;1,13;80;-999;
1711779252;30/03/2024 6:14:12;21,87;25,5;45,52;1006,75;0,66;89;-999;
1711779312;30/03/2024 6:15:12;21,87;25,5;45,35;1006,76;0,6;57;-999;
1711779372;30/03/2024 6:16:12;21,96;25,5;45,61;1006,78;0,59;131;-999;
1711779432;30/03/2024 6:17:12;22,03;25,4;45,97;1006,78;0,58;123;-999;
1711779492;30/03/2024 6:18:12;22,05;25,4;46,55;1006,78;0,53;109;-999;
1711779552;30/03/2024 6:19:12;21,99;25,4;46,65;1006,77;0,44;89;-999;
1711779612;30/03/2024 6:20:12;21,92;25,3;47,29;1006,79;0,91;88;-999;
1711779672;30/03/2024 6:21:12;21,87;25,3;47,38;1006,8;0,75;89;-999;
1711779732;30/03/2024 6:22:12;21,82;25,2;47,47;1006,84;0,91;181;-999;
1711779792;30/03/2024 6:23:12;21,98;25,2;43,71;1006,85;1,97;188;-999;
1711779852;30/03/2024 6:24:12;22,08;25,2;44,24;1006,86;0,86;185;-999;
1711779912;30/03/2024 6:25:12;22,17;25,2;44,28;1006,88;1,06;180;-999;
1711779972;30/03/2024 6:26:12;22,19;25,2;45,66;1006,88;0,49;110;-999;
1711780032;30/03/2024 6:27:12;22,24;25,2;46,77;1006,91;0,74;148;-999;
1711780092;30/03/2024 6:28:12;22,37;25,1;47,21;1006,92;0;0;-999;
1711780152;30/03/2024 6:29:12;22,48;25,1;43,7;1006,92;0,74;175;-999;
1711780212;30/03/2024 6:30:12;22,6;25,1;44,13;1006,9;2,51;196;-999;
1711780273;30/03/2024 6:31:13;22,67;25;43,78;1006,9;0,9;187;-999;
1711780332;30/03/2024 6:32:12;22,63;25;44,89;1006,9;0,83;194;-999;
1711780393;30/03/2024 6:33:13;22,63;25;46,36;1006,9;1,81;199;-999;
1711780453;30/03/2024 6:34:13;22,6;25;47,3;1006,9;0,62;175;-999;
1711780513;30/03/2024 6:35:13;22,54;25;46,75;1006,93;0,61;169;-999;
1711780573;30/03/2024 6:36:13;22,57;25;46,03;1006,96;0,51;167;-999;
1711780633;30/03/2024 6:37:13;22,48;25;46,24;1006,97;0,56;189;-999;
1711780693;30/03/2024 6:38:13;22,5;25;46,13;1006,99;0,88;190;-999;
1711780753;30/03/2024 6:39:13;22,5;25;46,49;1007,03;0,54;190;-999;
1711780813;30/03/2024 6:40:13;22,53;24,9;47,17;1007,01;1,68;198;-999;
1711780873;30/03/2024 6:41:13;22,48;24,8;47,71;1007,03;1,91;186;-999;
1711780933;30/03/2024 6:42:13;22,43;24,8;48,4;1007,03;1,08;197;-999;
1711780993;30/03/2024 6:43:13;22,32;24,8;48,25;1007,02;1,66;200;-999;
1711781053;30/03/2024 6:44:13;22,2;24,7;50,37;1006,98;1,8;185;-999;
1711781113;30/03/2024 6:45:13;22,09;24,7;46,14;1006,96;1,49;188;-999;
1711781173;30/03/2024 6:46:13;22,06;24,7;42,79;1006,97;2,63;192;-999;
1711781233;30/03/2024 6:47:13;22,02;24,7;42,6;1006,98;2,86;182;-999;
1711781293;30/03/2024 6:48:13;21,95;24,6;41,87;1006,98;3,12;184;-999;
1711781353;30/03/2024 6:49:13;21,96;24,6;41,21;1006,99;2,99;185;-999;
1711781414;30/03/2024 6:50:14;21,95;24,6;42,01;1007,01;1,9;182;-999;
1711781474;30/03/2024 6:51:14;21,91;24,6;42,31;1006,99;2,6;192;-999;
1711781534;30/03/2024 6:52:14;21,88;24,6;42,97;1007,05;2,51;189;-999;
1711781594;30/03/2024 6:53:14;21,81;24,5;42,96;1007,05;2,62;192;-999;
1711781654;30/03/2024 6:54:14;21,77;24,4;42,27;1007,06;3,25;177;-999;
1711781714;30/03/2024 6:55:14;21,74;24,4;41,94;1007,06;3,25;180;-999;
1711781774;30/03/2024 6:56:14;21,64;24,4;42,37;1007,08;2,89;188;-999;
1711781834;30/03/2024 6:57:14;21,57;24,3;43,25;1007,1;1,96;180;-999;
