POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;22;Classified;28;40:05.176;-;-;28;1:19.730;152.7;Nissan Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;3;Oliver;ROWLAND;;GBR;GBR;ROW;;;;;;
2;1;Classified;28;40:08.179;+3.003;+3.003;26;1:19.883;152.4;Andretti Formula E;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;4;Jake;DENNIS;;GBR;GBR;DEN;;;;;;
3;7;Classified;28;40:08.964;+3.788;+0.785;28;1:20.750;150.8;Maserati MSG Racing;;;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;5;Maximilian;GÜNTHER;;DEU;DEU;GUE;;;;;;
4;33;Classified;28;40:09.730;+4.554;+0.766;26;1:20.680;150.9;ERT Formula E Team;;;;ERT X24;HANKOOK;;;;;;;;;;22;Dan;TICKTUM;;GBR;GBR;TIC;;;;;;
5;9;Classified;28;40:10.849;+5.673;+1.119;26;1:20.364;151.5;Jaguar TCS Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;6;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
6;25;Classified;28;40:12.735;+7.559;+1.886;28;1:20.719;150.8;DS PENSKE;;;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;7;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
7;17;Classified;28;40:12.764;+7.588;+0.029;26;1:20.101;152.0;Andretti Formula E;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;14;Norman;NATO;;FRA;FRA;NAT;;;;;;
8;2;Classified;28;40:12.815;+7.639;+0.051;27;1:20.928;150.4;DS PENSKE;;;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;13;Stoffel;VANDOORNE;;BEL;BEL;VAN;;;;;;
9;23;Classified;28;40:12.944;+7.768;+0.129;27;1:20.736;150.8;Nissan Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;15;Sacha;FENESTRAZ;;FRA;FRA;FEN;;;;;;
10;11;Classified;28;40:13.143;+7.967;+0.199;27;1:20.568;151.1;ABT CUPRA FORMULA E TEAM;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;19;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
11;51;Classified;28;40:13.487;+8.311;+0.344;27;1:20.559;151.1;ABT CUPRA FORMULA E TEAM;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;16;Nico;MÜLLER;;CHE;CHE;MUE;;;;;;
12;16;Classified;28;40:18.623;+13.447;+5.136;25;1:21.728;149.0;Envision Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;10;Sébastien;BUEMI;;CHE;CHE;BUE;;;;;;
13;5;Classified;28;40:18.881;+13.705;+0.258;25;1:22.156;148.2;NEOM McLaren Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;12;Jake;HUGHES;;GBR;GBR;HUG;;;;;;
14;21;Classified;28;40:23.227;+18.051;+4.346;27;1:21.374;149.6;MAHINDRA RACING;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;20;Nyck;DE VRIES;;NLD;NLD;DEV;;;;;;
15;3;Classified;28;41:02.702;+57.526;+39.475;26;1:20.838;150.6;ERT Formula E Team;;;;ERT X24;HANKOOK;;;;;;;;;;17;Sérgio;SETTE CÂMARA;;BRA;BRA;SET;;;;;;
16;94;Classified;28;41:10.144;+1:04.968;+7.442;24;1:19.920;152.3;TAG Heuer Porsche Formula E Team;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;1;Pascal;WEHRLEIN;;DEU;DEU;WEH;;;;;;
17;4;Classified;28;41:23.536;+1:18.360;+13.392;22;1:23.463;145.9;Envision Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;9;Robin;FRIJNS;;NLD;NLD;FRI;;;;;;
;18;Not classified;27;38:54.212;;;27;1:21.322;149.7;Maserati MSG Racing;;;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;21;Jehan;DARUVALA;;IND;IND;DAR;;;;;;
;8;Not classified;25;37:33.942;;;25;1:21.673;149.1;NEOM McLaren Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;8;Sam;BIRD;;GBR;GBR;BIR;;;;;;
;37;Not classified;23;34:23.619;;;23;1:21.097;150.1;Jaguar TCS Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;2;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
;48;Not classified;0;;;;0;;;MAHINDRA RACING;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;18;Edoardo;MORTARA;;CHE;CHE;MOR;;;;;;
;13;Disqualified;28;40:04.766;;;28;1:19.766;152.6;TAG Heuer Porsche Formula E Team;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;11;António Félix;DA COSTA;;PRT;PRT;DAC;;;;;;
