NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
11;1;1;2:22.141;0;;1:13.557;0;26.917;0;41.667;0;86.9;2:22.141;10:22:22.141;1:13.557;0:26.917;0:41.667;;Lucas DI GRASSI;0:00:38.445;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;2;1:19.024;0;;28.149;0;22.524;2;28.351;0;154.1;3:41.165;10:23:41.165;0:28.149;0:22.524;0:28.351;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;3;1:18.965;0;;27.879;0;22.609;0;28.477;0;154.2;5:00.130;10:25:00.130;0:27.879;0:22.609;0:28.477;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;4;2:58.067;0;B;29.359;0;23.469;0;2:05.239;0;68.4;7:58.197;10:27:58.197;0:29.359;0:23.469;2:05.239;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;5;2:01.208;0;;1:02.884;0;24.641;0;33.683;0;100.4;9:59.405;10:29:59.405;1:02.884;0:24.641;0:33.683;;Lucas DI GRASSI;0:02:02.573;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;6;1:45.205;0;;30.153;0;26.133;0;48.919;0;115.7;11:44.610;10:31:44.610;0:30.153;0:26.133;0:48.919;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;7;1:18.540;2;;27.749;2;22.557;0;28.234;2;155.0;13:03.150;10:33:03.150;0:27.749;0:22.557;0:28.234;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
13;1;1;2:30.149;0;;1:23.497;0;25.958;0;40.694;0;82.3;2:30.149;10:22:30.149;1:23.497;0:25.958;0:40.694;;António Félix DA COSTA;0:00:47.115;;A;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;2;1:18.929;0;;27.969;0;22.584;0;28.376;0;154.3;3:49.078;10:23:49.078;0:27.969;0:22.584;0:28.376;;António Félix DA COSTA;;;A;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;3;1:34.828;0;;34.162;0;27.279;0;33.387;0;128.4;5:23.906;10:25:23.906;0:34.162;0:27.279;0:33.387;;António Félix DA COSTA;;;A;TAG Heuer Porsche Formula E Team;Porsche;;false;
