NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;1;1:40.234;0;;41.045;0;26.994;0;32.195;0;123.2;1:40.234;15:05:46.649;0:41.045;0:26.994;0:32.195;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;2;1:29.816;0;;32.120;0;26.638;0;31.058;0;135.6;3:10.050;15:07:16.465;0:32.120;0:26.638;0:31.058;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;3;1:28.309;0;;31.768;0;25.960;0;30.581;0;137.9;4:38.359;15:08:44.774;0:31.768;0:25.960;0:30.581;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;4;1:27.095;0;;31.388;0;24.702;0;31.005;0;139.8;6:05.454;15:10:11.869;0:31.388;0:24.702;0:31.005;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;5;1:28.284;0;;30.832;0;26.243;0;31.209;0;137.9;7:33.738;15:11:40.153;0:30.832;0:26.243;0:31.209;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;6;1:26.549;0;;30.180;0;25.472;0;30.897;0;140.7;9:00.287;15:13:06.702;0:30.180;0:25.472;0:30.897;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;7;1:27.811;0;;30.947;0;25.626;0;31.238;0;138.7;10:28.098;15:14:34.513;0:30.947;0:25.626;0:31.238;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;8;1:26.455;0;;30.407;0;24.566;0;31.482;0;140.8;11:54.553;15:16:00.968;0:30.407;0:24.566;0:31.482;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;9;1:27.036;0;;31.245;0;24.853;0;30.938;0;139.9;13:21.589;15:17:28.004;0:31.245;0:24.853;0:30.938;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;10;1:26.895;0;;31.105;0;24.781;0;31.009;0;140.1;14:48.484;15:18:54.899;0:31.105;0:24.781;0:31.009;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;11;1:26.676;0;;31.104;0;24.569;0;31.003;0;140.5;16:15.160;15:20:21.575;0:31.104;0:24.569;0:31.003;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;12;1:25.648;0;;29.537;0;24.854;0;31.257;0;142.2;17:40.808;15:21:47.223;0:29.537;0:24.854;0:31.257;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;13;1:25.932;0;;30.034;0;24.436;0;31.462;0;141.7;19:06.740;15:23:13.155;0:30.034;0:24.436;0:31.462;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;14;1:26.474;0;;30.476;0;24.758;0;31.240;0;140.8;20:33.214;15:24:39.629;0:30.476;0:24.758;0:31.240;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;15;1:26.520;0;;30.986;0;24.932;0;30.602;0;140.7;21:59.734;15:26:06.149;0:30.986;0:24.932;0:30.602;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;16;1:25.515;0;;30.280;0;24.203;0;31.032;0;142.4;23:25.249;15:27:31.664;0:30.280;0:24.203;0:31.032;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;17;1:26.502;0;;30.724;0;25.301;0;30.477;0;140.8;24:51.751;15:28:58.166;0:30.724;0:25.301;0:30.477;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;18;1:25.977;0;;30.815;0;24.868;0;30.294;0;141.6;26:17.728;15:30:24.143;0:30.815;0:24.868;0:30.294;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;19;1:25.127;0;;30.031;0;24.319;0;30.777;0;143.0;27:42.855;15:31:49.270;0:30.031;0:24.319;0:30.777;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;20;1:25.512;0;;30.234;0;24.126;0;31.152;0;142.4;29:08.367;15:33:14.782;0:30.234;0:24.126;0:31.152;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;21;1:24.694;0;;30.175;0;24.135;0;30.384;0;143.8;30:33.061;15:34:39.476;0:30.175;0:24.135;0:30.384;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;22;1:25.107;0;;29.799;0;24.656;0;30.652;0;143.1;31:58.168;15:36:04.583;0:29.799;0:24.656;0:30.652;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;23;1:24.448;0;;30.016;0;24.579;0;29.853;0;144.2;33:22.616;15:37:29.031;0:30.016;0:24.579;0:29.853;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;24;1:23.216;0;;29.231;0;24.053;0;29.932;0;146.3;34:45.832;15:38:52.247;0:29.231;0:24.053;0:29.932;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;25;1:20.382;0;;28.444;0;22.874;0;29.064;0;151.5;36:06.214;15:40:12.629;0:28.444;0:22.874;0:29.064;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;26;1:19.883;2;;28.332;2;22.663;2;28.888;2;152.4;37:26.097;15:41:32.512;0:28.332;0:22.663;0:28.888;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;27;1:21.413;0;;28.424;0;23.025;0;29.964;0;149.5;38:47.510;15:42:53.925;0:28.424;0:23.025;0:29.964;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;28;1:20.669;0;;28.805;0;22.941;0;28.923;0;150.9;40:08.179;15:44:14.594;0:28.805;0:22.941;0:28.923;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
11;1;1;1:39.734;0;;40.515;0;26.398;0;32.821;0;123.8;1:39.734;15:05:46.149;0:40.515;0:26.398;0:32.821;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;2;1:30.725;0;;32.437;0;26.380;0;31.908;0;134.2;3:10.459;15:07:16.874;0:32.437;0:26.380;0:31.908;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;3;1:30.039;0;;32.443;0;25.983;0;31.613;0;135.2;4:40.498;15:08:46.913;0:32.443;0:25.983;0:31.613;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;4;1:26.775;0;;30.693;0;25.167;0;30.915;0;140.3;6:07.273;15:10:13.688;0:30.693;0:25.167;0:30.915;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;5;1:27.717;0;;30.754;0;25.456;0;31.507;0;138.8;7:34.990;15:11:41.405;0:30.754;0:25.456;0:31.507;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;6;1:26.847;0;;30.270;0;25.908;0;30.669;0;140.2;9:01.837;15:13:08.252;0:30.270;0:25.908;0:30.669;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;7;1:28.019;0;;31.489;0;25.300;0;31.230;0;138.3;10:29.856;15:14:36.271;0:31.489;0:25.300;0:31.230;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;8;1:26.415;0;;30.813;0;24.616;0;30.986;0;140.9;11:56.271;15:16:02.686;0:30.813;0:24.616;0:30.986;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;9;1:27.450;0;;31.056;0;25.657;0;30.737;0;139.2;13:23.721;15:17:30.136;0:31.056;0:25.657;0:30.737;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;10;1:27.063;0;;30.823;0;25.362;0;30.878;0;139.8;14:50.784;15:18:57.199;0:30.823;0:25.362;0:30.878;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;11;1:25.630;0;;30.107;0;25.058;0;30.465;0;142.2;16:16.414;15:20:22.829;0:30.107;0:25.058;0:30.465;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;12;1:26.239;0;;30.224;0;25.463;0;30.552;0;141.2;17:42.653;15:21:49.068;0:30.224;0:25.463;0:30.552;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;13;1:24.955;0;;30.144;0;24.042;0;30.769;0;143.3;19:07.608;15:23:14.023;0:30.144;0:24.042;0:30.769;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;14;1:26.838;0;;30.680;0;25.114;0;31.044;0;140.2;20:34.446;15:24:40.861;0:30.680;0:25.114;0:31.044;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;15;1:26.723;0;;31.442;0;24.729;0;30.552;0;140.4;22:01.169;15:26:07.584;0:31.442;0:24.729;0:30.552;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;16;1:25.826;0;;30.740;0;25.042;0;30.044;0;141.9;23:26.995;15:27:33.410;0:30.740;0:25.042;0:30.044;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;17;1:26.805;0;;31.036;0;24.518;0;31.251;0;140.3;24:53.800;15:29:00.215;0:31.036;0:24.518;0:31.251;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;18;1:25.956;0;;30.545;0;24.725;0;30.686;0;141.6;26:19.756;15:30:26.171;0:30.545;0:24.725;0:30.686;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;19;1:24.970;0;;30.211;0;24.590;0;30.169;0;143.3;27:44.726;15:31:51.141;0:30.211;0:24.590;0:30.169;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;20;1:25.972;0;;31.002;0;24.743;0;30.227;0;141.6;29:10.698;15:33:17.113;0:31.002;0:24.743;0:30.227;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;21;1:24.526;0;;30.369;0;24.074;0;30.083;0;144.0;30:35.224;15:34:41.639;0:30.369;0:24.074;0:30.083;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;22;1:24.764;0;;29.870;0;24.080;0;30.814;0;143.6;31:59.988;15:36:06.403;0:29.870;0:24.080;0:30.814;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;23;1:24.786;0;;30.123;0;24.350;0;30.313;0;143.6;33:24.774;15:37:31.189;0:30.123;0:24.350;0:30.313;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;24;1:23.371;0;;29.567;0;23.856;0;29.948;0;146.0;34:48.145;15:38:54.560;0:29.567;0:23.856;0:29.948;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;25;1:22.276;0;;29.500;0;23.465;0;29.311;0;148.0;36:10.421;15:40:16.836;0:29.500;0:23.465;0:29.311;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;26;1:21.268;0;;28.756;0;23.250;0;29.262;0;149.8;37:31.689;15:41:38.104;0:28.756;0:23.250;0:29.262;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;27;1:20.568;2;;28.743;0;22.898;2;28.927;2;151.1;38:52.257;15:42:58.672;0:28.743;0:22.898;0:28.927;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;28;1:20.886;0;;28.400;2;23.034;0;29.452;0;150.5;40:13.143;15:44:19.558;0:28.400;0:23.034;0:29.452;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
13;1;1;1:38.477;0;;38.828;0;25.994;0;33.655;0;125.4;1:38.477;15:05:44.892;0:38.828;0:25.994;0:33.655;;António Félix DA COSTA;;;;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;2;1:30.379;0;;31.777;0;25.909;0;32.693;0;134.7;3:08.856;15:07:15.271;0:31.777;0:25.909;0:32.693;;António Félix DA COSTA;;;;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;3;1:28.702;0;;31.743;0;25.075;0;31.884;0;137.3;4:37.558;15:08:43.973;0:31.743;0:25.075;0:31.884;;António Félix DA COSTA;;;;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;4;1:25.912;0;;30.071;0;24.299;0;31.542;0;141.7;6:03.470;15:10:09.885;0:30.071;0:24.299;0:31.542;;António Félix DA COSTA;;;;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;5;1:28.303;0;;31.184;0;25.854;0;31.265;0;137.9;7:31.773;15:11:38.188;0:31.184;0:25.854;0:31.265;;António Félix DA COSTA;;;;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;6;1:27.668;0;;30.842;0;24.551;0;32.275;0;138.9;8:59.441;15:13:05.856;0:30.842;0:24.551;0:32.275;;António Félix DA COSTA;;;;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;7;1:28.036;0;;31.159;0;25.888;0;30.989;0;138.3;10:27.477;15:14:33.892;0:31.159;0:25.888;0:30.989;;António Félix DA COSTA;;;;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;8;1:26.295;0;;29.788;0;24.623;0;31.884;0;141.1;11:53.772;15:16:00.187;0:29.788;0:24.623;0:31.884;;António Félix DA COSTA;;;;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;9;1:26.600;0;;30.832;0;24.370;0;31.398;0;140.6;13:20.372;15:17:26.787;0:30.832;0:24.370;0:31.398;;António Félix DA COSTA;;;;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;10;1:27.506;0;;31.092;0;24.707;0;31.707;0;139.1;14:47.878;15:18:54.293;0:31.092;0:24.707;0:31.707;;António Félix DA COSTA;;;;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;11;1:26.514;0;;30.643;0;23.965;0;31.906;0;140.7;16:14.392;15:20:20.807;0:30.643;0:23.965;0:31.906;;António Félix DA COSTA;;;;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;12;1:26.306;0;;29.877;0;24.935;0;31.494;0;141.1;17:40.698;15:21:47.113;0:29.877;0:24.935;0:31.494;;António Félix DA COSTA;;;;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;13;1:25.406;0;;29.505;0;24.421;0;31.480;0;142.6;19:06.104;15:23:12.519;0:29.505;0:24.421;0:31.480;;António Félix DA COSTA;;;;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;14;1:26.654;0;;30.241;0;24.632;0;31.781;0;140.5;20:32.758;15:24:39.173;0:30.241;0:24.632;0:31.781;;António Félix DA COSTA;;;;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;15;1:25.735;0;;30.519;0;24.923;0;30.293;0;142.0;21:58.493;15:26:04.908;0:30.519;0:24.923;0:30.293;;António Félix DA COSTA;;;;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;16;1:25.543;0;;30.118;0;24.116;0;31.309;0;142.3;23:24.036;15:27:30.451;0:30.118;0:24.116;0:31.309;;António Félix DA COSTA;;;;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;17;1:26.847;0;;30.863;0;25.002;0;30.982;0;140.2;24:50.883;15:28:57.298;0:30.863;0:25.002;0:30.982;;António Félix DA COSTA;;;;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;18;1:24.977;0;;30.584;0;23.390;0;31.003;0;143.3;26:15.860;15:30:22.275;0:30.584;0:23.390;0:31.003;;António Félix DA COSTA;;;;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;19;1:26.515;0;;30.465;0;24.747;0;31.303;0;140.7;27:42.375;15:31:48.790;0:30.465;0:24.747;0:31.303;;António Félix DA COSTA;;;;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;20;1:25.710;0;;29.905;0;24.303;0;31.502;0;142.1;29:08.085;15:33:14.500;0:29.905;0:24.303;0:31.502;;António Félix DA COSTA;;;;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;21;1:23.635;0;;29.440;0;23.890;0;30.305;0;145.6;30:31.720;15:34:38.135;0:29.440;0:23.890;0:30.305;;António Félix DA COSTA;;;;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;22;1:25.556;0;;30.181;0;24.041;0;31.334;0;142.3;31:57.276;15:36:03.691;0:30.181;0:24.041;0:31.334;;António Félix DA COSTA;;;;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;23;1:23.849;0;;30.110;0;24.021;0;29.718;0;145.2;33:21.125;15:37:27.540;0:30.110;0:24.021;0:29.718;;António Félix DA COSTA;;;;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;24;1:23.387;0;;29.091;0;24.527;0;29.769;0;146.0;34:44.512;15:38:50.927;0:29.091;0:24.527;0:29.769;;António Félix DA COSTA;;;;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;25;1:19.836;0;;28.207;0;22.838;0;28.791;2;152.5;36:04.348;15:40:10.763;0:28.207;0:22.838;0:28.791;;António Félix DA COSTA;;;;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;26;1:20.508;0;;28.389;0;22.850;0;29.269;0;151.2;37:24.856;15:41:31.271;0:28.389;0:22.850;0:29.269;;António Félix DA COSTA;;;;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;27;1:20.144;0;;28.414;0;22.795;0;28.935;0;151.9;38:45.000;15:42:51.415;0:28.414;0:22.795;0:28.935;;António Félix DA COSTA;;;;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;28;1:19.766;2;;28.206;2;22.741;2;28.819;0;152.6;40:04.766;15:44:11.181;0:28.206;0:22.741;0:28.819;;António Félix DA COSTA;;;;TAG Heuer Porsche Formula E Team;Porsche;;false;
16;1;1;1:37.461;0;;38.609;0;25.607;0;33.245;0;126.7;1:37.461;15:05:43.876;0:38.609;0:25.607;0:33.245;;Sébastien BUEMI;;;;Envision Racing;Jaguar;;false;
16;1;2;1:31.052;0;;32.254;0;25.253;0;33.545;0;133.7;3:08.513;15:07:14.928;0:32.254;0:25.253;0:33.545;;Sébastien BUEMI;;;;Envision Racing;Jaguar;;false;
16;1;3;1:28.394;0;;31.726;0;25.263;0;31.405;0;137.7;4:36.907;15:08:43.322;0:31.726;0:25.263;0:31.405;;Sébastien BUEMI;;;;Envision Racing;Jaguar;;false;
16;1;4;1:27.771;0;;31.019;0;25.074;0;31.678;0;138.7;6:04.678;15:10:11.093;0:31.019;0:25.074;0:31.678;;Sébastien BUEMI;;;;Envision Racing;Jaguar;;false;
16;1;5;1:28.282;0;;31.140;0;25.615;0;31.527;0;137.9;7:32.960;15:11:39.375;0:31.140;0:25.615;0:31.527;;Sébastien BUEMI;;;;Envision Racing;Jaguar;;false;
