TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1712996446;13/04/2024 8:20:46;22,99;18,6;58,01;1024,33;2,14;2;-999;
1712996506;13/04/2024 8:21:46;22,99;18,7;57,74;1024,4;2,86;349;-999;
1712996566;13/04/2024 8:22:46;22,91;18,9;58,24;1024,41;2,07;356;-999;
1712996626;13/04/2024 8:23:46;23,05;19;58,75;1024,41;1,87;8;-999;
1712996687;13/04/2024 8:24:47;23,12;19;58,17;1024,43;1,68;348;-999;
1712996747;13/04/2024 8:25:47;23,26;19,1;59,22;1024,46;2,68;354;-999;
1712996807;13/04/2024 8:26:47;23,3;19,3;58,88;1024,43;1,16;11;-999;
1712996867;13/04/2024 8:27:47;23,34;19,3;59,25;1024,44;1,71;1;-999;
1712996927;13/04/2024 8:28:47;23,39;19,3;58,95;1024,44;2,07;2;-999;
1712996987;13/04/2024 8:29:47;23,39;19,4;59,66;1024,43;1,17;6;-999;
1712997047;13/04/2024 8:30:47;23,32;19,4;59,54;1024,42;2,36;22;-999;
1712997107;13/04/2024 8:31:47;23,11;19,3;60;1024,42;2,47;24;-999;
