NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;1;2:07.114;0;;1:03.501;0;26.783;0;36.830;0;97.2;2:07.114;10:39:07.114;1:03.501;0:26.783;0:36.830;;Jake DENNIS;0:00:28.194;;B;Andretti Formula E;Porsche;;false;
1;1;2;1:18.396;0;;27.776;0;22.379;0;28.241;0;155.3;3:25.510;10:40:25.510;0:27.776;0:22.379;0:28.241;;Jake DENNIS;;;B;Andretti Formula E;Porsche;;false;
1;1;3;1:43.804;0;B;30.515;0;25.592;0;47.697;0;117.3;5:09.314;10:42:09.314;0:30.515;0:25.592;0:47.697;;Jake DENNIS;;;B;Andretti Formula E;Porsche;;false;
1;1;4;3:38.189;0;;2:39.424;0;24.103;0;34.662;0;55.8;8:47.503;10:45:47.503;2:39.424;0:24.103;0:34.662;;Jake DENNIS;0:02:20.325;;B;Andretti Formula E;Porsche;;false;
1;1;5;1:18.073;2;;27.706;2;22.238;2;28.129;2;155.9;10:05.576;10:47:05.576;0:27.706;0:22.238;0:28.129;;Jake DENNIS;;;B;Andretti Formula E;Porsche;;false;
1;1;6;1:47.815;0;;34.644;0;29.549;0;43.622;0;112.9;11:53.391;10:48:53.391;0:34.644;0:29.549;0:43.622;;Jake DENNIS;;;B;Andretti Formula E;Porsche;;false;
16;1;1;2:04.536;0;;1:00.614;0;30.221;0;33.701;0;99.2;2:04.536;10:39:04.536;1:00.614;0:30.221;0:33.701;;Sébastien BUEMI;0:00:25.003;;B;Envision Racing;Jaguar;;false;
16;1;2;1:18.521;0;;27.938;0;22.350;2;28.233;2;155.1;3:23.057;10:40:23.057;0:27.938;0:22.350;0:28.233;;Sébastien BUEMI;;;B;Envision Racing;Jaguar;;false;
16;1;3;1:42.223;0;B;29.568;0;25.306;0;47.349;0;119.1;5:05.280;10:42:05.280;0:29.568;0:25.306;0:47.349;;Sébastien BUEMI;;;B;Envision Racing;Jaguar;;false;
16;1;4;3:22.928;0;;2:19.250;0;28.085;0;35.593;0;60.0;8:28.208;10:45:28.208;2:19.250;0:28.085;0:35.593;;Sébastien BUEMI;0:01:56.515;;B;Envision Racing;Jaguar;;false;
16;1;5;1:18.594;0;;27.849;0;22.386;0;28.359;0;154.9;9:46.802;10:46:46.802;0:27.849;0:22.386;0:28.359;;Sébastien BUEMI;;;B;Envision Racing;Jaguar;;false;
16;1;6;1:50.075;0;;39.109;0;29.740;0;41.226;0;110.6;11:36.877;10:48:36.877;0:39.109;0:29.740;0:41.226;;Sébastien BUEMI;;;B;Envision Racing;Jaguar;;false;
16;1;7;1:18.255;2;;27.626;2;22.365;0;28.264;0;155.6;12:55.132;10:49:55.132;0:27.626;0:22.365;0:28.264;;Sébastien BUEMI;;;B;Envision Racing;Jaguar;;false;
18;1;1;2:13.819;0;;1:07.952;0;25.622;0;40.245;0;92.3;2:13.819;10:39:13.819;1:07.952;0:25.622;0:40.245;;Jehan DARUVALA;0:00:30.704;;B;Maserati MSG Racing;STELLANTIS;;false;
18;1;2;1:19.522;0;;27.737;0;22.785;0;29.000;0;153.1;3:33.341;10:40:33.341;0:27.737;0:22.785;0:29.000;;Jehan DARUVALA;;;B;Maserati MSG Racing;STELLANTIS;;false;
18;1;3;1:42.504;0;;34.668;0;27.075;0;40.761;0;118.8;5:15.845;10:42:15.845;0:34.668;0:27.075;0:40.761;;Jehan DARUVALA;;;B;Maserati MSG Racing;STELLANTIS;;false;
18;1;4;1:18.720;2;;27.720;2;22.482;2;28.518;2;154.7;6:34.565;10:43:34.565;0:27.720;0:22.482;0:28.518;;Jehan DARUVALA;;;B;Maserati MSG Racing;STELLANTIS;;false;
18;1;5;1:34.706;0;B;29.779;0;22.604;0;42.323;0;128.6;8:09.271;10:45:09.271;0:29.779;0:22.604;0:42.323;;Jehan DARUVALA;;;B;Maserati MSG Racing;STELLANTIS;;false;
18;1;6;3:23.949;0;;2:21.446;0;25.663;0;36.840;0;59.7;11:33.220;10:48:33.220;2:21.446;0:25.663;0:36.840;;Jehan DARUVALA;0:01:59.919;;B;Maserati MSG Racing;STELLANTIS;;false;
18;1;7;2:02.924;0;B;40.791;0;22.560;0;59.573;0;99.0;13:36.144;10:50:36.144;0:40.791;0:22.560;0:59.573;;Jehan DARUVALA;;;B;Maserati MSG Racing;STELLANTIS;;false;
2;1;1;2:11.361;0;;1:06.159;0;25.705;0;39.497;0;94.0;2:11.361;10:39:11.361;1:06.159;0:25.705;0:39.497;;Stoffel VANDOORNE;0:00:29.068;;B;DS PENSKE;STELLANTIS;;false;
2;1;2;1:18.705;0;;27.827;0;22.527;0;28.351;0;154.7;3:30.066;10:40:30.066;0:27.827;0:22.527;0:28.351;;Stoffel VANDOORNE;;;B;DS PENSKE;STELLANTIS;;false;
2;1;3;1:41.876;0;;36.732;0;27.060;0;38.084;0;119.5;5:11.942;10:42:11.942;0:36.732;0:27.060;0:38.084;;Stoffel VANDOORNE;;;B;DS PENSKE;STELLANTIS;;false;
2;1;4;1:18.343;0;;27.732;0;22.317;0;28.294;0;155.4;6:30.285;10:43:30.285;0:27.732;0:22.317;0:28.294;;Stoffel VANDOORNE;;;B;DS PENSKE;STELLANTIS;;false;
2;1;5;1:32.860;0;B;28.541;0;22.651;0;41.668;0;131.1;8:03.145;10:45:03.145;0:28.541;0:22.651;0:41.668;;Stoffel VANDOORNE;;;B;DS PENSKE;STELLANTIS;;false;
2;1;6;3:28.018;0;;2:26.915;0;25.363;0;35.740;0;58.5;11:31.163;10:48:31.163;2:26.915;0:25.363;0:35.740;;Stoffel VANDOORNE;0:02:03.534;;B;DS PENSKE;STELLANTIS;;false;
2;1;7;1:18.052;2;;27.645;2;22.261;2;28.146;2;156.0;12:49.215;10:49:49.215;0:27.645;0:22.261;0:28.146;;Stoffel VANDOORNE;;;B;DS PENSKE;STELLANTIS;;false;
23;1;1;2:16.479;0;;1:08.791;0;25.949;0;41.739;0;90.5;2:16.479;10:39:16.479;1:08.791;0:25.949;0:41.739;;Sacha FENESTRAZ;0:00:32.045;;B;Nissan Formula E Team;Nissan;;false;
23;1;2;1:18.258;0;;27.796;0;22.274;2;28.188;0;155.6;3:34.737;10:40:34.737;0:27.796;0:22.274;0:28.188;;Sacha FENESTRAZ;;;B;Nissan Formula E Team;Nissan;;false;
23;1;3;1:43.681;0;;36.950;0;27.213;0;39.518;0;117.4;5:18.418;10:42:18.418;0:36.950;0:27.213;0:39.518;;Sacha FENESTRAZ;;;B;Nissan Formula E Team;Nissan;;false;
23;1;4;1:39.137;0;B;27.629;2;;0;;0;122.8;6:57.555;10:43:57.555;0:27.629;;;;Sacha FENESTRAZ;;;B;Nissan Formula E Team;Nissan;;false;
23;1;5;3:48.500;0;;2:52.149;0;24.913;0;31.438;0;53.3;10:46.055;10:47:46.055;2:52.149;0:24.913;0:31.438;;Sacha FENESTRAZ;0:02:33.210;;B;Nissan Formula E Team;Nissan;;false;
23;1;6;1:18.126;2;;27.784;0;22.371;0;27.971;2;155.8;12:04.181;10:49:04.181;0:27.784;0:22.371;0:27.971;;Sacha FENESTRAZ;;;B;Nissan Formula E Team;Nissan;;false;
3;1;1;2:19.095;0;;1:11.899;0;26.922;0;40.274;0;88.8;2:19.095;10:39:19.095;1:11.899;0:26.922;0:40.274;;Sérgio SETTE CÂMARA;0:00:37.935;;B;ERT Formula E Team;Electric Racing Technologies;;false;
3;1;2;1:18.091;2;;27.634;2;22.428;0;28.029;2;155.9;3:37.186;10:40:37.186;0:27.634;0:22.428;0:28.029;;Sérgio SETTE CÂMARA;;;B;ERT Formula E Team;Electric Racing Technologies;;false;
3;1;3;3:06.174;0;B;31.246;0;22.854;0;2:12.074;0;65.4;6:43.360;10:43:43.360;0:31.246;0:22.854;2:12.074;;Sérgio SETTE CÂMARA;;;B;ERT Formula E Team;Electric Racing Technologies;;false;
3;1;4;2:00.693;0;;1:00.029;0;24.858;0;35.806;0;100.9;8:44.053;10:45:44.053;1:00.029;0:24.858;0:35.806;;Sérgio SETTE CÂMARA;0:02:11.914;;B;ERT Formula E Team;Electric Racing Technologies;;false;
3;1;5;1:18.306;0;;27.667;0;22.260;2;28.379;0;155.5;10:02.359;10:47:02.359;0:27.667;0:22.260;0:28.379;;Sérgio SETTE CÂMARA;;;B;ERT Formula E Team;Electric Racing Technologies;;false;
3;1;6;1:47.249;0;;37.142;0;29.086;0;41.021;0;113.5;11:49.608;10:48:49.608;0:37.142;0:29.086;0:41.021;;Sérgio SETTE CÂMARA;;;B;ERT Formula E Team;Electric Racing Technologies;;false;
3;1;7;1:18.273;0;;27.707;0;22.260;0;28.306;0;155.5;13:07.881;10:50:07.881;0:27.707;0:22.260;0:28.306;;Sérgio SETTE CÂMARA;;;B;ERT Formula E Team;Electric Racing Technologies;;false;
48;1;1;2:28.016;0;;1:17.546;0;27.117;0;43.353;0;83.4;2:28.016;10:39:28.016;1:17.546;0:27.117;0:43.353;;Edoardo MORTARA;0:00:42.612;;B;MAHINDRA RACING;Mahindra Racing;;false;
48;1;2;1:18.681;0;;27.789;2;22.583;0;28.309;0;154.7;3:46.697;10:40:46.697;0:27.789;0:22.583;0:28.309;;Edoardo MORTARA;;;B;MAHINDRA RACING;Mahindra Racing;;false;
48;1;3;2:43.602;0;B;28.005;0;22.507;0;1:53.090;0;74.4;6:30.299;10:43:30.299;0:28.005;0:22.507;1:53.090;;Edoardo MORTARA;;;B;MAHINDRA RACING;Mahindra Racing;;false;
48;1;4;2:05.047;0;;1:01.932;0;26.905;0;36.210;0;97.4;8:35.346;10:45:35.346;1:01.932;0:26.905;0:36.210;;Edoardo MORTARA;0:01:50.566;;B;MAHINDRA RACING;Mahindra Racing;;false;
48;1;5;1:28.574;0;;27.870;0;25.314;0;35.390;0;137.5;10:03.920;10:47:03.920;0:27.870;0:25.314;0:35.390;;Edoardo MORTARA;;;B;MAHINDRA RACING;Mahindra Racing;;false;
48;1;6;1:40.873;0;;32.529;0;27.290;0;41.054;0;120.7;11:44.793;10:48:44.793;0:32.529;0:27.290;0:41.054;;Edoardo MORTARA;;;B;MAHINDRA RACING;Mahindra Racing;;false;
48;1;7;1:18.461;2;;27.894;0;22.432;2;28.135;2;155.2;13:03.254;10:50:03.254;0:27.894;0:22.432;0:28.135;;Edoardo MORTARA;;;B;MAHINDRA RACING;Mahindra Racing;;false;
