TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1713083825;14/04/2024 8:37:05;21,06;19,3;59,08;1020,86;1,83;20;-999;
1713083885;14/04/2024 8:38:05;21,02;19,5;59,4;1020,87;1,57;26;-999;
1713083945;14/04/2024 8:39:05;21,05;19,8;60,05;1020,88;1,78;24;-999;
1713084005;14/04/2024 8:40:05;21,06;19,8;59,71;1020,88;1,32;23;-999;
1713084065;14/04/2024 8:41:05;21,06;20,3;60,39;1020,83;2,17;19;-999;
1713084125;14/04/2024 8:42:05;21,2;20,8;59,62;1020,87;1,44;7;-999;
1713084185;14/04/2024 8:43:05;21,22;21;59,04;1020,89;1,55;19;-999;
1713084245;14/04/2024 8:44:05;21,23;21,2;59,52;1020,86;2,01;28;-999;
1713084305;14/04/2024 8:45:05;21,26;21,2;59,65;1020,86;1,28;21;-999;
1713084365;14/04/2024 8:46:05;21,27;21,2;59,53;1020,86;1,84;19;-999;
1713084425;14/04/2024 8:47:05;21,26;21,1;59,36;1020,86;1,44;20;-999;
1713084485;14/04/2024 8:48:05;21,33;21,1;58,38;1020,86;1,67;353;-999;
