TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1713099856;14/04/2024 13:04:16;24,55;39,6;52,43;1018,55;2;14;-999;
1713099917;14/04/2024 13:05:17;24,64;39,5;53,08;1018,55;2,39;359;-999;
1713099977;14/04/2024 13:06:17;24,6;39,5;51,75;1018,55;2,09;6;-999;
1713100037;14/04/2024 13:07:17;24,53;39,5;52,08;1018,51;2,72;15;-999;
1713100097;14/04/2024 13:08:17;24,56;39,4;52,32;1018,5;1,81;6;-999;
1713100157;14/04/2024 13:09:17;24,6;39,4;52,42;1018,48;2,26;8;-999;
1713100217;14/04/2024 13:10:17;24,7;39,3;52,33;1018,46;3,1;14;-999;
1713100277;14/04/2024 13:11:17;24,62;39,3;52,95;1018,46;2;5;-999;
1713100337;14/04/2024 13:12:17;24,66;39,2;52,22;1018,44;2,37;21;-999;
1713100397;14/04/2024 13:13:17;24,64;39,2;52,39;1018,4;2,36;23;-999;
1713100457;14/04/2024 13:14:17;24,74;39,2;52,78;1018,39;2;12;-999;
1713100517;14/04/2024 13:15:17;24,74;39,3;51,86;1018,36;1,73;15;-999;
1713100577;14/04/2024 13:16:17;24,87;39,3;50,92;1018,34;1,89;2;-999;
1713100637;14/04/2024 13:17:17;24,8;39,4;51,29;1018,33;2,29;28;-999;
1713100697;14/04/2024 13:18:17;24,8;39,4;51,06;1018,37;1,85;16;-999;
1713100757;14/04/2024 13:19:17;24,8;39,2;53,15;1018,31;2,43;7;-999;
1713100817;14/04/2024 13:20:17;24,77;39,1;52,27;1018,29;2,51;18;-999;
1713100878;14/04/2024 13:21:18;24,74;39,1;53,21;1018,29;3,06;15;-999;
1713100938;14/04/2024 13:22:18;24,66;39,1;53,85;1018,28;2,16;11;-999;
1713100998;14/04/2024 13:23:18;24,72;38,9;53,12;1018,29;2,38;12;-999;
1713101058;14/04/2024 13:24:18;24,8;38,8;53,67;1018,29;1,97;17;-999;
1713101118;14/04/2024 13:25:18;24,87;38,8;53,62;1018,25;3,06;20;-999;
1713101178;14/04/2024 13:26:18;24,86;38,8;53,09;1018,26;2,58;2;-999;
1713101238;14/04/2024 13:27:18;24,9;38,8;53,21;1018,26;2,03;14;-999;
1713101298;14/04/2024 13:28:18;24,89;38,7;53,56;1018,23;2,18;18;-999;
1713101358;14/04/2024 13:29:18;24,79;38,7;52,73;1018,15;4,07;6;-999;
1713101418;14/04/2024 13:30:18;24,72;38,7;53,12;1018,19;2,52;16;-999;
1713101478;14/04/2024 13:31:18;24,7;38,7;53,56;1018,16;1,63;12;-999;
1713101538;14/04/2024 13:32:18;24,67;38,6;52,32;1018,12;3,05;6;-999;
1713101598;14/04/2024 13:33:18;24,74;38,7;50,61;1018,09;2,67;22;-999;
1713101658;14/04/2024 13:34:18;24,7;38,7;51,2;1018,07;1,87;9;-999;
1713101718;14/04/2024 13:35:18;24,73;38,7;51,64;1018,07;2,19;7;-999;
1713101778;14/04/2024 13:36:18;24,84;38,7;50,58;1018,01;2,63;10;-999;
1713101839;14/04/2024 13:37:19;24,93;38,6;50,06;1017,97;3,14;14;-999;
1713101899;14/04/2024 13:38:19;25,01;38,6;49,38;1017,99;1,79;21;-999;
1713101959;14/04/2024 13:39:19;25,1;38,6;49,21;1017,99;2,33;1;-999;
1713102019;14/04/2024 13:40:19;25,1;38,7;48,71;1017,96;3,57;6;-999;
