POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;2;6;1:30.593;-;-;132.6;6;DS PENSKE;;B;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;11;Stoffel;VANDOORNE;;BEL;BEL;VAN;;;;;;
2;37;6;1:30.785;+0.192;+0.192;132.3;6;Jaguar TCS Racing;;B;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;4;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
3;16;6;1:30.811;+0.218;+0.026;132.3;6;Envision Racing;;B;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;13;Sébastien;BUEMI;;CHE;CHE;BUE;;;;;;
4;25;6;1:30.848;+0.255;+0.037;132.2;6;DS PENSKE;;B;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;6;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
5;18;7;1:31.010;+0.417;+0.162;132.0;7;Maserati MSG Racing;;B;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;19;Jehan;DARUVALA;;IND;IND;DAR;;;;;;
6;48;5;1:31.042;+0.449;+0.032;132.0;7;MAHINDRA RACING;;B;;Mahindra M10Electro;HANKOOK;;;;;;;;;;21;Edoardo;MORTARA;;CHE;CHE;MOR;;;;;;
7;23;7;1:31.083;+0.490;+0.041;131.9;7;Nissan Formula E Team;;B;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;15;Sacha;FENESTRAZ;;FRA;FRA;FEN;;;;;;
8;5;5;1:31.149;+0.556;+0.066;131.8;5;NEOM McLaren Formula E Team;;B;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;9;Jake;HUGHES;;GBR;GBR;HUG;;;;;;
9;1;7;1:31.370;+0.777;+0.221;131.5;7;Andretti Formula E;;B;;Porsche 99X Electric;HANKOOK;;;;;;;;;;2;Jake;DENNIS;;GBR;GBR;DEN;;;;;;
10;33;6;1:31.600;+1.007;+0.230;131.1;6;ERT Formula E Team;;B;;ERT X24;HANKOOK;;;;;;;;;;17;Dan;TICKTUM;;GBR;GBR;TIC;;;;;;
11;8;2;1:32.323;+1.730;+0.723;130.1;5;NEOM McLaren Formula E Team;;B;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;23;Taylor;BARNARD;;GBR;GBR;BAR;;;;;;
