POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;9;Classified;31;58:15.455;-;-;30;1:32.203;130.3;Jaguar TCS Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;7;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
2;37;Classified;31;58:16.401;+0.946;+0.946;31;1:31.561;131.2;Jaguar TCS Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;4;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
3;2;Classified;31;58:19.290;+3.835;+2.889;29;1:32.564;129.8;DS PENSKE;;;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;11;Stoffel;VANDOORNE;;BEL;BEL;VAN;;;;;;
4;25;Classified;31;58:20.254;+4.799;+0.964;28;1:31.912;130.7;DS PENSKE;;;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;6;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
5;94;Classified;31;58:21.833;+6.378;+1.579;29;1:31.757;130.9;TAG Heuer Porsche Formula E Team;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;1;Pascal;WEHRLEIN;;DEU;DEU;WEH;;;;;;
6;22;Classified;31;58:22.247;+6.792;+0.414;29;1:32.059;130.5;Nissan Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;3;Oliver;ROWLAND;;GBR;GBR;ROW;;;;;;
7;13;Classified;31;58:22.819;+7.364;+0.572;29;1:32.127;130.4;TAG Heuer Porsche Formula E Team;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;14;António Félix;DA COSTA;;PRT;PRT;DAC;;;;;;
8;23;Classified;31;58:23.383;+7.928;+0.564;29;1:32.434;130.0;Nissan Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;15;Sacha;FENESTRAZ;;FRA;FRA;FEN;;;;;;
9;7;Classified;31;58:23.717;+8.262;+0.334;29;1:32.239;130.2;Maserati MSG Racing;;;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;5;Maximilian;GÜNTHER;;DEU;DEU;GUE;;;;;;
10;17;Classified;31;58:24.500;+9.045;+0.783;23;1:32.144;130.4;Andretti Formula E;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;10;Norman;NATO;;FRA;FRA;NAT;;;;;;
11;11;Classified;31;58:25.344;+9.889;+0.844;29;1:32.527;129.8;ABT CUPRA FORMULA E TEAM;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;20;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
12;21;Classified;31;58:25.638;+10.183;+0.294;29;1:32.527;129.8;MAHINDRA RACING;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;22;Nyck;DE VRIES;;NLD;NLD;DEV;;;;;;
13;33;Classified;31;58:33.454;+17.999;+7.816;27;1:34.000;127.8;ERT Formula E Team;;;;ERT X24;HANKOOK;;;;;;;;;;17;Dan;TICKTUM;;GBR;GBR;TIC;;;;;;
14;8;Classified;31;58:33.583;+18.128;+0.129;23;1:33.498;128.5;NEOM McLaren Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;23;Taylor;BARNARD;;GBR;GBR;BAR;;;;;;
15;16;Classified;31;58:33.907;+18.452;+0.324;23;1:33.883;128.0;Envision Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;13;Sébastien;BUEMI;;CHE;CHE;BUE;;;;;;
16;5;Classified;31;58:34.451;+18.996;+0.544;31;1:32.277;130.2;NEOM McLaren Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;9;Jake;HUGHES;;GBR;GBR;HUG;;;;;;
17;4;Classified;31;58:34.561;+19.106;+0.110;27;1:32.984;129.2;Envision Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;12;Robin;FRIJNS;;NLD;NLD;FRI;;;;;;
18;3;Classified;31;58:40.028;+24.573;+5.467;27;1:33.348;128.7;ERT Formula E Team;;;;ERT X24;HANKOOK;;;;;;;;;;18;Sérgio;SETTE CÂMARA;;BRA;BRA;SET;;;;;;
19;1;Classified;31;58:47.487;+32.032;+7.459;31;1:31.064;131.9;Andretti Formula E;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;2;Jake;DENNIS;;GBR;GBR;DEN;;;;;;
20;18;Classified;31;59:27.724;+1:12.269;+40.237;31;1:31.052;131.9;Maserati MSG Racing;;;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;19;Jehan;DARUVALA;;IND;IND;DAR;;;;;;
;51;Not classified;23;44:04.772;;;23;1:33.520;128.5;ABT CUPRA FORMULA E TEAM;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;16;Nico;MÜLLER;;CHE;CHE;MUE;;;;;;
;48;Not classified;3;5:14.161;;;2;1:40.573;119.4;MAHINDRA RACING;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;21;Edoardo;MORTARA;;CHE;CHE;MOR;;;;;;
