NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
11;1;1;2:30.068;0;;1:05.577;0;42.969;0;41.522;0;80.1;2:30.068;10:42:30.068;1:05.577;0:42.969;0:41.522;;Lucas DI GRASSI;0:00:26.945;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;2;1:31.944;0;;27.075;0;39.012;0;25.857;0;130.7;4:02.012;10:44:02.012;0:27.075;0:39.012;0:25.857;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;3;3:57.523;0;B;27.070;0;40.888;0;2:49.565;0;50.6;7:59.535;10:47:59.535;0:27.070;0:40.888;2:49.565;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;4;1:46.630;0;;33.686;0;42.905;0;30.039;0;112.7;9:46.165;10:49:46.165;0:33.686;0:42.905;0:30.039;;Lucas DI GRASSI;0:02:30.006;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;5;1:48.585;0;;29.791;0;41.834;0;36.960;0;110.6;11:34.750;10:51:34.750;0:29.791;0:41.834;0:36.960;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;6;1:31.349;2;;26.851;2;38.767;2;25.731;2;131.5;13:06.099;10:53:06.099;0:26.851;0:38.767;0:25.731;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
13;1;1;2:13.749;0;;52.957;0;44.265;0;36.527;0;89.8;2:13.749;10:42:13.749;0:52.957;0:44.265;0:36.527;;António Félix DA COSTA;0:00:17.973;;A;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;2;1:32.058;0;;27.336;0;38.880;0;25.842;0;130.5;3:45.807;10:43:45.807;0:27.336;0:38.880;0:25.842;;António Félix DA COSTA;;;A;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;3;3:06.982;0;B;26.996;0;38.731;0;2:01.255;0;64.2;6:52.789;10:46:52.789;0:26.996;0:38.731;2:01.255;;António Félix DA COSTA;;;A;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;4;1:46.373;0;;34.239;0;41.974;0;30.160;0;112.9;8:39.162;10:48:39.162;0:34.239;0:41.974;0:30.160;;António Félix DA COSTA;0:01:43.657;;A;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;5;1:31.068;2;;27.001;0;38.516;2;25.551;3;131.9;10:10.230;10:50:10.230;0:27.001;0:38.516;0:25.551;;António Félix DA COSTA;;;A;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;6;1:41.630;0;;31.173;0;42.673;0;27.784;0;118.2;11:51.860;10:51:51.860;0:31.173;0:42.673;0:27.784;;António Félix DA COSTA;;;A;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;7;1:31.221;0;;26.792;2;38.602;0;25.827;0;131.7;13:23.081;10:53:23.081;0:26.792;0:38.602;0:25.827;;António Félix DA COSTA;;;A;TAG Heuer Porsche Formula E Team;Porsche;;false;
