NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;1;2:01.449;0;;47.837;0;42.739;0;30.873;0;98.9;2:01.449;10:59:01.449;0:47.837;0:42.739;0:30.873;;Jake DENNIS;0:00:13.300;;B;Andretti Formula E;Porsche;;false;
1;1;2;1:31.495;0;;26.955;0;38.640;0;25.900;0;131.3;3:32.944;11:00:32.944;0:26.955;0:38.640;0:25.900;;Jake DENNIS;;;B;Andretti Formula E;Porsche;;false;
1;1;3;3:34.478;0;B;27.524;0;38.973;0;2:27.981;0;56.0;7:07.422;11:04:07.422;0:27.524;0:38.973;2:27.981;;Jake DENNIS;;;B;Andretti Formula E;Porsche;;false;
1;1;4;1:41.241;0;;31.881;0;40.553;0;28.807;0;118.7;8:48.663;11:05:48.663;0:31.881;0:40.553;0:28.807;;Jake DENNIS;0:02:09.779;;B;Andretti Formula E;Porsche;;false;
1;1;5;1:31.602;0;;26.966;0;38.610;2;26.026;0;131.1;10:20.265;11:07:20.265;0:26.966;0:38.610;0:26.026;;Jake DENNIS;;;B;Andretti Formula E;Porsche;;false;
1;1;6;1:39.583;0;;28.854;0;41.403;0;29.326;0;120.6;11:59.848;11:08:59.848;0:28.854;0:41.403;0:29.326;;Jake DENNIS;;;B;Andretti Formula E;Porsche;;false;
1;1;7;1:31.370;2;;26.908;2;38.626;0;25.836;2;131.5;13:31.218;11:10:31.218;0:26.908;0:38.626;0:25.836;;Jake DENNIS;;;B;Andretti Formula E;Porsche;;false;
16;1;1;1:53.319;0;;42.801;0;41.541;0;28.977;0;106.0;1:53.319;10:58:53.319;0:42.801;0:41.541;0:28.977;;Sébastien BUEMI;0:00:09.850;;B;Envision Racing;Jaguar;;false;
16;1;2;1:31.426;0;;27.103;0;38.565;0;25.758;0;131.4;3:24.745;11:00:24.745;0:27.103;0:38.565;0:25.758;;Sébastien BUEMI;;;B;Envision Racing;Jaguar;;false;
16;1;3;4:04.045;0;B;27.043;0;38.765;0;2:58.237;0;49.2;7:28.790;11:04:28.790;0:27.043;0:38.765;2:58.237;;Sébastien BUEMI;;;B;Envision Racing;Jaguar;;false;
16;1;4;1:49.660;0;;35.270;0;43.869;0;30.521;0;109.5;9:18.450;11:06:18.450;0:35.270;0:43.869;0:30.521;;Sébastien BUEMI;0:02:39.670;;B;Envision Racing;Jaguar;;false;
