NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;1;1:53.278;0;;40.877;0;45.055;0;27.346;0;106.1;1:53.278;15:05:53.388;0:40.877;0:45.055;0:27.346;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;2;1:39.745;0;;29.563;0;42.500;0;27.682;0;120.4;3:33.023;15:07:33.133;0:29.563;0:42.500;0:27.682;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;3;1:41.440;0;;28.656;0;43.195;0;29.589;0;118.4;5:14.463;15:09:14.573;0:28.656;0:43.195;0:29.589;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;4;1:43.148;0;;30.161;0;44.181;0;28.806;0;116.5;6:57.611;15:10:57.721;0:30.161;0:44.181;0:28.806;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;5;2:37.986;0;;29.287;0;1:16.933;0;51.766;0;76.0;9:35.597;15:13:35.707;0:29.287;1:16.933;0:51.766;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;6;4:28.592;0;;1:37.423;0;1:43.773;0;1:07.396;0;44.7;14:04.189;15:18:04.299;1:37.423;1:43.773;1:07.396;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;7;3:13.847;0;;1:06.480;0;1:18.979;0;48.388;0;62.0;17:18.036;15:21:18.146;1:06.480;1:18.979;0:48.388;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;8;2:22.013;0;;42.078;0;55.770;0;44.165;0;84.6;19:40.049;15:23:40.159;0:42.078;0:55.770;0:44.165;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;9;1:42.841;0;;30.308;0;42.896;0;29.637;0;116.8;21:22.890;15:25:23.000;0:30.308;0:42.896;0:29.637;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;10;2:25.832;0;B;28.757;0;46.782;0;1:10.293;0;82.4;23:48.722;15:27:48.832;0:28.757;0:46.782;1:10.293;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;11;1:45.946;0;;32.366;0;43.844;0;29.736;0;113.4;25:34.668;15:29:34.778;0:32.366;0:43.844;0:29.736;;Jake DENNIS;0:00:42.863;;;Andretti Formula E;Porsche;;false;
1;1;12;1:50.821;0;;32.200;0;45.943;0;32.678;0;108.4;27:25.489;15:31:25.599;0:32.200;0:45.943;0:32.678;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;13;1:51.191;0;;35.413;0;45.817;0;29.961;0;108.0;29:16.680;15:33:16.790;0:35.413;0:45.817;0:29.961;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;14;1:37.848;0;;28.782;0;41.510;0;27.556;0;122.8;30:54.528;15:34:54.638;0:28.782;0:41.510;0:27.556;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;15;1:36.495;0;;28.671;0;40.727;0;27.097;0;124.5;32:31.023;15:36:31.133;0:28.671;0:40.727;0:27.097;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;16;1:36.124;0;;28.481;0;40.531;0;27.112;0;125.0;34:07.147;15:38:07.257;0:28.481;0:40.531;0:27.112;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;17;1:35.851;0;;28.365;0;40.636;0;26.850;0;125.3;35:42.998;15:39:43.108;0:28.365;0:40.636;0:26.850;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;18;1:35.943;0;;28.266;0;40.644;0;27.033;0;125.2;37:18.941;15:41:19.051;0:28.266;0:40.644;0:27.033;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;19;1:35.511;0;;28.224;0;40.497;0;26.790;0;125.8;38:54.452;15:42:54.562;0:28.224;0:40.497;0:26.790;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;20;1:33.424;0;;28.107;0;39.420;0;25.897;0;128.6;40:27.876;15:44:27.986;0:28.107;0:39.420;0:25.897;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;21;1:36.662;0;;28.436;0;40.902;0;27.324;0;124.3;42:04.538;15:46:04.648;0:28.436;0:40.902;0:27.324;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;22;1:39.176;0;;29.465;0;41.791;0;27.920;0;121.1;43:43.714;15:47:43.824;0:29.465;0:41.791;0:27.920;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;23;1:36.117;0;;28.222;0;40.388;0;27.507;0;125.0;45:19.831;15:49:19.941;0:28.222;0:40.388;0:27.507;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;24;1:47.886;0;;27.107;0;39.572;0;41.207;0;111.4;47:07.717;15:51:07.827;0:27.107;0:39.572;0:41.207;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;25;1:44.752;0;;33.094;0;42.206;0;29.452;0;114.7;48:52.469;15:52:52.579;0:33.094;0:42.206;0:29.452;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;26;1:50.979;0;;28.705;0;54.519;0;27.755;0;108.2;50:43.448;15:54:43.558;0:28.705;0:54.519;0:27.755;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;27;1:32.847;0;;27.219;0;39.428;0;26.200;0;129.4;52:16.295;15:56:16.405;0:27.219;0:39.428;0:26.200;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;28;1:44.444;0;;27.548;0;40.402;0;36.494;0;115.0;54:00.739;15:58:00.849;0:27.548;0:40.402;0:36.494;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;29;1:38.440;0;;26.914;0;39.258;0;32.268;0;122.0;55:39.179;15:59:39.289;0:26.914;0:39.258;0:32.268;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;30;1:37.244;0;;27.032;0;38.995;0;31.217;0;123.5;57:16.423;16:01:16.533;0:27.032;0:38.995;0:31.217;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;31;1:31.064;2;;26.748;3;38.681;2;25.635;2;131.9;58:47.487;16:02:47.597;0:26.748;0:38.681;0:25.635;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
11;1;1;1:52.988;0;;40.521;0;44.305;0;28.162;0;106.3;1:52.988;15:05:53.098;0:40.521;0:44.305;0:28.162;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;2;1:41.266;0;;29.809;0;43.290;0;28.167;0;118.6;3:34.254;15:07:34.364;0:29.809;0:43.290;0:28.167;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;3;1:42.258;0;;30.228;0;41.507;0;30.523;0;117.5;5:16.512;15:09:16.622;0:30.228;0:41.507;0:30.523;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;4;1:42.294;0;;29.742;0;43.778;0;28.774;0;117.4;6:58.806;15:10:58.916;0:29.742;0:43.778;0:28.774;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
