TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1714208272;27/04/2024 8:57:52;17,38;15,7;58,41;1012,79;1,64;292;-999;
1714208332;27/04/2024 8:58:52;17,34;15,6;58,62;1012,76;0,66;14;-999;
1714208392;27/04/2024 8:59:52;17,34;15,6;59,46;1012,79;1,25;217;-999;
1714208452;27/04/2024 9:00:52;17,31;15,6;60,03;1012,8;0,62;157;-999;
1714208512;27/04/2024 9:01:52;17,35;15,6;60,34;1012,83;0,48;27;-999;
1714208572;27/04/2024 9:02:52;17,41;15,6;60,5;1012,85;1,58;238;-999;
1714208633;27/04/2024 9:03:53;17,41;15,6;59,7;1012,89;1,28;272;-999;
1714208693;27/04/2024 9:04:53;17,41;15,7;59,53;1012,91;2,89;224;-999;
1714208753;27/04/2024 9:05:53;17,39;15,6;59,9;1013,01;0,36;356;-999;
1714208813;27/04/2024 9:06:53;17,41;15,7;60,14;1013,03;0,59;245;-999;
1714208873;27/04/2024 9:07:53;17,39;15,7;60,16;1012,99;1,47;282;-999;
1714208933;27/04/2024 9:08:53;17,32;15,7;60,1;1012,98;1,65;253;-999;
