TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1714223045;27/04/2024 13:04:05;17,24;21,5;67,58;1013,35;2,81;309;-999;
1714223105;27/04/2024 13:05:05;17,24;21,7;67,02;1013,39;4,26;297;-999;
1714223165;27/04/2024 13:06:05;17,29;22,1;66,58;1013,31;2,64;227;-999;
1714223225;27/04/2024 13:07:05;17,39;22,5;66,59;1013,3;2,84;302;-999;
1714223285;27/04/2024 13:08:05;17,53;22,9;66,88;1013,31;0,99;277;-999;
1714223346;27/04/2024 13:09:06;17,66;22,9;66,37;1013,27;1,54;289;-999;
1714223406;27/04/2024 13:10:06;17,81;22,7;65,77;1013,29;4,52;283;-999;
1714223466;27/04/2024 13:11:06;17,8;22,5;65,58;1013,37;1,39;222;-999;
1714223526;27/04/2024 13:12:06;17,93;22,3;65,17;1013,36;1,46;351;-999;
1714223586;27/04/2024 13:13:06;17,94;22,2;64,32;1013,3;2,5;319;-999;
1714223646;27/04/2024 13:14:06;17,96;22,1;63,95;1013,35;2,73;242;-999;
1714223706;27/04/2024 13:15:06;17,9;22;64,8;1013,36;2,15;276;-999;
1714223766;27/04/2024 13:16:06;17,93;21,8;64,46;1013,29;2,11;269;-999;
1714223826;27/04/2024 13:17:06;17,97;21,8;64,37;1013,34;2,61;306;-999;
1714223886;27/04/2024 13:18:06;17,99;21,7;64,07;1013,36;0,97;227;-999;
1714223946;27/04/2024 13:19:06;17,99;21,6;63,45;1013,34;2,84;311;-999;
1714224006;27/04/2024 13:20:06;17,97;21,5;64,13;1013,33;4,19;304;-999;
1714224066;27/04/2024 13:21:06;17,93;21,5;64,32;1013,39;3,22;312;-999;
1714224126;27/04/2024 13:22:06;17,84;21,4;64,38;1013,4;1,11;265;-999;
1714224186;27/04/2024 13:23:06;17,91;21,4;64,13;1013,4;2,63;251;-999;
1714224246;27/04/2024 13:24:06;17,94;21,3;64,21;1013,5;0,84;221;-999;
1714224307;27/04/2024 13:25:07;17,94;21,2;64,25;1013,44;2,3;318;-999;
1714224367;27/04/2024 13:26:07;17,99;21,2;64,26;1013,45;1,39;254;-999;
1714224427;27/04/2024 13:27:07;17,93;21,1;64,65;1013,43;1,15;282;-999;
1714224487;27/04/2024 13:28:07;17,97;21,1;65,01;1013,43;0,82;302;-999;
1714224547;27/04/2024 13:29:07;17,99;21;64,54;1013,42;2,43;230;-999;
1714224607;27/04/2024 13:30:07;17,93;21;64,25;1013,4;2,2;297;-999;
1714224667;27/04/2024 13:31:07;17,86;20,9;64,73;1013,39;1,17;274;-999;
1714224727;27/04/2024 13:32:07;17,86;20,9;64,71;1013,4;0,95;264;-999;
1714224787;27/04/2024 13:33:07;17,89;20,9;65,02;1013,37;1,52;309;-999;
1714224847;27/04/2024 13:34:07;17,81;20,9;64,94;1013,32;1,55;261;-999;
1714224907;27/04/2024 13:35:07;17,81;20,8;64,99;1013,35;1,61;280;-999;
1714224967;27/04/2024 13:36:07;17,81;20,8;65,43;1013,38;1,95;247;-999;
1714225027;27/04/2024 13:37:07;17,79;20,8;65,39;1013,4;1,8;208;-999;
1714225087;27/04/2024 13:38:07;17,81;20,7;64,85;1013,37;1,4;250;-999;
1714225147;27/04/2024 13:39:07;17,8;20,7;64,5;1013,31;2,32;281;-999;
1714225207;27/04/2024 13:40:07;17,79;20,7;64,31;1013,33;0,2;257;-999;
1714225268;27/04/2024 13:41:08;17,8;20,7;64,4;1013,32;1,1;256;-999;
1714225328;27/04/2024 13:42:08;17,74;20,6;65,07;1013,35;1,72;252;-999;
1714225388;27/04/2024 13:43:08;17,73;20,6;65,37;1013,37;0,72;302;-999;
1714225448;27/04/2024 13:44:08;17,65;20,5;65,33;1013,34;3,91;294;-999;
1714225508;27/04/2024 13:45:08;17,56;20,5;65,55;1013,33;1,76;225;-999;
1714225568;27/04/2024 13:46:08;17,52;20,4;65,94;1013,33;1,54;248;-999;
1714225628;27/04/2024 13:47:08;17,5;20,4;66,2;1013,38;1,78;299;-999;
1714225688;27/04/2024 13:48:08;17,48;20,3;66,05;1013,38;1,72;270;-999;
1714225748;27/04/2024 13:49:08;17,5;20,3;65,67;1013,41;1,68;299;-999;
1714225808;27/04/2024 13:50:08;17,49;20,3;65,87;1013,4;0,81;191;-999;
1714225868;27/04/2024 13:51:08;17,49;20,3;65,67;1013,36;1,48;295;-999;
1714225928;27/04/2024 13:52:08;17,5;20,3;65,91;1013,33;0,87;265;-999;
1714225988;27/04/2024 13:53:08;17,49;20,2;66,05;1013,33;1,51;270;-999;
1714226048;27/04/2024 13:54:08;17,5;20,2;66,1;1013,33;1,15;3;-999;
1714226108;27/04/2024 13:55:08;17,46;20,2;66,58;1013,34;0,94;239;-999;
1714226168;27/04/2024 13:56:08;17,43;20,1;66,4;1013,3;0,93;260;-999;
1714226228;27/04/2024 13:57:08;17,45;20,1;66,51;1013,27;1,61;294;-999;
1714226288;27/04/2024 13:58:08;17,48;20,1;67,27;1013,27;0,5;138;-999;
1714226348;27/04/2024 13:59:08;17,45;20;66,69;1013,27;0,29;292;-999;
1714226409;27/04/2024 14:00:09;17,53;20;66,88;1013,23;0,94;254;-999;
1714226469;27/04/2024 14:01:09;17,59;20;66,72;1013,23;1,49;214;-999;
1714226529;27/04/2024 14:02:09;17,56;20;66,5;1013,21;3,17;299;-999;
