POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;48;9;1:02.619;-;-;134.7;9;MAHINDRA RACING;;A;;Mahindra M10Electro;HANKOOK;;;;;;;;;;21;Edoardo;MORTARA;;CHE;CHE;MOR;;;;;;
2;94;7;1:02.771;+0.152;+0.152;134.4;9;TAG Heuer Porsche Formula E Team;;A;;Porsche 99X Electric;HANKOOK;;;;;;;;;;1;Pascal;WEHRLEIN;;DEU;DEU;WEH;;;;;;
3;25;9;1:02.776;+0.157;+0.005;134.4;9;DS PENSKE;;A;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;7;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
4;18;9;1:02.801;+0.182;+0.025;134.3;9;Maserati MSG Racing;;A;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;19;Jehan;DARUVALA;;IND;IND;DAR;;;;;;
5;13;9;1:02.885;+0.266;+0.084;134.1;9;TAG Heuer Porsche Formula E Team;;A;;Porsche 99X Electric;HANKOOK;;;;;;;;;;10;António Félix;DA COSTA;;PRT;PRT;DAC;;;;;;
6;9;9;1:02.893;+0.274;+0.008;134.1;9;Jaguar TCS Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;5;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
7;33;9;1:02.943;+0.324;+0.050;134.0;9;ERT Formula E Team;;A;;ERT X24;HANKOOK;;;;;;;;;;17;Dan;TICKTUM;;GBR;GBR;TIC;;;;;;
8;21;9;1:02.954;+0.335;+0.011;134.0;9;MAHINDRA RACING;;A;;Mahindra M10Electro;HANKOOK;;;;;;;;;;26;Jordan;KING;;GBR;GBR;KIN;;;;;;
9;23;8;1:03.093;+0.474;+0.139;133.7;10;Nissan Formula E Team;;A;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;12;Sacha;FENESTRAZ;;FRA;FRA;FEN;;;;;;
10;4;4;1:03.094;+0.475;+0.001;133.7;9;Envision Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;24;Joel;ERIKSSON;;SWE;SWE;ERI;;;;;;
11;1;9;1:03.110;+0.491;+0.016;133.7;9;Andretti Formula E;;A;;Porsche 99X Electric;HANKOOK;;;;;;;;;;3;Jake;DENNIS;;GBR;GBR;DEN;;;;;;
