POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;11;9;1:02.615;-;-;134.7;9;ABT CUPRA FORMULA E TEAM;;B;;Mahindra M10Electro;HANKOOK;;;;;;;;;;20;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
2;7;9;1:02.713;+0.098;+0.098;134.5;9;Maserati MSG Racing;;B;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;6;Maximilian;GÜNTHER;;DEU;DEU;GUE;;;;;;
3;2;9;1:02.717;+0.102;+0.004;134.5;9;DS PENSKE;;B;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;9;Stoffel;VANDOORNE;;BEL;BEL;VAN;;;;;;
4;3;9;1:02.761;+0.146;+0.044;134.4;9;ERT Formula E Team;;B;;ERT X24;HANKOOK;;;;;;;;;;18;Sérgio;SETTE CÂMARA;;BRA;BRA;SET;;;;;;
5;37;9;1:02.840;+0.225;+0.079;134.2;9;Jaguar TCS Racing;;B;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;2;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
6;51;8;1:02.870;+0.255;+0.030;134.2;9;ABT CUPRA FORMULA E TEAM;;B;;Mahindra M10Electro;HANKOOK;;;;;;;;;;27;Kelvin;VAN DER LINDE;;ZAF;ZAF;VDL;;;;;;
7;8;5;1:02.926;+0.311;+0.056;134.0;9;NEOM McLaren Formula E Team;;B;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;23;Taylor;BARNARD;;GBR;GBR;BAR;;;;;;
8;22;9;1:02.948;+0.333;+0.022;134.0;9;Nissan Formula E Team;;B;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;4;Oliver;ROWLAND;;GBR;GBR;ROW;;;;;;
9;5;5;1:03.037;+0.422;+0.089;133.8;9;NEOM McLaren Formula E Team;;B;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;11;Jake;HUGHES;;GBR;GBR;HUG;;;;;;
10;16;3;1:03.092;+0.477;+0.055;133.7;9;Envision Racing;;B;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;25;Paul;ARON;;EST;EST;ARO;;;;;;
11;17;9;1:03.159;+0.544;+0.067;133.5;9;Andretti Formula E;;B;;Porsche 99X Electric;HANKOOK;;;;;;;;;;13;Norman;NATO;;FRA;FRA;NAT;;;;;;
