NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;1;1:36.904;0;;48.817;0;28.528;0;19.559;0;87.0;1:36.904;10:21:36.904;0:48.817;0:28.528;0:19.559;;Jake DENNIS;0:00:23.975;;A;Andretti Formula E;Porsche;;false;
1;1;2;1:15.950;0;;21.407;0;28.647;0;25.896;0;111.1;2:52.854;10:22:52.854;0:21.407;0:28.647;0:25.896;;Jake DENNIS;;;A;Andretti Formula E;Porsche;;false;
1;1;3;1:03.239;0;;19.825;0;26.341;0;17.073;0;133.4;3:56.093;10:23:56.093;0:19.825;0:26.341;0:17.073;;Jake DENNIS;;;A;Andretti Formula E;Porsche;;false;
1;1;4;1:23.762;0;B;19.663;0;26.237;0;37.862;0;100.7;5:19.855;10:25:19.855;0:19.663;0:26.237;0:37.862;;Jake DENNIS;;;A;Andretti Formula E;Porsche;;false;
1;1;5;2:50.352;0;;2:03.004;0;28.459;0;18.889;0;49.5;8:10.207;10:28:10.207;2:03.004;0:28.459;0:18.889;;Jake DENNIS;0:02:00.239;;A;Andretti Formula E;Porsche;;false;
1;1;6;1:11.617;0;;20.997;0;28.626;0;21.994;0;117.8;9:21.824;10:29:21.824;0:20.997;0:28.626;0:21.994;;Jake DENNIS;;;A;Andretti Formula E;Porsche;;false;
1;1;7;1:03.224;0;;20.031;0;26.134;2;17.059;0;133.4;10:25.048;10:30:25.048;0:20.031;0:26.134;0:17.059;;Jake DENNIS;;;A;Andretti Formula E;Porsche;;false;
1;1;8;1:19.891;0;;23.143;0;36.906;0;19.842;0;105.6;11:44.939;10:31:44.939;0:23.143;0:36.906;0:19.842;;Jake DENNIS;;;A;Andretti Formula E;Porsche;;false;
1;1;9;1:03.110;2;;19.620;2;26.441;0;17.049;2;133.7;12:48.049;10:32:48.049;0:19.620;0:26.441;0:17.049;;Jake DENNIS;;;A;Andretti Formula E;Porsche;;false;
13;1;1;1:28.404;0;;38.510;0;30.071;0;19.823;0;95.4;1:28.404;10:21:28.404;0:38.510;0:30.071;0:19.823;;António Félix DA COSTA;0:00:13.303;;A;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;2;1:17.658;0;;21.446;0;29.869;0;26.343;0;108.6;2:46.062;10:22:46.062;0:21.446;0:29.869;0:26.343;;António Félix DA COSTA;;;A;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;3;1:03.092;0;;19.838;0;26.225;0;17.029;2;133.7;3:49.154;10:23:49.154;0:19.838;0:26.225;0:17.029;;António Félix DA COSTA;;;A;TAG Heuer Porsche Formula E Team;Porsche;;false;
