NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
11;1;1;1:43.979;0;;55.923;0;29.884;0;18.172;0;81.1;1:43.979;10:38:43.979;0:55.923;0:29.884;0:18.172;;Lucas DI GRASSI;0:00:25.312;;B;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;2;1:15.134;0;;21.032;0;27.475;0;26.627;0;112.3;2:59.113;10:39:59.113;0:21.032;0:27.475;0:26.627;;Lucas DI GRASSI;;;B;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;3;1:02.955;0;;19.692;0;26.176;0;17.087;0;134.0;4:02.068;10:41:02.068;0:19.692;0:26.176;0:17.087;;Lucas DI GRASSI;;;B;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;4;1:02.831;0;;19.708;0;26.133;0;16.990;0;134.2;5:04.899;10:42:04.899;0:19.708;0:26.133;0:16.990;;Lucas DI GRASSI;;;B;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;5;2:44.182;0;B;20.348;0;26.901;0;1:56.933;0;51.4;7:49.081;10:44:49.081;0:20.348;0:26.901;1:56.933;;Lucas DI GRASSI;;;B;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;6;1:20.893;0;;32.880;0;29.444;0;18.569;0;104.3;9:09.974;10:46:09.974;0:32.880;0:29.444;0:18.569;;Lucas DI GRASSI;0:01:47.190;;B;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;7;1:09.302;0;;21.072;0;28.234;0;19.996;0;121.7;10:19.276;10:47:19.276;0:21.072;0:28.234;0:19.996;;Lucas DI GRASSI;;;B;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;8;1:18.445;0;;19.808;0;28.438;0;30.199;0;107.5;11:37.721;10:48:37.721;0:19.808;0:28.438;0:30.199;;Lucas DI GRASSI;;;B;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;9;1:02.615;3;;19.613;2;26.076;2;16.926;3;134.7;12:40.336;10:49:40.336;0:19.613;0:26.076;0:16.926;;Lucas DI GRASSI;;;B;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
16;1;1;1:23.427;0;;35.007;0;29.662;0;18.758;0;101.1;1:23.427;10:38:23.427;0:35.007;0:29.662;0:18.758;;Paul ARON;0:00:07.822;;B;Envision Racing;Jaguar;;false;
16;1;2;1:08.986;0;;21.306;0;28.423;0;19.257;0;122.3;2:32.413;10:39:32.413;0:21.306;0:28.423;0:19.257;;Paul ARON;;;B;Envision Racing;Jaguar;;false;
16;1;3;1:03.092;2;;19.850;0;26.242;2;17.000;2;133.7;3:35.505;10:40:35.505;0:19.850;0:26.242;0:17.000;;Paul ARON;;;B;Envision Racing;Jaguar;;false;
16;1;4;1:22.032;0;;19.804;0;36.297;0;25.931;0;102.8;4:57.537;10:41:57.537;0:19.804;0:36.297;0:25.931;;Paul ARON;;;B;Envision Racing;Jaguar;;false;
16;1;5;1:03.218;0;;19.704;2;26.378;0;17.136;0;133.4;6:00.755;10:43:00.755;0:19.704;0:26.378;0:17.136;;Paul ARON;;;B;Envision Racing;Jaguar;;false;
16;1;6;1:18.597;0;B;19.805;0;26.531;0;32.261;0;107.3;7:19.352;10:44:19.352;0:19.805;0:26.531;0:32.261;;Paul ARON;;;B;Envision Racing;Jaguar;;false;
16;1;7;2:51.788;0;;2:02.457;0;28.081;0;21.250;0;49.1;10:11.140;10:47:11.140;2:02.457;0:28.081;0:21.250;;Paul ARON;0:01:48.674;;B;Envision Racing;Jaguar;;false;
16;1;8;1:13.299;0;;20.668;0;30.290;0;22.341;0;115.1;11:24.439;10:48:24.439;0:20.668;0:30.290;0:22.341;;Paul ARON;;;B;Envision Racing;Jaguar;;false;
16;1;9;1:03.652;0;;19.877;0;26.743;0;17.032;0;132.5;12:28.091;10:49:28.091;0:19.877;0:26.743;0:17.032;;Paul ARON;;;B;Envision Racing;Jaguar;;false;
17;1;1;1:26.246;0;;37.689;0;29.778;0;18.779;0;97.8;1:26.246;10:38:26.246;0:37.689;0:29.778;0:18.779;;Norman NATO;0:00:12.224;;B;Andretti Formula E;Porsche;;false;
17;1;2;1:16.188;0;;20.961;0;31.881;0;23.346;0;110.7;2:42.434;10:39:42.434;0:20.961;0:31.881;0:23.346;;Norman NATO;;;B;Andretti Formula E;Porsche;;false;
17;1;3;1:03.404;0;;19.819;0;26.273;0;17.312;0;133.0;3:45.838;10:40:45.838;0:19.819;0:26.273;0:17.312;;Norman NATO;;;B;Andretti Formula E;Porsche;;false;
17;1;4;1:21.745;0;B;19.865;0;26.320;0;35.560;0;103.2;5:07.583;10:42:07.583;0:19.865;0:26.320;0:35.560;;Norman NATO;;;B;Andretti Formula E;Porsche;;false;
17;1;5;2:42.722;0;;1:55.591;0;28.473;0;18.658;0;51.8;7:50.305;10:44:50.305;1:55.591;0:28.473;0:18.658;;Norman NATO;0:01:49.549;;B;Andretti Formula E;Porsche;;false;
17;1;6;1:09.520;0;;21.025;0;27.807;0;20.688;0;121.3;8:59.825;10:45:59.825;0:21.025;0:27.807;0:20.688;;Norman NATO;;;B;Andretti Formula E;Porsche;;false;
17;1;7;1:03.345;0;;20.149;0;26.152;2;17.044;2;133.2;10:03.170;10:47:03.170;0:20.149;0:26.152;0:17.044;;Norman NATO;;;B;Andretti Formula E;Porsche;;false;
17;1;8;1:24.771;0;;24.457;0;36.956;0;23.358;0;99.5;11:27.941;10:48:27.941;0:24.457;0:36.956;0:23.358;;Norman NATO;;;B;Andretti Formula E;Porsche;;false;
17;1;9;1:03.159;2;;19.679;2;26.363;0;17.117;0;133.5;12:31.100;10:49:31.100;0:19.679;0:26.363;0:17.117;;Norman NATO;;;B;Andretti Formula E;Porsche;;false;
2;1;1;1:28.662;0;;41.377;0;29.249;0;18.036;0;95.1;1:28.662;10:38:28.662;0:41.377;0:29.249;0:18.036;;Stoffel VANDOORNE;0:00:14.379;;B;DS PENSKE;STELLANTIS;;false;
2;1;2;1:10.742;0;;20.721;0;29.050;0;20.971;0;119.2;2:39.404;10:39:39.404;0:20.721;0:29.050;0:20.971;;Stoffel VANDOORNE;;;B;DS PENSKE;STELLANTIS;;false;
2;1;3;1:03.142;0;;19.813;0;26.225;0;17.104;0;133.6;3:42.546;10:40:42.546;0:19.813;0:26.225;0:17.104;;Stoffel VANDOORNE;;;B;DS PENSKE;STELLANTIS;;false;
2;1;4;2:45.785;0;B;19.605;2;26.142;0;2:00.038;0;50.9;6:28.331;10:43:28.331;0:19.605;0:26.142;2:00.038;;Stoffel VANDOORNE;;;B;DS PENSKE;STELLANTIS;;false;
2;1;5;1:17.029;0;;31.072;0;27.633;0;18.324;0;109.5;7:45.360;10:44:45.360;0:31.072;0:27.633;0:18.324;;Stoffel VANDOORNE;0:01:49.718;;B;DS PENSKE;STELLANTIS;;false;
2;1;6;1:11.110;0;;20.650;0;27.406;0;23.054;0;118.6;8:56.470;10:45:56.470;0:20.650;0:27.406;0:23.054;;Stoffel VANDOORNE;;;B;DS PENSKE;STELLANTIS;;false;
2;1;7;1:02.837;0;;19.774;0;26.087;2;16.976;0;134.2;9:59.307;10:46:59.307;0:19.774;0:26.087;0:16.976;;Stoffel VANDOORNE;;;B;DS PENSKE;STELLANTIS;;false;
2;1;8;1:15.960;0;;21.232;0;33.413;0;21.315;0;111.0;11:15.267;10:48:15.267;0:21.232;0:33.413;0:21.315;;Stoffel VANDOORNE;;;B;DS PENSKE;STELLANTIS;;false;
2;1;9;1:02.717;2;;19.666;0;26.090;0;16.961;2;134.5;12:17.984;10:49:17.984;0:19.666;0:26.090;0:16.961;;Stoffel VANDOORNE;;;B;DS PENSKE;STELLANTIS;;false;
22;1;1;1:34.211;0;;47.373;0;28.455;0;18.383;0;89.5;1:34.211;10:38:34.211;0:47.373;0:28.455;0:18.383;;Oliver ROWLAND;0:00:22.088;;B;Nissan Formula E Team;Nissan;;false;
22;1;2;1:17.277;0;;20.709;0;29.872;0;26.696;0;109.2;2:51.488;10:39:51.488;0:20.709;0:29.872;0:26.696;;Oliver ROWLAND;;;B;Nissan Formula E Team;Nissan;;false;
