NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;1;1:19.774;0;;32.224;0;29.402;0;18.148;0;105.7;1:19.774;15:05:27.489;0:32.224;0:29.402;0:18.148;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;2;1:07.591;0;;21.166;0;28.382;0;18.043;0;124.8;2:27.365;15:06:35.080;0:21.166;0:28.382;0:18.043;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;3;1:07.945;0;;22.644;0;27.455;0;17.846;0;124.1;3:35.310;15:07:43.025;0:22.644;0:27.455;0:17.846;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;4;1:06.090;0;;20.917;0;27.400;0;17.773;0;127.6;4:41.400;15:08:49.115;0:20.917;0:27.400;0:17.773;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;5;1:06.554;0;;20.935;0;27.869;0;17.750;0;126.7;5:47.954;15:09:55.669;0:20.935;0:27.869;0:17.750;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;6;1:06.102;0;;20.696;0;27.591;0;17.815;0;127.6;6:54.056;15:11:01.771;0:20.696;0:27.591;0:17.815;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;7;1:06.096;0;;20.659;0;27.677;0;17.760;0;127.6;8:00.152;15:12:07.867;0:20.659;0:27.677;0:17.760;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;8;1:07.253;0;;21.209;0;28.227;0;17.817;0;125.4;9:07.405;15:13:15.120;0:21.209;0:28.227;0:17.817;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;9;1:06.776;0;;20.875;0;28.039;0;17.862;0;126.3;10:14.181;15:14:21.896;0:20.875;0:28.039;0:17.862;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;10;1:07.253;0;;21.332;0;28.080;0;17.841;0;125.4;11:21.434;15:15:29.149;0:21.332;0:28.080;0:17.841;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;11;2:31.275;0;;34.679;0;1:04.120;0;52.476;0;55.8;13:52.709;15:18:00.424;0:34.679;1:04.120;0:52.476;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
