TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1715432668;11/05/2024 13:04:28;19,57;31,9;51,29;1017,5;0,9;25;-999;
1715432728;11/05/2024 13:05:28;19,42;31,6;50,64;1017,46;1,09;5;-999;
1715432788;11/05/2024 13:06:28;19,35;31,3;49,84;1017,49;1,92;302;-999;
1715432848;11/05/2024 13:07:28;19,28;31;50,3;1017,49;1,3;256;-999;
1715432908;11/05/2024 13:08:28;19,14;30,5;50,3;1017,45;0,18;238;-999;
1715432968;11/05/2024 13:09:28;19,09;30,3;50,47;1017,49;1,13;203;-999;
1715433028;11/05/2024 13:10:28;19,28;30,3;50,24;1017,42;1,22;179;-999;
1715433088;11/05/2024 13:11:28;19,22;30,3;49,94;1017,34;2,18;192;-999;
1715433148;11/05/2024 13:12:28;19,28;29,9;50,19;1017,45;0,59;275;-999;
1715433208;11/05/2024 13:13:28;19,39;29,8;50,03;1017,39;3,42;180;-999;
1715433268;11/05/2024 13:14:28;19,47;29,7;50,79;1017,41;1,93;198;-999;
1715433328;11/05/2024 13:15:28;19,52;29,6;50,52;1017,43;0,63;220;-999;
1715433388;11/05/2024 13:16:28;19,59;29,5;49,45;1017,43;0,69;308;-999;
1715433448;11/05/2024 13:17:28;19,57;29,3;49,31;1017,42;0,4;292;-999;
1715433508;11/05/2024 13:18:28;19,62;29,5;49,33;1017,41;0,74;7;-999;
1715433568;11/05/2024 13:19:28;19,65;29,9;48,74;1017,41;0,92;317;-999;
1715433628;11/05/2024 13:20:28;19,64;30,3;48,68;1017,39;0,89;265;-999;
1715433688;11/05/2024 13:21:28;19,68;31,1;48,6;1017,38;1,85;298;-999;
1715433748;11/05/2024 13:22:28;19,66;31,4;49,16;1017,41;0,82;357;-999;
1715433808;11/05/2024 13:23:28;19,82;31,4;49,64;1017,37;0,35;99;-999;
1715433868;11/05/2024 13:24:28;19,92;32;49,49;1017,37;1,6;31;-999;
1715433928;11/05/2024 13:25:28;19,92;32,3;49,38;1017,4;0,82;353;-999;
1715433988;11/05/2024 13:26:28;19,8;32,6;49,54;1017,39;0,79;348;-999;
