POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;13;Classified;41;47:55.043;-;-;39;1:04.045;131.7;TAG Heuer Porsche Formula E Team;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;10;António Félix;DA COSTA;;PRT;PRT;DAC;;;;;;
2;37;Classified;41;47:55.734;+0.691;+0.691;40;1:03.728;132.4;Jaguar TCS Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;1;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
3;22;Classified;41;47:57.863;+2.820;+2.129;24;1:04.165;131.5;Nissan Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;3;Oliver;ROWLAND;;GBR;GBR;ROW;;;;;;
4;94;Classified;41;47:59.190;+4.147;+1.327;39;1:04.193;131.4;TAG Heuer Porsche Formula E Team;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;2;Pascal;WEHRLEIN;;DEU;DEU;WEH;;;;;;
5;1;Classified;41;47:59.591;+4.548;+0.401;39;1:04.062;131.7;Andretti Formula E;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;4;Jake;DENNIS;;GBR;GBR;DEN;;;;;;
6;9;Classified;41;47:59.996;+4.953;+0.405;38;1:04.317;131.1;Jaguar TCS Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;5;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
7;18;Classified;41;48:01.075;+6.032;+1.079;38;1:04.374;131.0;Maserati MSG Racing;;;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;20;Jehan;DARUVALA;;IND;IND;DAR;;;;;;
8;8;Classified;41;48:01.741;+6.698;+0.666;15;1:04.204;131.4;NEOM McLaren Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;22;Taylor;BARNARD;;GBR;GBR;BAR;;;;;;
9;4;Classified;41;48:02.162;+7.119;+0.421;38;1:04.206;131.4;Envision Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;27;Joel;ERIKSSON;;SWE;SWE;ERI;;;;;;
10;25;Classified;41;48:02.400;+7.357;+0.238;38;1:04.217;131.3;DS PENSKE;;;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;6;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
11;11;Classified;41;48:03.247;+8.204;+0.847;40;1:04.387;131.0;ABT CUPRA FORMULA E TEAM;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;21;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
12;5;Classified;41;48:05.392;+10.349;+2.145;15;1:04.212;131.4;NEOM McLaren Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;12;Jake;HUGHES;;GBR;GBR;HUG;;;;;;
13;3;Classified;41;48:05.446;+10.403;+0.054;16;1:04.358;131.1;ERT Formula E Team;;;;ERT X24;HANKOOK;;;;;;;;;;18;Sérgio;SETTE CÂMARA;;BRA;BRA;SET;;;;;;
14;16;Classified;41;48:06.167;+11.124;+0.721;17;1:04.079;131.6;Envision Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;26;Paul;ARON;;EST;EST;ARO;;;;;;
15;51;Classified;41;48:06.823;+11.780;+0.656;17;1:04.040;131.7;ABT CUPRA FORMULA E TEAM;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;23;Kelvin;VAN DER LINDE;;ZAF;ZAF;VDL;;;;;;
