POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;2;3;1:14.242;-;-;147.9;7;DS PENSKE;;A;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;9;Stoffel;VANDOORNE;;BEL;BEL;VAN;;;;;;
2;22;7;1:14.252;+0.010;+0.010;147.9;7;Nissan Formula E Team;;A;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;3;Oliver;ROWLAND;;GBR;GBR;ROW;;;;;;
3;17;8;1:14.300;+0.058;+0.048;147.8;8;Andretti Formula E;;A;;Porsche 99X Electric;HANKOOK;;;;;;;;;;13;Norman;NATO;;FRA;FRA;NAT;;;;;;
4;9;4;1:14.307;+0.065;+0.007;147.8;8;Jaguar TCS Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;5;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
5;37;4;1:14.316;+0.074;+0.009;147.8;8;Jaguar TCS Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;1;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
6;16;6;1:14.367;+0.125;+0.051;147.7;8;Envision Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;15;Sébastien;BUEMI;;CHE;CHE;BUE;;;;;;
7;7;3;1:14.384;+0.142;+0.017;147.7;8;Maserati MSG Racing;;A;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;7;Maximilian;GÜNTHER;;DEU;DEU;GUE;;;;;;
8;11;8;1:14.384;+0.142;+0.000;147.7;8;ABT CUPRA FORMULA E TEAM;;A;;Mahindra M10Electro;HANKOOK;;;;;;;;;;23;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
9;33;5;1:14.481;+0.239;+0.097;147.5;7;ERT Formula E Team;;A;;ERT X24;HANKOOK;;;;;;;;;;17;Dan;TICKTUM;;GBR;GBR;TIC;;;;;;
10;18;8;1:14.494;+0.252;+0.013;147.4;8;Maserati MSG Racing;;A;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;19;Jehan;DARUVALA;;IND;IND;DAR;;;;;;
11;23;7;1:14.520;+0.278;+0.026;147.4;7;Nissan Formula E Team;;A;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;11;Sacha;FENESTRAZ;;FRA;FRA;FEN;;;;;;
