POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;9;Classified;29;38:03.434;-;-;23;1:16.088;144.4;Jaguar TCS Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;5;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
2;94;Classified;29;38:04.230;+0.796;+0.796;26;1:16.817;143.0;TAG Heuer Porsche Formula E Team;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;2;Pascal;WEHRLEIN;;DEU;DEU;WEH;;;;;;
3;37;Classified;29;38:04.932;+1.498;+0.702;23;1:16.590;143.4;Jaguar TCS Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;1;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
4;22;Classified;29;38:05.177;+1.743;+0.245;25;1:16.472;143.6;Nissan Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;3;Oliver;ROWLAND;;GBR;GBR;ROW;;;;;;
5;1;Classified;29;38:05.795;+2.361;+0.618;23;1:15.965;144.6;Andretti Formula E;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;4;Jake;DENNIS;;GBR;GBR;DEN;;;;;;
6;25;Classified;29;38:06.033;+2.599;+0.238;23;1:16.811;143.0;DS PENSKE;;;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;6;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
7;21;Classified;29;38:06.252;+2.818;+0.219;23;1:16.698;143.2;MAHINDRA RACING;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;25;Nyck;DE VRIES;;NLD;NLD;DEV;;;;;;
8;16;Classified;29;38:07.044;+3.610;+0.792;24;1:16.409;143.7;Envision Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;15;Sébastien;BUEMI;;CHE;CHE;BUE;;;;;;
9;2;Classified;29;38:07.529;+4.095;+0.485;23;1:16.597;143.4;DS PENSKE;;;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;9;Stoffel;VANDOORNE;;BEL;BEL;VAN;;;;;;
10;11;Classified;29;38:07.831;+4.397;+0.302;21;1:16.457;143.7;ABT CUPRA FORMULA E TEAM;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;23;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
