NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;1;1:27.170;0;;34.167;0;25.856;0;27.147;0;118.2;1:27.170;10:38:27.170;0:34.167;0:25.856;0:27.147;;Jake DENNIS;0:00:09.866;;B;Andretti Formula E;Porsche;;false;
1;1;2;1:14.910;0;;25.413;0;23.982;0;25.515;0;146.6;2:42.080;10:39:42.080;0:25.413;0:23.982;0:25.515;;Jake DENNIS;;;B;Andretti Formula E;Porsche;;false;
1;1;3;1:34.238;0;;32.025;0;30.268;0;31.945;0;116.6;4:16.318;10:41:16.318;0:32.025;0:30.268;0:31.945;;Jake DENNIS;;;B;Andretti Formula E;Porsche;;false;
1;1;4;1:14.670;0;;25.284;0;23.911;2;25.475;0;147.1;5:30.988;10:42:30.988;0:25.284;0:23.911;0:25.475;;Jake DENNIS;;;B;Andretti Formula E;Porsche;;false;
1;1;5;1:17.510;0;B;25.910;0;24.017;0;27.583;0;141.7;6:48.498;10:43:48.498;0:25.910;0:24.017;0:27.583;;Jake DENNIS;;;B;Andretti Formula E;Porsche;;false;
1;1;6;3:12.421;0;;2:16.224;0;28.617;0;27.580;0;57.1;10:00.919;10:47:00.919;2:16.224;0:28.617;0:27.580;;Jake DENNIS;0:01:53.622;;B;Andretti Formula E;Porsche;;false;
1;1;7;1:29.531;0;;27.177;0;28.059;0;34.295;0;122.7;11:30.450;10:48:30.450;0:27.177;0:28.059;0:34.295;;Jake DENNIS;;;B;Andretti Formula E;Porsche;;false;
1;1;8;1:14.459;2;;25.266;2;23.966;0;25.227;2;147.5;12:44.909;10:49:44.909;0:25.266;0:23.966;0:25.227;;Jake DENNIS;;;B;Andretti Formula E;Porsche;;false;
13;1;1;1:31.169;0;;36.544;0;26.809;0;27.816;0;113.0;1:31.169;10:38:31.169;0:36.544;0:26.809;0:27.816;;António Félix DA COSTA;0:00:11.535;;B;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;2;1:21.091;0;;26.717;0;25.978;0;28.396;0;135.4;2:52.260;10:39:52.260;0:26.717;0:25.978;0:28.396;;António Félix DA COSTA;;;B;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;3;1:14.486;0;;25.269;2;23.924;0;25.293;0;147.5;4:06.746;10:41:06.746;0:25.269;0:23.924;0:25.293;;António Félix DA COSTA;;;B;TAG Heuer Porsche Formula E Team;Porsche;;false;
