NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;1;1:25.819;0;;30.602;0;26.250;0;28.967;0;120.0;1:25.819;15:05:40.397;0:30.602;0:26.250;0:28.967;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;2;1:21.363;0;;26.773;0;25.794;0;28.796;0;135.0;2:47.182;15:07:01.760;0:26.773;0:25.794;0:28.796;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;3;1:20.321;0;;26.565;0;25.350;0;28.406;0;136.7;4:07.503;15:08:22.081;0:26.565;0:25.350;0:28.406;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;4;1:19.794;0;;26.289;0;25.647;0;27.858;0;137.6;5:27.297;15:09:41.875;0:26.289;0:25.647;0:27.858;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;5;1:18.924;0;;26.041;0;25.237;0;27.646;0;139.2;6:46.221;15:11:00.799;0:26.041;0:25.237;0:27.646;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;6;1:18.660;0;;26.128;0;25.093;0;27.439;0;139.6;8:04.881;15:12:19.459;0:26.128;0:25.093;0:27.439;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;7;1:18.937;0;;25.791;0;25.261;0;27.885;0;139.1;9:23.818;15:13:38.396;0:25.791;0:25.261;0:27.885;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;8;1:19.681;0;;26.773;0;24.971;0;27.937;0;137.8;10:43.499;15:14:58.077;0:26.773;0:24.971;0:27.937;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;9;1:19.659;0;;26.406;0;25.198;0;28.055;0;137.9;12:03.158;15:16:17.736;0:26.406;0:25.198;0:28.055;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;10;1:20.897;0;;26.840;0;25.381;0;28.676;0;135.8;13:24.055;15:17:38.633;0:26.840;0:25.381;0:28.676;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
