NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;1;2:02.541;0;;1:05.600;0;27.387;0;29.554;0;84.1;2:02.541;10:22:02.541;1:05.600;0:27.387;0:29.554;;Jake DENNIS;0:00:39.676;;A;Andretti Formula E;Porsche;;false;
1;1;2;1:15.250;0;;25.510;0;24.150;0;25.590;0;146.0;3:17.791;10:23:17.791;0:25.510;0:24.150;0:25.590;;Jake DENNIS;;;A;Andretti Formula E;Porsche;;false;
1;1;3;1:30.171;0;;30.924;0;29.199;0;30.048;0;121.8;4:47.962;10:24:47.962;0:30.924;0:29.199;0:30.048;;Jake DENNIS;;;A;Andretti Formula E;Porsche;;false;
1;1;4;1:14.771;2;;25.348;2;23.946;0;25.477;2;146.9;6:02.733;10:26:02.733;0:25.348;0:23.946;0:25.477;;Jake DENNIS;;;A;Andretti Formula E;Porsche;;false;
1;1;5;1:16.864;0;B;25.550;0;23.920;2;27.394;0;142.9;7:19.597;10:27:19.597;0:25.550;0:23.920;0:27.394;;Jake DENNIS;;;A;Andretti Formula E;Porsche;;false;
1;1;6;3:02.654;0;;2:07.021;0;27.012;0;28.621;0;60.1;10:22.251;10:30:22.251;2:07.021;0:27.012;0:28.621;;Jake DENNIS;0:01:45.015;;A;Andretti Formula E;Porsche;;false;
1;1;7;1:27.598;0;;27.270;0;27.688;0;32.640;0;125.4;11:49.849;10:31:49.849;0:27.270;0:27.688;0:32.640;;Jake DENNIS;;;A;Andretti Formula E;Porsche;;false;
1;1;8;1:14.818;0;;25.366;0;23.954;0;25.498;0;146.8;13:04.667;10:33:04.667;0:25.366;0:23.954;0:25.498;;Jake DENNIS;;;A;Andretti Formula E;Porsche;;false;
16;1;1;1:30.280;0;;33.621;0;28.193;0;28.466;0;114.1;1:30.280;10:21:30.280;0:33.621;0:28.193;0:28.466;;Sébastien BUEMI;0:00:06.498;;A;Envision Racing;Jaguar;;false;
16;1;2;1:22.670;0;;27.100;0;26.117;0;29.453;0;132.9;2:52.950;10:22:52.950;0:27.100;0:26.117;0:29.453;;Sébastien BUEMI;;;A;Envision Racing;Jaguar;;false;
16;1;3;1:15.088;0;;25.341;0;24.123;0;25.624;2;146.3;4:08.038;10:24:08.038;0:25.341;0:24.123;0:25.624;;Sébastien BUEMI;;;A;Envision Racing;Jaguar;;false;
16;1;4;1:17.566;0;;25.290;2;23.939;2;28.337;0;141.6;5:25.604;10:25:25.604;0:25.290;0:23.939;0:28.337;;Sébastien BUEMI;;;A;Envision Racing;Jaguar;;false;
