TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1716707063;26/05/2024 7:04:23;34,8;32;50,49;1002,13;0,37;57;-999;
1716707123;26/05/2024 7:05:23;34,81;32;50,12;1002,11;1,67;218;-999;
1716707183;26/05/2024 7:06:23;34,8;31,9;50,19;1002,08;0,84;246;-999;
1716707243;26/05/2024 7:07:23;34,81;32;50,55;1002,08;0,29;97;-999;
1716707303;26/05/2024 7:08:23;34,88;32,1;50,12;1002,04;1,32;83;-999;
1716707363;26/05/2024 7:09:23;34,92;32,3;50,14;1002,06;0,31;135;-999;
1716707424;26/05/2024 7:10:24;35,04;32,3;50,09;1002,05;0,57;233;-999;
1716707484;26/05/2024 7:11:24;35,13;32,6;49,76;1002,07;0,3;58;-999;
1716707544;26/05/2024 7:12:24;35,32;32,7;49,66;1002,04;0,7;354;-999;
1716707604;26/05/2024 7:13:24;35,46;32,7;49,17;1002,03;0,63;283;-999;
1716707664;26/05/2024 7:14:24;35,52;32,8;48,85;1002,02;0,77;273;-999;
1716707724;26/05/2024 7:15:24;35,67;32,9;48,85;1002,01;0,55;298;-999;
1716707784;26/05/2024 7:16:24;35,75;32,9;48,53;1002,04;0,25;309;-999;
1716707844;26/05/2024 7:17:24;35,93;33;48,54;1002,09;0,63;111;-999;
1716707904;26/05/2024 7:18:24;35,93;33;48,18;1002,09;1,1;260;-999;
1716707965;26/05/2024 7:19:25;35,97;33;48,13;1002,08;0,38;245;-999;
1716708025;26/05/2024 7:20:25;36,04;33;47,8;1002,1;0,43;193;-999;
1716708085;26/05/2024 7:21:25;36,03;33,1;47,99;1002,09;0,99;146;-999;
1716708146;26/05/2024 7:22:26;35,95;33,2;48,42;1002,14;0,65;190;-999;
1716708206;26/05/2024 7:23:26;35,94;33,2;48,49;1002,11;0,38;202;-999;
1716708266;26/05/2024 7:24:26;35,9;33,1;48,39;1002,11;0,16;178;-999;
1716708326;26/05/2024 7:25:26;35,86;33;48,22;1002,09;0,42;160;-999;
1716708386;26/05/2024 7:26:26;35,81;33;48,35;1002,12;1,49;134;-999;
1716708446;26/05/2024 7:27:26;35,69;33;48,8;1002,1;1,63;266;-999;
1716708506;26/05/2024 7:28:26;35,57;33;48,76;1002,09;1,09;270;-999;
1716708566;26/05/2024 7:29:26;35,48;32,9;48,27;1002,03;2,34;281;-999;
1716708626;26/05/2024 7:30:26;35,29;32,8;48,74;1002,05;1,08;206;-999;
1716708686;26/05/2024 7:31:26;35,13;32,8;49,37;1002,05;1,49;270;-999;
1716708746;26/05/2024 7:32:26;35,16;32,8;49,71;1002,02;0,78;266;-999;
1716708806;26/05/2024 7:33:26;35,15;32,9;49,74;1002,02;0,71;295;-999;
1716708866;26/05/2024 7:34:26;35,3;33;49,66;1002,01;0,32;96;-999;
1716708926;26/05/2024 7:35:26;35,4;33;49,17;1002,01;1,19;289;-999;
1716708986;26/05/2024 7:36:26;35,52;33;49,44;1002,04;0;0;-999;
1716709046;26/05/2024 7:37:26;35,63;33;48,83;1002,04;0,88;267;-999;
1716709107;26/05/2024 7:38:27;35,64;33;48,29;1002,04;0,96;202;-999;
1716709167;26/05/2024 7:39:27;35,61;33;47,44;1002,01;0,95;192;-999;
