POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;13;Classified;27;34:00.097;-;-;27;1:11.806;159.9;TAG Heuer Porsche Formula E Team;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;7;António Félix;DA COSTA;;PRT;PRT;DAC;;;;;;
2;4;Classified;27;34:00.512;+0.415;+0.415;27;1:11.835;159.9;Envision Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;15;Robin;FRIJNS;;NLD;NLD;FRI;;;;;;
3;25;Classified;27;34:01.537;+1.440;+1.025;27;1:12.251;158.9;DS PENSKE;;;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;6;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
4;48;Classified;27;34:01.798;+1.701;+0.261;27;1:12.242;159.0;MAHINDRA RACING;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;20;Edoardo;MORTARA;;CHE;CHE;MOR;;;;;;
5;51;Classified;27;34:02.183;+2.086;+0.385;27;1:12.270;158.9;ABT CUPRA FORMULA E TEAM;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;16;Nico;MÜLLER;;CHE;CHE;MUE;;;;;;
6;1;Classified;27;34:02.731;+2.634;+0.548;27;1:12.061;159.4;Andretti Formula E;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;5;Jake;DENNIS;;GBR;GBR;DEN;;;;;;
7;8;Classified;27;34:02.955;+2.858;+0.224;27;1:12.598;158.2;NEOM McLaren Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;12;Sam;BIRD;;GBR;GBR;BIR;;;;;;
8;9;Classified;27;34:04.604;+4.507;+1.649;27;1:11.588;160.4;Jaguar TCS Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;3;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
9;2;Classified;27;34:05.280;+5.183;+0.676;25;1:12.655;158.1;DS PENSKE;;;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;9;Stoffel;VANDOORNE;;BEL;BEL;VAN;;;;;;
10;94;Classified;27;34:05.750;+5.653;+0.470;25;1:12.812;157.7;TAG Heuer Porsche Formula E Team;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;2;Pascal;WEHRLEIN;;DEU;DEU;WEH;;;;;;
11;11;Classified;27;34:06.422;+6.325;+0.672;25;1:12.729;157.9;ABT CUPRA FORMULA E TEAM;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;24;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
12;21;Classified;27;34:06.574;+6.477;+0.152;25;1:12.735;157.9;MAHINDRA RACING;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;21;Nyck;DE VRIES;;NLD;NLD;DEV;;;;;;
13;17;Classified;27;34:06.584;+6.487;+0.010;24;1:12.420;158.6;Andretti Formula E;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;11;Norman;NATO;;FRA;FRA;NAT;;;;;;
14;3;Classified;27;34:06.954;+6.857;+0.370;25;1:12.615;158.1;ERT Formula E Team;;;;ERT X24;HANKOOK;;;;;;;;;;18;Sérgio;SETTE CÂMARA;;BRA;BRA;SET;;;;;;
15;23;Classified;27;34:08.783;+8.686;+1.829;18;1:12.364;158.7;Nissan Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;13;Sacha;FENESTRAZ;;FRA;FRA;FEN;;;;;;
16;18;Classified;27;34:14.128;+14.031;+5.345;24;1:12.169;159.1;Maserati MSG Racing;;;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;19;Jehan;DARUVALA;;IND;IND;DAR;;;;;;
17;33;Classified;27;34:14.283;+14.186;+0.155;24;1:12.628;158.1;ERT Formula E Team;;;;ERT X24;HANKOOK;;;;;;;;;;17;Dan;TICKTUM;;GBR;GBR;TIC;;;;;;
18;22;Classified;27;34:15.102;+15.005;+0.819;26;1:12.047;159.4;Nissan Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;28;Caio;COLLET;;BRA;BRA;COL;;;;;;
19;37;Classified;27;34:15.542;+15.445;+0.440;24;1:12.566;158.3;Jaguar TCS Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;1;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
