NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;1;1:26.357;0;;37.840;0;18.762;0;29.755;0;134.3;1:26.357;14:05:23.602;0:37.840;0:18.762;0:29.755;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;2;1:17.915;0;;31.068;0;18.498;0;28.349;0;147.4;2:44.272;14:06:41.517;0:31.068;0:18.498;0:28.349;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;3;1:15.980;0;;29.170;0;18.924;0;27.886;0;151.1;4:00.252;14:07:57.497;0:29.170;0:18.924;0:27.886;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;4;1:15.649;0;;29.950;0;18.175;0;27.524;0;151.8;5:15.901;14:09:13.146;0:29.950;0:18.175;0:27.524;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;5;1:15.255;0;;29.253;0;18.522;0;27.480;0;152.6;6:31.156;14:10:28.401;0:29.253;0:18.522;0:27.480;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;6;1:15.891;0;;29.708;0;18.212;0;27.971;0;151.3;7:47.047;14:11:44.292;0:29.708;0:18.212;0:27.971;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;7;1:16.055;0;;29.887;0;18.227;0;27.941;0;151.0;9:03.102;14:13:00.347;0:29.887;0:18.227;0:27.941;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;8;1:16.349;0;;29.233;0;19.307;0;27.809;0;150.4;10:19.451;14:14:16.696;0:29.233;0:19.307;0:27.809;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;9;1:17.007;0;;31.247;0;17.976;0;27.784;0;149.1;11:36.458;14:15:33.703;0:31.247;0:17.976;0:27.784;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;10;1:17.259;0;;30.680;0;18.146;0;28.433;0;148.6;12:53.717;14:16:50.962;0:30.680;0:18.146;0:28.433;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
