TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1719695088;29/06/2024 21:04:48;27,33;41,9;44,67;1014,89;1,91;264;-999;
1719695148;29/06/2024 21:05:48;27,48;41,9;42,81;1014,91;0,25;344;-999;
1719695208;29/06/2024 21:06:48;27,6;41,8;43,85;1014,89;2,01;274;-999;
1719695268;29/06/2024 21:07:48;27,79;41,7;42,78;1014,89;2,54;261;-999;
1719695328;29/06/2024 21:08:48;27,85;41,5;42,61;1014,88;3,19;249;-999;
1719695388;29/06/2024 21:09:48;27,77;41,3;42,43;1014,89;2,36;274;-999;
1719695448;29/06/2024 21:10:48;27,73;41,4;43,15;1014,8;1,2;207;-999;
1719695509;29/06/2024 21:11:49;27,91;41,5;44;1014,87;2,16;259;-999;
1719695569;29/06/2024 21:12:49;28,07;41,5;43,14;1014,86;2,99;240;-999;
1719695629;29/06/2024 21:13:49;28,07;41,5;42,95;1014,88;2,59;248;-999;
1719695689;29/06/2024 21:14:49;28,03;41,2;42,88;1014,87;1,77;277;-999;
1719695749;29/06/2024 21:15:49;27,88;41;42,83;1014,88;0,82;52;-999;
1719695809;29/06/2024 21:16:49;27,69;40,9;43,66;1014,89;1,53;264;-999;
1719695869;29/06/2024 21:17:49;27,64;40,9;42,63;1014,89;2,09;271;-999;
1719695929;29/06/2024 21:18:49;27,61;40,6;43,49;1014,89;1,85;289;-999;
1719695989;29/06/2024 21:19:49;27,5;40,4;42,99;1014,89;1,92;352;-999;
1719696049;29/06/2024 21:20:49;27,37;40,3;43,71;1014,9;1,09;322;-999;
1719696109;29/06/2024 21:21:49;27,33;40,2;43,84;1014,89;1,87;306;-999;
1719696169;29/06/2024 21:22:49;27,36;40,1;44,79;1014,92;3,02;277;-999;
1719696229;29/06/2024 21:23:49;27,34;40;43,71;1014,9;0,9;317;-999;
1719696289;29/06/2024 21:24:49;27,26;39,9;43,85;1014,89;1,04;290;-999;
1719696349;29/06/2024 21:25:49;27,34;39,9;44,43;1014,84;1,06;304;-999;
1719696409;29/06/2024 21:26:49;27,4;39,9;44,91;1014,89;2,04;268;-999;
1719696469;29/06/2024 21:27:49;27,51;39,9;44,38;1014,9;0,5;270;-999;
1719696529;29/06/2024 21:28:49;27,57;40;43,69;1014,88;2,02;286;-999;
1719696589;29/06/2024 21:29:49;27,62;40;42,97;1014,91;2,39;298;-999;
1719696649;29/06/2024 21:30:49;27,45;40;43,25;1014,94;1,9;285;-999;
1719696709;29/06/2024 21:31:49;27,45;40,1;43,17;1014,86;1,71;277;-999;
1719696769;29/06/2024 21:32:49;27,48;40,1;42,76;1014,86;0,43;204;-999;
1719696829;29/06/2024 21:33:49;27,44;40,1;43,73;1014,89;1,44;309;-999;
1719696889;29/06/2024 21:34:49;27,45;40,1;43,73;1014,84;3,17;310;-999;
1719696949;29/06/2024 21:35:49;27,41;40,3;44,03;1014,84;3;44;-999;
1719697009;29/06/2024 21:36:49;27,51;40,6;44,52;1014,84;2,09;280;-999;
1719697069;29/06/2024 21:37:49;27,68;41,1;44,56;1014,87;2,76;270;-999;
