POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;4;3;1:09.665;-;-;164.8;8;Envision Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;12;Robin;FRIJNS;;NLD;NLD;FRI;;;;;;
2;25;8;1:09.677;+0.012;+0.012;164.8;8;DS PENSKE;;A;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;6;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
3;37;8;1:09.737;+0.072;+0.060;164.7;8;Jaguar TCS Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;1;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
4;5;8;1:09.755;+0.090;+0.018;164.6;8;NEOM McLaren Formula E Team;;A;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;10;Jake;HUGHES;;GBR;GBR;HUG;;;;;;
5;18;8;1:09.758;+0.093;+0.003;164.6;8;Maserati MSG Racing;;A;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;20;Jehan;DARUVALA;;IND;IND;DAR;;;;;;
6;9;8;1:09.821;+0.156;+0.063;164.5;8;Jaguar TCS Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;3;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
7;51;8;1:09.836;+0.171;+0.015;164.4;8;ABT CUPRA FORMULA E TEAM;;A;;Mahindra M10Electro;HANKOOK;;;;;;;;;;14;Nico;MÜLLER;;CHE;CHE;MUE;;;;;;
8;33;8;1:09.869;+0.204;+0.033;164.4;8;ERT Formula E Team;;A;;ERT X24;HANKOOK;;;;;;;;;;18;Dan;TICKTUM;;GBR;GBR;TIC;;;;;;
9;16;4;1:09.913;+0.248;+0.044;164.3;8;Envision Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;16;Sébastien;BUEMI;;CHE;CHE;BUE;;;;;;
10;11;6;1:09.998;+0.333;+0.085;164.1;8;ABT CUPRA FORMULA E TEAM;;A;;Mahindra M10Electro;HANKOOK;;;;;;;;;;24;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
11;7;7;1:10.005;+0.340;+0.007;164.0;8;Maserati MSG Racing;;A;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;8;Maximilian;GÜNTHER;;DEU;DEU;GUE;;;;;;
