NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
11;1;1;1:51.380;0;;1:07.301;0;17.765;0;26.314;0;104.1;1:51.380;09:41:51.380;1:07.301;0:17.765;0:26.314;;Lucas DI GRASSI;0:00:36.046;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;2;1:10.280;0;;27.272;0;17.456;0;25.552;0;163.4;3:01.660;09:43:01.660;0:27.272;0:17.456;0:25.552;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;3;1:10.026;0;;27.155;2;17.374;0;25.497;0;164.0;4:11.686;09:44:11.686;0:27.155;0:17.374;0:25.497;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;4;3:33.079;0;B;29.194;0;17.424;0;2:46.461;0;53.9;7:44.765;09:47:44.765;0:29.194;0:17.424;2:46.461;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;5;1:17.605;0;;33.960;0;17.494;0;26.151;0;148.0;9:02.370;09:49:02.370;0:33.960;0:17.494;0:26.151;;Lucas DI GRASSI;0:02:27.657;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;6;1:09.998;2;;27.198;0;17.329;2;25.471;2;164.1;10:12.368;09:50:12.368;0:27.198;0:17.329;0:25.471;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;7;1:16.595;0;;28.566;0;20.065;0;27.964;0;149.9;11:28.963;09:51:28.963;0:28.566;0:20.065;0:27.964;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;8;1:10.275;0;;27.194;0;17.349;0;25.732;0;163.4;12:39.238;09:52:39.238;0:27.194;0:17.349;0:25.732;;Lucas DI GRASSI;;;A;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
16;1;1;1:34.934;0;;47.011;0;19.337;0;28.586;0;122.1;1:34.934;09:41:34.934;0:47.011;0:19.337;0:28.586;;Sébastien BUEMI;0:00:11.758;;A;Envision Racing;Jaguar;;false;
16;1;2;1:10.529;0;;27.455;0;17.407;0;25.667;0;162.8;2:45.463;09:42:45.463;0:27.455;0:17.407;0:25.667;;Sébastien BUEMI;;;A;Envision Racing;Jaguar;;false;
16;1;3;1:10.005;0;;27.189;0;17.239;0;25.577;0;164.0;3:55.468;09:43:55.468;0:27.189;0:17.239;0:25.577;;Sébastien BUEMI;;;A;Envision Racing;Jaguar;;false;
16;1;4;1:09.913;0;;27.134;0;17.199;3;25.580;0;164.3;5:05.381;09:45:05.381;0:27.134;0:17.199;0:25.580;;Sébastien BUEMI;;;A;Envision Racing;Jaguar;;false;
16;1;5;2:48.098;0;B;28.738;0;17.795;0;2:01.565;0;68.3;7:53.479;09:47:53.479;0:28.738;0:17.795;2:01.565;;Sébastien BUEMI;;;A;Envision Racing;Jaguar;;false;
16;1;6;1:21.277;0;;36.625;0;17.841;0;26.811;0;141.3;9:14.756;09:49:14.756;0:36.625;0:17.841;0:26.811;;Sébastien BUEMI;0:01:41.934;;A;Envision Racing;Jaguar;;false;
16;1;7;1:09.889;0;;27.172;0;17.324;0;25.393;2;164.3;10:24.645;09:50:24.645;0:27.172;0:17.324;0:25.393;;Sébastien BUEMI;;;A;Envision Racing;Jaguar;;false;
16;1;8;1:09.860;2;;27.053;2;17.275;0;25.532;0;164.4;11:34.505;09:51:34.505;0:27.053;0:17.275;0:25.532;;Sébastien BUEMI;;;A;Envision Racing;Jaguar;;false;
18;1;1;1:41.694;0;;54.526;0;19.127;0;28.041;0;114.0;1:41.694;09:41:41.694;0:54.526;0:19.127;0:28.041;;Jehan DARUVALA;0:00:22.174;;A;Maserati MSG Racing;STELLANTIS;;false;
18;1;2;1:10.168;0;;27.337;0;17.405;0;25.426;2;163.7;2:51.862;09:42:51.862;0:27.337;0:17.405;0:25.426;;Jehan DARUVALA;;;A;Maserati MSG Racing;STELLANTIS;;false;
18;1;3;1:10.023;0;;27.242;0;17.355;0;25.426;0;164.0;4:01.885;09:44:01.885;0:27.242;0:17.355;0:25.426;;Jehan DARUVALA;;;A;Maserati MSG Racing;STELLANTIS;;false;
18;1;4;3:28.528;0;B;27.363;0;17.334;0;2:43.831;0;55.1;7:30.413;09:47:30.413;0:27.363;0:17.334;2:43.831;;Jehan DARUVALA;;;A;Maserati MSG Racing;STELLANTIS;;false;
18;1;5;1:19.065;0;;35.280;0;17.876;0;25.909;0;145.2;8:49.478;09:48:49.478;0:35.280;0:17.876;0:25.909;;Jehan DARUVALA;0:02:24.150;;A;Maserati MSG Racing;STELLANTIS;;false;
18;1;6;1:10.034;0;;27.208;0;17.345;0;25.481;0;164.0;9:59.512;09:49:59.512;0:27.208;0:17.345;0:25.481;;Jehan DARUVALA;;;A;Maserati MSG Racing;STELLANTIS;;false;
18;1;7;1:09.813;0;;26.978;2;17.353;0;25.482;0;164.5;11:09.325;09:51:09.325;0:26.978;0:17.353;0:25.482;;Jehan DARUVALA;;;A;Maserati MSG Racing;STELLANTIS;;false;
18;1;8;1:09.758;2;;27.011;0;17.308;2;25.439;0;164.6;12:19.083;09:52:19.083;0:27.011;0:17.308;0:25.439;;Jehan DARUVALA;;;A;Maserati MSG Racing;STELLANTIS;;false;
25;1;1;1:42.369;0;;52.271;0;18.803;0;31.295;0;113.3;1:42.369;09:41:42.369;0:52.271;0:18.803;0:31.295;;Jean-Éric VERGNE;0:00:19.625;;A;DS PENSKE;STELLANTIS;;false;
25;1;2;1:15.287;0;;29.835;0;17.938;0;27.514;0;152.5;2:57.656;09:42:57.656;0:29.835;0:17.938;0:27.514;;Jean-Éric VERGNE;;;A;DS PENSKE;STELLANTIS;;false;
25;1;3;1:09.887;0;;27.134;0;17.303;0;25.450;0;164.3;4:07.543;09:44:07.543;0:27.134;0:17.303;0:25.450;;Jean-Éric VERGNE;;;A;DS PENSKE;STELLANTIS;;false;
25;1;4;1:09.862;0;;27.088;0;17.289;2;25.485;0;164.4;5:17.405;09:45:17.405;0:27.088;0:17.289;0:25.485;;Jean-Éric VERGNE;;;A;DS PENSKE;STELLANTIS;;false;
25;1;5;3:16.263;0;B;26.994;2;17.346;0;2:31.923;0;58.5;8:33.668;09:48:33.668;0:26.994;0:17.346;2:31.923;;Jean-Éric VERGNE;;;A;DS PENSKE;STELLANTIS;;false;
25;1;6;1:21.872;0;;35.069;0;18.355;0;28.448;0;140.3;9:55.540;09:49:55.540;0:35.069;0:18.355;0:28.448;;Jean-Éric VERGNE;0:02:13.181;;A;DS PENSKE;STELLANTIS;;false;
25;1;7;1:10.003;0;;27.078;0;17.406;0;25.519;0;164.1;11:05.543;09:51:05.543;0:27.078;0:17.406;0:25.519;;Jean-Éric VERGNE;;;A;DS PENSKE;STELLANTIS;;false;
25;1;8;1:09.677;2;;27.016;0;17.331;0;25.330;3;164.8;12:15.220;09:52:15.220;0:27.016;0:17.331;0:25.330;;Jean-Éric VERGNE;;;A;DS PENSKE;STELLANTIS;;false;
33;1;1;1:46.732;0;;58.888;0;18.775;0;29.069;0;108.6;1:46.732;09:41:46.732;0:58.888;0:18.775;0:29.069;;Dan TICKTUM;0:00:25.863;;A;ERT Formula E Team;Electric Racing Technologies;;false;
33;1;2;1:18.980;0;;28.980;0;18.237;0;31.763;0;145.4;3:05.712;09:43:05.712;0:28.980;0:18.237;0:31.763;;Dan TICKTUM;;;A;ERT Formula E Team;Electric Racing Technologies;;false;
33;1;3;1:10.174;0;;27.101;0;17.426;0;25.647;0;163.7;4:15.886;09:44:15.886;0:27.101;0:17.426;0:25.647;;Dan TICKTUM;;;A;ERT Formula E Team;Electric Racing Technologies;;false;
33;1;4;1:09.963;0;;27.103;0;17.316;2;25.544;0;164.1;5:25.849;09:45:25.849;0:27.103;0:17.316;0:25.544;;Dan TICKTUM;;;A;ERT Formula E Team;Electric Racing Technologies;;false;
33;1;5;3:20.043;0;B;27.791;0;17.495;0;2:34.757;0;57.4;8:45.892;09:48:45.892;0:27.791;0:17.495;2:34.757;;Dan TICKTUM;;;A;ERT Formula E Team;Electric Racing Technologies;;false;
33;1;6;1:24.290;0;;39.073;0;17.893;0;27.324;0;136.2;10:10.182;09:50:10.182;0:39.073;0:17.893;0:27.324;;Dan TICKTUM;0:02:16.071;;A;ERT Formula E Team;Electric Racing Technologies;;false;
33;1;7;1:21.119;0;;28.702;0;22.286;0;30.131;0;141.6;11:31.301;09:51:31.301;0:28.702;0:22.286;0:30.131;;Dan TICKTUM;;;A;ERT Formula E Team;Electric Racing Technologies;;false;
33;1;8;1:09.869;2;;27.085;2;17.375;0;25.409;2;164.4;12:41.170;09:52:41.170;0:27.085;0:17.375;0:25.409;;Dan TICKTUM;;;A;ERT Formula E Team;Electric Racing Technologies;;false;
37;1;1;3:30.064;0;;2:38.264;0;19.682;0;32.118;0;55.2;3:30.064;09:43:30.064;2:38.264;0:19.682;0:32.118;;Nick CASSIDY;0:02:05.043;;A;Jaguar TCS Racing;Jaguar;;false;
37;1;2;1:15.103;0;;29.058;0;19.027;0;27.018;0;152.9;4:45.167;09:44:45.167;0:29.058;0:19.027;0:27.018;;Nick CASSIDY;;;A;Jaguar TCS Racing;Jaguar;;false;
37;1;3;1:09.918;0;;27.063;0;17.312;0;25.543;0;164.2;5:55.085;09:45:55.085;0:27.063;0:17.312;0:25.543;;Nick CASSIDY;;;A;Jaguar TCS Racing;Jaguar;;false;
37;1;4;1:10.563;0;;27.518;0;17.504;0;25.541;0;162.7;7:05.648;09:47:05.648;0:27.518;0:17.504;0:25.541;;Nick CASSIDY;;;A;Jaguar TCS Racing;Jaguar;;false;
37;1;5;1:18.702;0;;33.971;0;19.060;0;25.671;0;145.9;8:24.350;09:48:24.350;0:33.971;0:19.060;0:25.671;;Nick CASSIDY;;;A;Jaguar TCS Racing;Jaguar;;false;
37;1;6;1:09.782;0;;27.039;0;17.304;2;25.439;2;164.6;9:34.132;09:49:34.132;0:27.039;0:17.304;0:25.439;;Nick CASSIDY;;;A;Jaguar TCS Racing;Jaguar;;false;
37;1;7;1:28.641;0;;36.802;0;23.982;0;27.857;0;129.6;11:02.773;09:51:02.773;0:36.802;0:23.982;0:27.857;;Nick CASSIDY;;;A;Jaguar TCS Racing;Jaguar;;false;
37;1;8;1:09.737;2;;26.938;3;17.348;0;25.451;0;164.7;12:12.510;09:52:12.510;0:26.938;0:17.348;0:25.451;;Nick CASSIDY;;;A;Jaguar TCS Racing;Jaguar;;false;
4;1;1;1:37.333;0;;47.672;0;19.599;0;30.062;0;119.1;1:37.333;09:41:37.333;0:47.672;0:19.599;0:30.062;;Robin FRIJNS;0:00:12.873;;A;Envision Racing;Jaguar;;false;
4;1;2;1:10.361;0;;27.355;0;17.440;0;25.566;0;163.2;2:47.694;09:42:47.694;0:27.355;0:17.440;0:25.566;;Robin FRIJNS;;;A;Envision Racing;Jaguar;;false;
4;1;3;1:09.665;3;;27.028;2;17.299;2;25.338;2;164.8;3:57.359;09:43:57.359;0:27.028;0:17.299;0:25.338;;Robin FRIJNS;;;A;Envision Racing;Jaguar;;false;
4;1;4;3:21.117;0;B;27.108;0;17.410;0;2:36.599;0;57.1;7:18.476;09:47:18.476;0:27.108;0:17.410;2:36.599;;Robin FRIJNS;;;A;Envision Racing;Jaguar;;false;
4;1;5;1:18.818;0;;34.430;0;17.681;0;26.707;0;145.7;8:37.294;09:48:37.294;0:34.430;0:17.681;0:26.707;;Robin FRIJNS;0:02:17.962;;A;Envision Racing;Jaguar;;false;
