NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;1;1:43.401;0;;53.066;0;19.549;0;30.786;0;112.1;1:43.401;09:58:43.401;0:53.066;0:19.549;0:30.786;;Jake DENNIS;0:00:18.134;;B;Andretti Formula E;Porsche;;false;
1;1;2;1:23.164;0;;34.061;0;19.121;0;29.982;0;138.1;3:06.565;10:00:06.565;0:34.061;0:19.121;0:29.982;;Jake DENNIS;;;B;Andretti Formula E;Porsche;;false;
1;1;3;1:10.776;0;;27.601;0;17.579;0;25.596;0;162.3;4:17.341;10:01:17.341;0:27.601;0:17.579;0:25.596;;Jake DENNIS;;;B;Andretti Formula E;Porsche;;false;
1;1;4;1:09.983;2;;27.048;2;17.419;2;25.516;2;164.1;5:27.324;10:02:27.324;0:27.048;0:17.419;0:25.516;;Jake DENNIS;;;B;Andretti Formula E;Porsche;;false;
1;1;5;2:51.541;0;B;27.154;0;17.511;0;2:06.876;0;66.9;8:18.865;10:05:18.865;0:27.154;0:17.511;2:06.876;;Jake DENNIS;;;B;Andretti Formula E;Porsche;;false;
1;1;6;1:22.339;0;;35.892;0;18.533;0;27.914;0;139.5;9:41.204;10:06:41.204;0:35.892;0:18.533;0:27.914;;Jake DENNIS;0:01:48.160;;B;Andretti Formula E;Porsche;;false;
1;1;7;1:13.923;0;;28.816;0;18.268;0;26.839;0;155.4;10:55.127;10:07:55.127;0:28.816;0:18.268;0:26.839;;Jake DENNIS;;;B;Andretti Formula E;Porsche;;false;
13;1;1;1:38.748;0;;49.164;0;19.159;0;30.425;0;117.4;1:38.748;09:58:38.748;0:49.164;0:19.159;0:30.425;;António Félix DA COSTA;0:00:15.715;;B;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;2;1:10.207;0;;27.197;0;17.422;0;25.588;0;163.6;2:48.955;09:59:48.955;0:27.197;0:17.422;0:25.588;;António Félix DA COSTA;;;B;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;3;1:16.308;0;;32.210;0;17.516;0;26.582;0;150.5;4:05.263;10:01:05.263;0:32.210;0:17.516;0:26.582;;António Félix DA COSTA;;;B;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;4;3:34.628;0;B;26.994;2;17.347;0;2:50.287;0;53.5;7:39.891;10:04:39.891;0:26.994;0:17.347;2:50.287;;António Félix DA COSTA;;;B;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;5;1:21.826;0;;34.704;0;18.016;0;29.106;0;140.3;9:01.717;10:06:01.717;0:34.704;0:18.016;0:29.106;;António Félix DA COSTA;0:02:30.125;;B;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;6;1:09.758;0;;27.131;0;17.265;2;25.362;3;164.6;10:11.475;10:07:11.475;0:27.131;0:17.265;0:25.362;;António Félix DA COSTA;;;B;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;7;1:25.285;0;;35.000;0;21.459;0;28.826;0;134.7;11:36.760;10:08:36.760;0:35.000;0:21.459;0:28.826;;António Félix DA COSTA;;;B;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;8;1:09.726;3;;27.027;0;17.336;0;25.363;0;164.7;12:46.486;10:09:46.486;0:27.027;0:17.336;0:25.363;;António Félix DA COSTA;;;B;TAG Heuer Porsche Formula E Team;Porsche;;false;
17;1;1;1:44.387;0;;53.594;0;19.743;0;31.050;0;111.1;1:44.387;09:58:44.387;0:53.594;0:19.743;0:31.050;;Norman NATO;0:00:19.228;;B;Andretti Formula E;Porsche;;false;
17;1;2;1:18.505;0;;28.863;0;20.827;0;28.815;0;146.3;3:02.892;10:00:02.892;0:28.863;0:20.827;0:28.815;;Norman NATO;;;B;Andretti Formula E;Porsche;;false;
17;1;3;1:17.132;0;;27.055;0;17.412;0;32.665;0;148.9;4:20.024;10:01:20.024;0:27.055;0:17.412;0:32.665;;Norman NATO;;;B;Andretti Formula E;Porsche;;false;
17;1;4;3:06.892;0;B;27.913;0;17.471;0;2:21.508;0;61.4;7:26.916;10:04:26.916;0:27.913;0:17.471;2:21.508;;Norman NATO;;;B;Andretti Formula E;Porsche;;false;
17;1;5;1:23.096;0;;35.947;0;18.555;0;28.594;0;138.2;8:50.012;10:05:50.012;0:35.947;0:18.555;0:28.594;;Norman NATO;0:02:02.126;;B;Andretti Formula E;Porsche;;false;
17;1;6;1:16.285;0;;28.799;0;18.581;0;28.905;0;150.5;10:06.297;10:07:06.297;0:28.799;0:18.581;0:28.905;;Norman NATO;;;B;Andretti Formula E;Porsche;;false;
17;1;7;1:10.015;2;;26.989;2;17.427;0;25.599;2;164.0;11:16.312;10:08:16.312;0:26.989;0:17.427;0:25.599;;Norman NATO;;;B;Andretti Formula E;Porsche;;false;
17;1;8;1:10.264;0;;27.076;0;17.398;2;25.790;0;163.4;12:26.576;10:09:26.576;0:27.076;0:17.398;0:25.790;;Norman NATO;;;B;Andretti Formula E;Porsche;;false;
2;1;1;1:45.090;0;;54.756;0;19.179;0;31.155;0;110.3;1:45.090;09:58:45.090;0:54.756;0:19.179;0:31.155;;Stoffel VANDOORNE;0:00:20.329;;B;DS PENSKE;STELLANTIS;;false;
2;1;2;1:15.844;0;;30.320;0;18.240;0;27.284;0;151.4;3:00.934;10:00:00.934;0:30.320;0:18.240;0:27.284;;Stoffel VANDOORNE;;;B;DS PENSKE;STELLANTIS;;false;
